dhb_of_service_grp,type,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Auckland Metro,plan,41641,15049,16900,19300,21750,26836,30222,33817,42031,45945,49975,51375,52475,50675,50675,55850,63005,68882,74382,79882,82882,85716,1059265
Auckland Metro,actual,41762,15067,16436,17266,19492,26830,26166,27796,34240,39492,38813,49784,54818,49421,51575,61311,69594,91442,82735,96135,80101,159857,1150133
Auckland Metro,variance,121,18,-464,-2034,-2258,-6,-4056,-6021,-7791,-6453,-11162,-1591,2343,-1254,900,5461,6589,22560,8353,16253,-2781,74141,90868
Bay of Plenty,plan,1545,462,804,1214,2088,2346,3018,2778,4530,5400,6594,6264,6204,6204,6204,6204,9540,12472,13860,15250,15250,15250,143481
Bay of Plenty,actual,1547,839,1291,2057,2535,4717,4596,5279,7422,7501,6216,7521,7752,6085,6191,5965,8030,9614,10000,13361,11307,20187,150013
Bay of Plenty,variance,2,377,487,843,447,2371,1578,2501,2892,2101,-378,1257,1548,-119,-13,-239,-1510,-2858,-3860,-1889,-3943,4937,6532
Canterbury,plan,5414,1465,3364,3759,3999,6399,6939,7927,9346,9898,10618,10618,10618,10618,10617,10618,17773,24495,31018,33123,37653,37653,303932
Canterbury,actual,5432,1488,6072,7135,5933,7088,8921,8711,8723,6703,6827,9424,10417,9702,10805,10959,19944,24141,28550,32688,32556,61286,323505
Canterbury,variance,18,23,2708,3376,1934,689,1982,784,-623,-3195,-3791,-1194,-201,-916,188,341,2171,-354,-2468,-435,-5097,23633,19573
Capital & Coast and Hutt Valley,plan,6988,4298,4728,4318,4298,3978,4008,7126,4599,4560,7299,4869,4056,7299,7297,7297,24729,24729,28491,28491,28491,28491,250440
Capital & Coast and Hutt Valley,actual,7005,4437,4792,5086,5821,8602,7853,4750,6528,6980,5165,6009,5269,5305,6866,6336,14403,23840,28722,33836,32944,67750,298299
Capital & Coast and Hutt Valley,variance,17,139,64,768,1523,4624,3845,-2376,1929,2420,-2134,1140,1213,-1994,-431,-961,-10326,-889,231,5345,4453,39259,47859
Hawke's Bay,plan,1217,553,989,700,3668,3268,4682,3128,3128,3128,3128,4128,4008,3688,3690,3690,6896,13500,13500,13500,13500,12000,119689
Hawke's Bay,actual,1223,595,1255,1464,2143,3047,2786,2881,5373,7048,4750,4772,4232,3924,2973,3697,6210,11380,9151,10244,12019,20928,122095
Hawke's Bay,variance,6,42,266,764,-1525,-221,-1896,-247,2245,3920,1622,644,224,236,-717,7,-686,-2120,-4349,-3256,-1481,8928,2406
Lakes,plan,1330,1400,1680,1680,1680,1680,1680,1680,3500,3500,3500,3990,4830,4830,3340,4550,5760,5770,6000,6200,6050,6049,80679
Lakes,actual,1332,830,902,1618,1648,2123,2487,2540,3149,3808,3784,3798,4489,3843,3649,4188,5228,4830,5075,5310,4121,7794,76546
Lakes,variance,2,-570,-778,-62,-32,443,807,860,-351,308,284,-192,-341,-987,309,-362,-532,-940,-925,-890,-1929,1745,-4133
MidCentral,plan,120,126,270,690,726,1163,1705,2437,2448,2580,3487,8075,7985,7940,7940,7940,7140,12720,12720,11220,11220,8190,118842
MidCentral,actual,120,178,367,996,1245,2273,3089,3144,4005,4116,3943,7158,7022,6889,8186,8299,8960,9274,9604,9164,9107,18517,125656
MidCentral,variance,0,52,97,306,519,1110,1384,707,1557,1536,456,-917,-963,-1051,246,359,1820,-3446,-3116,-2056,-2113,10327,6814
Nelson Marlborough,plan,4789,1160,1800,2000,2100,2260,2305,2160,2235,2420,2400,2100,3050,3750,3750,3750,8400,12800,12800,12800,13400,12800,115029
Nelson Marlborough,actual,4832,2892,2420,3826,3442,4273,4598,3971,4323,4430,4411,4925,4184,4605,5001,4055,7602,10355,10188,10933,11244,25536,142046
Nelson Marlborough,variance,43,1732,620,1826,1342,2013,2293,1811,2088,2010,2011,2825,1134,855,1251,305,-798,-2445,-2612,-1867,-2156,12736,27017
Northland,plan,1080,1627,4730,2575,4295,4000,3285,3170,2000,4100,3085,2350,4000,5000,5000,5500,6000,6500,7000,7500,8000,8500,99297
Northland,actual,1080,1700,1730,1744,3756,3633,3496,4355,5149,5416,5890,4782,4738,4095,4990,5672,5402,7792,8717,8873,7772,17688,118470
Northland,variance,0,73,-3000,-831,-539,-367,211,1185,3149,1316,2805,2432,738,-905,-10,172,-598,1292,1717,1373,-228,9188,19173
