dhb_of_service_grp,type,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Auckland Metro,plan,41641,15049,16900,19300,21750,26836,30222,33817,42031,45945,49975,51375,52475,50675,50675,55850,63005,68882,74382,79882,82882,85716,1059265
Auckland Metro,actual,41759,15067,16433,17268,19492,26823,26161,27796,34227,39481,38809,49776,54810,49408,51571,61298,69580,91418,82710,96098,80036,159752,1149773
Auckland Metro,variance,118,18,-467,-2032,-2258,-13,-4061,-6021,-7804,-6464,-11166,-1599,2335,-1267,896,5448,6575,22536,8328,16216,-2846,74036,90508
Bay of Plenty,plan,1545,462,804,1214,2088,2346,3018,2778,4530,5400,6594,6264,6204,6204,6204,6204,9540,12472,13860,15250,15250,15250,143481
Bay of Plenty,actual,1545,837,1289,2057,2535,4715,4594,5275,7419,7501,6215,7514,7747,6084,6178,5955,8024,9611,9992,13340,11286,20119,149832
Bay of Plenty,variance,0,375,485,843,447,2369,1576,2497,2889,2101,-379,1250,1543,-120,-26,-249,-1516,-2861,-3868,-1910,-3964,4869,6351
Canterbury,plan,5414,1465,3364,3759,3999,6399,6939,7927,9346,9898,10618,10618,10618,10618,10617,10618,17773,24495,31018,33123,37653,37653,303932
Canterbury,actual,5431,1488,6072,7133,5932,7085,8917,8708,8721,6703,6824,9423,10416,9692,10801,10959,19941,24140,28540,32681,32522,61175,323304
Canterbury,variance,17,23,2708,3374,1933,686,1978,781,-625,-3195,-3794,-1195,-202,-926,184,341,2168,-355,-2478,-442,-5131,23522,19372
Capital & Coast and Hutt Valley,plan,6988,4298,4728,4318,4298,3978,4008,7126,4599,4560,7299,4869,4056,7299,7297,7297,24729,24729,28491,28491,28491,28491,250440
Capital & Coast and Hutt Valley,actual,7006,4436,4789,5081,5817,8600,7848,4747,6527,6979,5164,6006,5267,5306,6867,6336,14402,23833,28715,33819,32892,67633,298070
Capital & Coast and Hutt Valley,variance,18,138,61,763,1519,4622,3840,-2379,1928,2419,-2135,1137,1211,-1993,-430,-961,-10327,-896,224,5328,4401,39142,47630
Hawke's Bay,plan,1217,553,989,700,3668,3268,4682,3128,3128,3128,3128,4128,4008,3688,3690,3690,6896,13500,13500,13500,13500,12000,119689
Hawke's Bay,actual,1221,595,1254,1463,2143,3049,2785,2880,5372,7048,4747,4769,4232,3924,2972,3696,6208,11379,9145,10241,11999,20895,122017
Hawke's Bay,variance,4,42,265,763,-1525,-219,-1897,-248,2244,3920,1619,641,224,236,-718,6,-688,-2121,-4355,-3259,-1501,8895,2328
Lakes,plan,1330,1400,1680,1680,1680,1680,1680,1680,3500,3500,3500,3990,4830,4830,3340,4550,5760,5770,6000,6200,6050,6049,80679
Lakes,actual,1332,831,901,1616,1648,2121,2483,2540,3149,3807,3783,3798,4489,3842,3649,4188,5225,4828,5074,5306,4119,7780,76509
Lakes,variance,2,-569,-779,-64,-32,441,803,860,-351,307,283,-192,-341,-988,309,-362,-535,-942,-926,-894,-1931,1731,-4170
MidCentral,plan,120,126,270,690,726,1163,1705,2437,2448,2580,3487,8075,7985,7940,7940,7940,7140,12720,12720,11220,11220,8190,118842
MidCentral,actual,120,178,367,996,1245,2272,3086,3142,4002,4086,3926,7153,7021,6886,8180,8298,8953,9268,9590,9141,9084,18468,125462
MidCentral,variance,0,52,97,306,519,1109,1381,705,1554,1506,439,-922,-964,-1054,240,358,1813,-3452,-3130,-2079,-2136,10278,6620
Nelson Marlborough,plan,4789,1160,1800,2000,2100,2260,2305,2160,2235,2420,2400,2100,3050,3750,3750,3750,8400,12800,12800,12800,13400,12800,115029
Nelson Marlborough,actual,4831,2892,2420,3826,3440,4273,4598,3971,4323,4429,4410,4925,4168,4602,5000,4053,7581,10322,10124,10927,11239,25352,141706
Nelson Marlborough,variance,42,1732,620,1826,1340,2013,2293,1811,2088,2009,2010,2825,1118,852,1250,303,-819,-2478,-2676,-1873,-2161,12552,26677
Northland,plan,1080,1627,4730,2575,4295,4000,3285,3170,2000,4100,3085,2350,4000,5000,5000,5500,6000,6500,7000,7500,8000,8500,99297
Northland,actual,1080,1700,1730,1743,3755,3633,3496,4354,5148,5415,5869,4777,4737,4086,4990,5672,5402,7791,8717,8873,7762,17660,118390
Northland,variance,0,73,-3000,-832,-540,-367,211,1184,3148,1315,2784,2427,737,-914,-10,172,-598,1291,1717,1373,-238,9160,19093
South Canterbury,plan,1229,864,1080,1180,880,1275,925,600,675,1725,2050,2050,2000,2000,1995,1900,2020,4095,4095,4095,4095,4295,45123
South Canterbury,actual,1229,547,681,1190,959,1491,1146,867,872,2849,2028,1922,2361,1773,1839,2011,1862,3771,3369,3469,4140,7099,47475
South Canterbury,variance,0,-317,-399,10,79,216,221,267,197,1124,-22,-128,361,-227,-156,111,-158,-324,-726,-626,45,2804,2352
Southern,plan,3870,2224,2020,6400,3600,2880,8200,5400,5400,5400,7200,7200,7200,7200,7200,7200,25000,28750,32200,32200,32200,32200,271144
Southern,actual,3960,2797,5350,3956,3155,5062,5961,5304,6055,8405,6302,9990,9935,8260,8628,4839,12673,18797,24732,25886,25512,50551,256110
Southern,variance,90,573,3330,-2444,-445,2182,-2239,-96,655,3005,-898,2790,2735,1060,1428,-2361,-12327,-9953,-7468,-6314,-6688,18351,-15034
Tairawhiti,plan,620,0,585,500,534,1055,1100,534,470,600,1045,1100,1600,1600,1440,1440,2250,3600,3600,3584,3600,3600,34457
Tairawhiti,actual,608,0,770,628,229,703,921,741,896,1023,1218,1833,1248,1492,1526,1154,1711,2130,3121,2668,4130,5973,34723
Tairawhiti,variance,-12,0,185,128,-305,-352,-179,207,426,423,173,733,-352,-108,86,-286,-539,-1470,-479,-916,530,2373,266
Taranaki,plan,1268,329,400,300,600,800,800,800,800,800,800,800,800,800,2009,2315,5158,7056,7056,7056,7056,7056,54859
Taranaki,actual,1267,330,418,450,600,879,815,895,1012,1034,1189,1836,1837,2013,2014,2225,4833,4825,7578,5378,6590,14558,62576
Taranaki,variance,-1,1,18,150,0,79,15,95,212,234,389,1036,1037,1213,5,-90,-325,-2231,522,-1678,-466,7502,7717
Waikato,plan,5658,2100,3615,4015,4073,4649,4457,4275,4124,5142,6952,6840,10950,11850,11850,11850,15987,23864,25580,26406,32796,33329,260362
Waikato,actual,5667,1931,2969,4251,4308,5277,5973,5975,7188,6311,5727,7261,7514,7929,7552,8606,15637,22087,23302,28314,31408,53034,268221
Waikato,variance,9,-169,-646,236,235,628,1516,1700,3064,1169,-1225,421,-3436,-3921,-4298,-3244,-350,-1777,-2278,1908,-1388,19705,7859
Wairarapa,plan,0,120,390,600,900,975,975,1000,1000,1000,2250,2250,2250,2250,2050,2050,2880,2880,2880,2880,2880,3400,37860
Wairarapa,actual,0,118,477,507,618,790,1117,937,1053,1385,842,1399,1871,1721,2808,2412,2564,3597,2859,3445,2675,4325,37520
Wairarapa,variance,0,-2,87,-93,-282,-185,142,-63,53,385,-1408,-851,-379,-529,758,362,-316,717,-21,565,-205,925,-340
West Coast,plan,0,30,120,300,390,600,810,1050,1140,1260,1440,1500,1500,1500,1500,1500,1800,2100,2200,2200,2150,2250,27340
West Coast,actual,0,34,127,310,398,555,870,1251,1189,1301,1009,1575,1402,1295,1436,1363,947,1090,1928,1782,1378,2840,24080
West Coast,variance,0,4,7,10,8,-45,60,201,49,41,-431,75,-98,-205,-64,-137,-853,-1010,-272,-418,-772,590,-3260
Whanganui,plan,91,180,450,390,900,900,900,900,900,900,900,900,900,900,1490,1718,3364,4023,3496,5206,5973,5406,40787
Whanganui,actual,90,180,509,862,843,1433,1368,1697,1952,2484,2426,1883,1989,1545,949,1223,2155,3956,3447,4231,4695,8196,48113
Whanganui,variance,-1,0,59,472,-57,533,468,797,1052,1584,1526,983,1089,645,-541,-495,-1209,-67,-49,-975,-1278,2790,7326
Other Sites,plan,7735,1410,2190,2130,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14575
Other Sites,actual,7732,2569,3110,2176,1013,2826,2525,2990,2834,3432,2237,2367,1973,2454,2448,1677,1469,1708,2027,4350,2539,6167,62623
Other Sites,variance,-3,1159,920,46,-97,2826,2525,2990,2834,3432,2237,2367,1973,2454,2448,1677,1469,1708,2027,4350,2539,6167,48048
Total,plan,84595,33397,46115,52051,57591,65064,76011,78782,88326,98358,112723,116409,124426,128104,128047,135372,207702,258236,280878,291593,307196,306185,3077161
Total,actual,84878,36530,49666,55513,58130,81587,84664,84070,101939,113673,102725,128207,133017,122312,129408,135965,189167,254551,264970,299949,284006,551577,3346504
Total,variance,283,3133,3551,3462,539,16523,8653,5288,13613,15315,-9998,11798,8591,-5792,1361,593,-18535,-3685,-15908,8356,-23190,245392,269343
