Date,First dose administered,Second dose administered
2021-02-19,29,0
2021-02-20,65,0
2021-02-21,68,1
2021-02-22,448,0
2021-02-23,358,0
2021-02-24,815,0
2021-02-25,1100,0
2021-02-26,1609,0
2021-02-27,1342,0
2021-02-28,882,0
2021-03-01,1408,0
2021-03-02,1491,0
2021-03-03,1984,0
2021-03-04,1633,0
2021-03-05,1278,0
2021-03-06,602,1
2021-03-07,512,0
2021-03-08,1072,0
2021-03-09,1425,0
2021-03-10,1315,0
2021-03-11,1334,0
2021-03-12,1043,3
2021-03-13,750,5
2021-03-14,576,13
2021-03-15,1614,267
2021-03-16,1929,233
2021-03-17,1642,366
2021-03-18,1595,474
2021-03-19,1693,772
2021-03-20,558,715
2021-03-21,942,644
2021-03-22,1035,1214
2021-03-23,1587,1106
2021-03-24,1971,1586
2021-03-25,1823,1532
2021-03-26,3370,1291
2021-03-27,1155,872
2021-03-28,685,489
2021-03-29,3808,1123
2021-03-30,4169,1500
2021-03-31,5447,1339
2021-04-01,5201,1248
2021-04-02,1724,295
2021-04-03,1413,335
2021-04-04,758,196
2021-04-05,923,291
2021-04-06,3521,1437
2021-04-07,5117,2146
2021-04-08,6464,1765
2021-04-09,5419,1929
2021-04-10,3268,691
2021-04-11,2478,1081
2021-04-12,6045,1722
2021-04-13,6811,1625
2021-04-14,6623,1521
2021-04-15,6891,1843
2021-04-16,6861,2619
2021-04-17,3904,1136
2021-04-18,1478,587
2021-04-19,5094,2037
2021-04-20,6096,2986
2021-04-21,6757,3426
2021-04-22,6526,3871
2021-04-23,8135,3547
2021-04-24,3275,1382
2021-04-25,1474,907
2021-04-26,1390,862
2021-04-27,6804,3207
2021-04-28,7305,3665
2021-04-29,7524,4956
2021-04-30,8374,5021
2021-05-01,3491,1991
2021-05-02,1622,1918
2021-05-03,6250,4485
2021-05-04,8334,5298
2021-05-05,9203,5555
2021-05-06,9201,5827
2021-05-07,10133,6729
2021-05-08,4382,2850
2021-05-09,1726,1614
2021-05-10,6875,5115
2021-05-11,9222,5895
2021-05-12,9524,5758
2021-05-13,9781,5995
2021-05-14,8958,7103
2021-05-15,3418,2812
2021-05-16,2403,1805
2021-05-17,7301,3749
2021-05-18,9278,5506
2021-05-19,9052,6392
2021-05-20,8731,6736
2021-05-21,8268,7288
2021-05-22,4398,3565
2021-05-23,2265,1541
2021-05-24,7231,5744
2021-05-25,9835,7461
2021-05-26,10952,7761
2021-05-27,9864,7006
2021-05-28,10829,9828
2021-05-29,5938,4289
2021-05-30,3323,1878
2021-05-31,8909,5562
2021-06-01,12019,7895
2021-06-02,12552,8405
2021-06-03,14156,8977
2021-06-04,12097,8339
2021-06-05,6203,3347
2021-06-06,3533,1679
2021-06-07,3936,1370
2021-06-08,13096,8749
2021-06-09,7112,4306
2021-06-10,13909,9459
2021-06-11,11966,9583
2021-06-12,7451,4484
2021-06-13,4408,2896
2021-06-14,10359,7546
2021-06-15,13082,9143
2021-06-16,14401,10011
2021-06-17,12984,10291
2021-06-18,11354,9450
2021-06-19,7383,4893
2021-06-20,3966,3344
2021-06-21,9067,8440
2021-06-22,11455,11273
2021-06-23,13122,11869
2021-06-24,11443,12981
2021-06-25,10026,11700
2021-06-26,8339,6273
2021-06-27,3591,3438
2021-06-28,9927,6452
2021-06-29,10938,10016
2021-06-30,12948,9930
2021-07-01,13133,9789
2021-07-02,9782,10286
2021-07-03,7383,5322
2021-07-04,3488,2918
2021-07-05,7784,7960
2021-07-06,9595,11323
2021-07-07,11287,11852
2021-07-08,12713,11877
2021-07-09,11081,10507
2021-07-10,9325,6471
2021-07-11,4394,3239
2021-07-12,9584,8149
2021-07-13,12067,10475
2021-07-14,13425,11443
2021-07-15,12867,10894
2021-07-16,11932,9905
2021-07-17,9449,7069
2021-07-18,5637,3069
2021-07-19,13151,9180
2021-07-20,18766,11912
2021-07-21,20813,13168
2021-07-22,19838,12507
2021-07-23,19769,11282
2021-07-24,17101,7708
2021-07-25,9052,4920
2021-07-26,20558,9964
2021-07-27,27600,11359
2021-07-28,29435,12146
2021-07-29,28228,11974
2021-07-30,31474,10615
2021-07-31,29529,9035
2021-08-01,17976,4658
2021-08-02,25689,9426
2021-08-03,30293,12519
2021-08-04,32559,12906
2021-08-05,29232,12982
2021-08-06,30390,11695
2021-08-07,27902,8875
2021-08-08,15881,4621
2021-08-09,26910,11635
2021-08-10,31120,15936
2021-08-11,32039,16910
2021-08-12,32510,16519
2021-08-13,31361,15635
2021-08-14,30424,13286
2021-08-15,18291,7373
2021-08-16,30360,16036
2021-08-17,35832,20370
2021-08-18,411,100
2021-08-19,21554,8733
2021-08-20,38745,20147
2021-08-21,38351,15848
2021-08-22,28475,9044
2021-08-23,46766,19507
2021-08-24,59382,23539
2021-08-25,63354,26396
2021-08-26,67708,25439
2021-08-27,67283,24583
2021-08-28,56776,22331
2021-08-29,37062,11451
2021-08-30,54795,23716
2021-08-31,59283,27437
2021-09-01,63507,27617
2021-09-02,65133,25249
2021-09-03,61766,25854
2021-09-04,55966,22523
2021-09-05,27026,11989
2021-09-06,45266,21788
2021-09-07,49951,23405
2021-09-08,48808,18520
2021-09-09,46464,15580
2021-09-10,44132,21101
2021-09-11,38980,23257
2021-09-12,20668,13412
2021-09-13,34502,20916
2021-09-14,39655,22791
2021-09-15,39969,23110
2021-09-16,37169,23995
2021-09-17,33269,27496
2021-09-18,29140,24494
2021-09-19,14244,12545
2021-09-20,24711,25790
2021-09-21,27534,26187
