DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4502,4451,"1,566",246,4302
Auckland,Asian,12-17,Male,4769,4696,"1,639",215,4464
Auckland,Asian,12-17,Unknown/Other,18,17,15,<5,7
Auckland,Asian,18-24,Female,7680,7643,"7,619","5,238",6671
Auckland,Asian,18-24,Male,7918,7855,"7,814","4,622",6297
Auckland,Asian,18-24,Unknown/Other,92,89,89,43,16
Auckland,Asian,25-29,Female,7773,7750,"7,724","5,451",8392
Auckland,Asian,25-29,Male,8944,8871,"8,844","5,364",7740
Auckland,Asian,25-29,Unknown/Other,120,118,118,70,25
Auckland,Asian,30-34,Female,9101,9050,"9,016","6,478",9316
Auckland,Asian,30-34,Male,9109,9024,"8,995","6,100",8382
Auckland,Asian,30-34,Unknown/Other,89,89,88,44,19
Auckland,Asian,35-39,Female,7777,7727,"7,684","5,671",8154
Auckland,Asian,35-39,Male,7889,7822,"7,795","5,508",7336
Auckland,Asian,35-39,Unknown/Other,65,65,65,40,14
Auckland,Asian,40-44,Female,5949,5915,"5,894","4,503",5623
Auckland,Asian,40-44,Male,5946,5884,"5,859","4,318",5231
Auckland,Asian,40-44,Unknown/Other,41,39,39,27,15
Auckland,Asian,45-49,Female,4731,4704,"4,687","3,638",4861
Auckland,Asian,45-49,Male,4343,4298,"4,278","3,300",3985
Auckland,Asian,5-11,Female,4871,2677,NA,NA,6528
Auckland,Asian,5-11,Male,4864,2639,NA,NA,6688
Auckland,Asian,50-54,Female,4444,4423,"4,407","3,493",4411
Auckland,Asian,50-54,Male,3569,3546,"3,531","2,792",3467
Auckland,Asian,55-59,Female,4028,4006,"3,988","3,209",4228
Auckland,Asian,55-59,Male,3411,3380,"3,370","2,736",3468
Auckland,Asian,60-64,Female,3285,3271,"3,254","2,704",3608
Auckland,Asian,60-64,Male,2736,2725,"2,714","2,322",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2863,2856,"2,842","2,366",2935
Auckland,Asian,65-69,Male,2390,2379,"2,367","2,003",2584
Auckland,Asian,70-74,Female,1858,1850,"1,840","1,603",1918
Auckland,Asian,70-74,Male,1747,1741,"1,730","1,533",1743
Auckland,Asian,75-79,Female,1131,1128,"1,117",987,1240
Auckland,Asian,75-79,Male,979,971,968,858,1080
Auckland,Asian,80-84,Female,875,866,863,756,943
Auckland,Asian,80-84,Male,717,714,710,638,819
Auckland,Asian,85-89,Female,427,419,416,358,441
Auckland,Asian,85-89,Male,430,427,426,378,420
Auckland,Asian,90+,Female,189,189,188,168,179
Auckland,Asian,90+,Male,122,121,119,103,126
Auckland,European or Other,12-17,Female,7035,6988,"2,443",396,7315
Auckland,European or Other,12-17,Male,7253,7173,"2,544",362,7448
Auckland,European or Other,12-17,Unknown/Other,8,8,<5,<5,8
Auckland,European or Other,18-24,Female,10774,10726,"10,697","7,743",11536
Auckland,European or Other,18-24,Male,10029,9950,"9,915","6,179",10369
Auckland,European or Other,18-24,Unknown/Other,46,45,45,33,38
Auckland,European or Other,25-29,Female,10379,10322,"10,296","7,538",11855
Auckland,European or Other,25-29,Male,10427,10353,"10,310","6,575",10769
Auckland,European or Other,25-29,Unknown/Other,50,50,50,33,23
Auckland,European or Other,30-34,Female,9610,9560,"9,528","7,099",10714
Auckland,European or Other,30-34,Male,10409,10323,"10,265","6,816",10361
Auckland,European or Other,30-34,Unknown/Other,38,38,38,25,22
Auckland,European or Other,35-39,Female,7616,7565,"7,533","5,848",8521
Auckland,European or Other,35-39,Male,8316,8255,"8,211","5,899",8574
Auckland,European or Other,35-39,Unknown/Other,16,15,15,10,15
Auckland,European or Other,40-44,Female,7104,7061,"7,045","5,759",8032
Auckland,European or Other,40-44,Male,7467,7413,"7,389","5,695",8027
Auckland,European or Other,45-49,Female,7871,7836,"7,818","6,650",8961
Auckland,European or Other,45-49,Male,8004,7949,"7,923","6,414",8951
Auckland,European or Other,5-11,Female,5380,3079,NA,NA,7739
Auckland,European or Other,5-11,Male,5744,3268,NA,NA,8273
Auckland,European or Other,50-54,Female,8129,8095,"8,076","7,053",8362
Auckland,European or Other,50-54,Male,8563,8519,"8,494","7,207",8858
Auckland,European or Other,50-54,Unknown/Other,8,8,8,7,5
Auckland,European or Other,55-59,Female,7398,7362,"7,338","6,514",8093
Auckland,European or Other,55-59,Male,8097,8050,"8,019","6,912",8644
Auckland,European or Other,60-64,Female,6736,6706,"6,684","6,054",6988
Auckland,European or Other,60-64,Male,7229,7190,"7,164","6,369",7440
Auckland,European or Other,65-69,Female,5703,5684,"5,659","5,203",5985
Auckland,European or Other,65-69,Male,5862,5846,"5,823","5,301",6084
Auckland,European or Other,70-74,Female,5113,5095,"5,071","4,701",5399
Auckland,European or Other,70-74,Male,4982,4969,"4,952","4,631",5182
Auckland,European or Other,75-79,Female,3945,3933,"3,916","3,697",3829
