SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
103300,Puketona-Waitangi,Northland,12+,"1,272","1,108","1,097","1,043",738,87%,86%,71%
103300,Puketona-Waitangi,Northland,5-11,122,42,11,NA,NA,34%,9%,NA
103400,Ngapuhi,Northland,12+,"1,258","1,052","1,006",899,501,84%,80%,56%
103400,Ngapuhi,Northland,5-11,189,32,7,NA,NA,17%,<5%,NA
103500,Kaikohe,Northland,12+,"3,584","2,963","2,829","2,498","1,390",83%,79%,56%
103500,Kaikohe,Northland,5-11,661,177,51,NA,NA,27%,8%,NA
103600,Pakaraka,Northland,12+,553,486,475,436,275,88%,86%,63%
103600,Pakaraka,Northland,5-11,77,30,14,NA,NA,39%,18%,NA
103700,Haruru,Northland,12+,"1,022",866,855,816,563,85%,84%,69%
103700,Haruru,Northland,5-11,118,46,7,NA,NA,39%,6%,NA
103800,Russell,Northland,12+,765,704,698,677,546,92%,91%,81%
103900,Paihia,Northland,12+,"1,515","1,350","1,324","1,265",864,89%,87%,68%
103900,Paihia,Northland,5-11,131,44,23,NA,NA,34%,18%,NA
104000,Mataraua Forest,Northland,12+,449,364,343,304,173,81%,76%,57%
104000,Mataraua Forest,Northland,5-11,69,18,10,NA,NA,26%,14%,NA
104100,Matawaia-Taumarere,Northland,12+,"1,267","1,029",997,882,515,81%,79%,58%
104100,Matawaia-Taumarere,Northland,5-11,199,60,9,NA,NA,30%,<5%,NA
104200,Russell Peninsula,Northland,12+,634,545,541,523,417,86%,85%,80%
104300,Opua (Far North District),Northland,12+,"1,189","1,083","1,062","1,018",764,91%,89%,75%
104300,Opua (Far North District),Northland,5-11,70,20,8,NA,NA,29%,11%,NA
104400,Russell Forest-Rawhiti,Northland,12+,625,544,527,488,339,87%,84%,69%
104400,Russell Forest-Rawhiti,Northland,5-11,74,14,Masked,NA,NA,19%,<5%,NA
104500,Moerewa,Northland,12+,"1,347","1,157","1,104",959,515,86%,82%,54%
104500,Moerewa,Northland,5-11,271,38,12,NA,NA,14%,<5%,NA
104600,Kawakawa,Northland,12+,"1,197","1,073","1,028",924,541,90%,86%,59%
104600,Kawakawa,Northland,5-11,199,46,11,NA,NA,23%,6%,NA
104700,Maromaku,Northland,12+,587,462,449,414,238,79%,76%,57%
104700,Maromaku,Northland,5-11,99,29,7,NA,NA,29%,7%,NA
104800,Mangakahia-Hukerenui,Northland,12+,"1,570","1,362","1,318","1,178",667,87%,84%,57%
104800,Mangakahia-Hukerenui,Northland,5-11,231,67,17,NA,NA,29%,7%,NA
104900,Whangaruru,Northland,12+,"2,196","1,924","1,880","1,735","1,097",88%,86%,63%
104900,Whangaruru,Northland,5-11,245,88,19,NA,NA,36%,8%,NA
105100,Matarau,Northland,12+,"2,765","2,498","2,463","2,241","1,575",90%,89%,70%
105100,Matarau,Northland,5-11,389,167,74,NA,NA,43%,19%,NA
105200,Hikurangi,Northland,12+,"1,203","1,074","1,043",935,533,89%,87%,57%
105200,Hikurangi,Northland,5-11,231,70,23,NA,NA,30%,10%,NA
105300,Kauri,Northland,12+,"1,545","1,378","1,357","1,250",921,89%,88%,74%
105300,Kauri,Northland,5-11,195,72,28,NA,NA,37%,14%,NA
105400,Maungatapere,Northland,12+,"3,047","2,693","2,662","2,463","1,756",88%,87%,71%
105400,Maungatapere,Northland,5-11,364,164,85,NA,NA,45%,23%,NA
105500,Kamo West,Northland,12+,"1,954","1,754","1,733","1,598","1,151",90%,89%,72%
105500,Kamo West,Northland,5-11,206,101,42,NA,NA,49%,20%,NA
105600,Matapouri-Tutukaka,Northland,12+,"1,605","1,445","1,424","1,337",979,90%,89%,73%
105600,Matapouri-Tutukaka,Northland,5-11,134,63,34,NA,NA,47%,25%,NA
105700,Kiripaka,Northland,12+,867,776,764,702,478,90%,88%,68%
105700,Kiripaka,Northland,5-11,125,56,29,NA,NA,45%,23%,NA
105800,Kamo East,Northland,12+,"2,480","2,290","2,231","2,015","1,245",92%,90%,62%
105800,Kamo East,Northland,5-11,429,160,52,NA,NA,37%,12%,NA
105900,Granfield Reserve,Northland,12+,"2,887","2,681","2,644","2,460","1,917",93%,92%,78%
105900,Granfield Reserve,Northland,5-11,288,152,52,NA,NA,53%,18%,NA
106000,Kamo Central,Northland,12+,"1,407","1,317","1,294","1,187",799,94%,92%,67%
106000,Kamo Central,Northland,5-11,214,110,31,NA,NA,51%,14%,NA
106100,Whau Valley,Northland,12+,"2,540","2,268","2,239","2,101","1,521",89%,88%,72%
106100,Whau Valley,Northland,5-11,261,111,42,NA,NA,43%,16%,NA
106200,Tikipunga North,Northland,12+,"2,903","2,715","2,668","2,453","1,710",94%,92%,70%
106200,Tikipunga North,Northland,5-11,431,142,37,NA,NA,33%,9%,NA
106300,Pukenui,Northland,12+,"2,010","1,891","1,881","1,724","1,304",94%,94%,76%
106300,Pukenui,Northland,5-11,252,156,70,NA,NA,62%,28%,NA
106400,Otangarei,Northland,12+,"1,768","1,455","1,358","1,189",593,82%,77%,50%
106400,Otangarei,Northland,5-11,294,49,Masked,NA,NA,17%,<5%,NA
106500,Tikipunga South,Northland,12+,"3,210","2,966","2,899","2,667","1,793",92%,90%,67%
106500,Tikipunga South,Northland,5-11,437,166,44,NA,NA,38%,10%,NA
106600,Kensington (Whangarei District),Northland,12+,"2,938","2,766","2,721","2,579","1,857",94%,93%,72%
106600,Kensington (Whangarei District),Northland,5-11,257,95,35,NA,NA,37%,14%,NA
106700,Abbey Caves-Glenbervie,Northland,12+,"1,181","1,100","1,088","1,010",715,93%,92%,71%
106700,Abbey Caves-Glenbervie,Northland,5-11,133,50,24,NA,NA,38%,18%,NA
106800,Mairtown,Northland,12+,"2,225","2,045","2,024","1,913","1,425",92%,91%,74%
106800,Mairtown,Northland,5-11,211,96,33,NA,NA,45%,16%,NA
106900,Maunu-Horahora,Northland,12+,"2,948","2,728","2,698","2,508","1,896",93%,92%,76%
106900,Maunu-Horahora,Northland,5-11,348,159,61,NA,NA,46%,18%,NA
107000,Woodhill-Vinetown,Northland,12+,"2,503","2,290","2,247","2,111","1,432",91%,90%,68%
107000,Woodhill-Vinetown,Northland,5-11,246,103,30,NA,NA,42%,12%,NA
107100,Whangarei Central,Northland,12+,969,902,886,846,575,93%,91%,68%
107100,Whangarei Central,Northland,5-11,53,19,Masked,NA,NA,36%,8%,NA
107200,Riverside,Northland,12+,"1,910","1,700","1,678","1,582","1,100",89%,88%,70%
107200,Riverside,Northland,5-11,169,78,28,NA,NA,46%,17%,NA
107300,Raumanga,Northland,12+,"2,713","2,409","2,303","2,028","1,117",89%,85%,55%
107300,Raumanga,Northland,5-11,467,112,29,NA,NA,24%,6%,NA
107400,Tarewa,Northland,12+,"1,515","1,326","1,283","1,138",644,88%,85%,57%
107400,Tarewa,Northland,5-11,313,84,29,NA,NA,27%,9%,NA
107500,Morningside (Whangarei District),Northland,12+,"1,910","1,760","1,716","1,587",966,92%,90%,61%
107500,Morningside (Whangarei District),Northland,5-11,221,82,29,NA,NA,37%,13%,NA
107600,Ngunguru,Northland,12+,"1,059",954,944,876,664,90%,89%,76%
107600,Ngunguru,Northland,5-11,120,61,26,NA,NA,51%,22%,NA
107700,Otaika-Portland,Northland,12+,"1,177","1,027","1,004",926,618,87%,85%,67%
107700,Otaika-Portland,Northland,5-11,141,60,21,NA,NA,43%,15%,NA
107800,Oakleigh-Mangapai,Northland,12+,"1,984","1,761","1,741","1,610","1,104",89%,88%,69%
107800,Oakleigh-Mangapai,Northland,5-11,221,91,43,NA,NA,41%,19%,NA
107900,Port-Limeburners,Northland,12+,177,163,158,150,95,92%,89%,63%
108000,Pataua,Northland,12+,"1,488","1,287","1,268","1,171",773,86%,85%,66%
108000,Pataua,Northland,5-11,195,72,25,NA,NA,37%,13%,NA
108100,Onerahi Park,Northland,12+,"1,402","1,316","1,300","1,226",916,94%,93%,75%
108100,Onerahi Park,Northland,5-11,184,93,40,NA,NA,51%,22%,NA
108200,Sherwood Rise,Northland,12+,"2,012","1,845","1,804","1,674","1,109",92%,90%,66%
108200,Sherwood Rise,Northland,5-11,277,92,27,NA,NA,33%,10%,NA
108300,Onerahi,Northland,12+,"2,075","1,822","1,785","1,650","1,121",88%,86%,68%
108300,Onerahi,Northland,5-11,242,73,23,NA,NA,30%,10%,NA
108500,Parua Bay,Northland,12+,"2,247","2,088","2,070","1,927","1,510",93%,92%,78%
108500,Parua Bay,Northland,5-11,260,135,55,NA,NA,52%,21%,NA
108600,Bream Bay,Northland,12+,"1,911","1,716","1,679","1,545","1,044",90%,88%,68%
