SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,12+,"63,969",Masked,Masked,"57,338","36,853",>95%,>95%,64%
Unknown,Unknown,Unknown,5-11,"5,723","2,719",61,NA,NA,48%,<5%,NA
100100,North Cape,Northland,12+,"1,579","1,378","1,345","1,074",722,87%,85%,67%
100100,North Cape,Northland,5-11,196,30,0,NA,NA,15%,<5%,NA
100200,Rangaunu Harbour,Northland,12+,"1,936","1,634","1,568","1,197",708,84%,81%,59%
100200,Rangaunu Harbour,Northland,5-11,265,45,0,NA,NA,17%,<5%,NA
100400,Karikari Peninsula,Northland,12+,"1,346","1,150","1,118",889,648,85%,83%,73%
100400,Karikari Peninsula,Northland,5-11,133,24,0,NA,NA,18%,<5%,NA
100500,Tangonge,Northland,12+,971,849,831,644,401,87%,86%,62%
100500,Tangonge,Northland,5-11,114,24,0,NA,NA,21%,<5%,NA
100600,Ahipara,Northland,12+,"1,052",897,869,679,444,85%,83%,65%
100600,Ahipara,Northland,5-11,151,42,0,NA,NA,28%,<5%,NA
100700,Kaitaia East,Northland,12+,"2,006","1,760","1,667","1,154",655,88%,83%,57%
100700,Kaitaia East,Northland,5-11,328,67,Masked,NA,NA,20%,<5%,NA
100800,Kaitaia West,Northland,12+,"2,960","2,597","2,452","1,692",933,88%,83%,55%
100800,Kaitaia West,Northland,5-11,496,73,Masked,NA,NA,15%,<5%,NA
100900,Rangitihi,Northland,12+,812,683,661,496,286,84%,81%,58%
100900,Rangitihi,Northland,5-11,89,12,0,NA,NA,13%,<5%,NA
101000,Oruru-Parapara,Northland,12+,815,657,634,487,305,81%,78%,63%
101000,Oruru-Parapara,Northland,5-11,106,21,0,NA,NA,20%,<5%,NA
101100,Taumarumaru,Northland,12+,"2,238","2,010","1,959","1,656","1,240",90%,88%,75%
101100,Taumarumaru,Northland,5-11,212,54,Masked,NA,NA,25%,<5%,NA
101200,Herekino-Takahue,Northland,12+,864,688,663,487,306,80%,77%,63%
101200,Herekino-Takahue,Northland,5-11,108,18,0,NA,NA,17%,<5%,NA
101300,Peria,Northland,12+,"1,035",765,734,559,353,74%,71%,63%
101300,Peria,Northland,5-11,126,17,0,NA,NA,13%,<5%,NA
101400,Taemaro-Oruaiti,Northland,12+,852,700,677,548,375,82%,79%,68%
101400,Taemaro-Oruaiti,Northland,5-11,108,44,0,NA,NA,41%,<5%,NA
101500,Whakapaku,Northland,12+,657,515,494,387,271,78%,75%,70%
101500,Whakapaku,Northland,5-11,85,27,0,NA,NA,32%,<5%,NA
101600,Hokianga North,Northland,12+,765,645,616,487,309,84%,81%,63%
101600,Hokianga North,Northland,5-11,127,19,0,NA,NA,15%,<5%,NA
101700,Kohukohu-Broadwood,Northland,12+,684,575,560,458,330,84%,82%,72%
101700,Kohukohu-Broadwood,Northland,5-11,65,9,0,NA,NA,14%,<5%,NA
101800,Whakarara,Northland,12+,"1,097",945,918,735,527,86%,84%,72%
101800,Whakarara,Northland,5-11,114,38,0,NA,NA,33%,<5%,NA
101900,Kaeo,Northland,12+,"1,059",846,808,609,405,80%,76%,67%
101900,Kaeo,Northland,5-11,145,34,0,NA,NA,23%,<5%,NA
102000,Omahuta Forest-Horeke,Northland,12+,980,747,710,516,326,76%,72%,63%
102000,Omahuta Forest-Horeke,Northland,5-11,155,14,0,NA,NA,9%,<5%,NA
102100,Hokianga South,Northland,12+,"1,162",884,840,639,464,76%,72%,73%
102100,Hokianga South,Northland,5-11,128,20,Masked,NA,NA,16%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"1,968","1,800","1,760","1,450","1,018",91%,89%,70%
102200,Lake Manuwai-Kapiro,Northland,5-11,203,75,0,NA,NA,37%,<5%,NA
102300,Okaihau,Northland,12+,"1,016",881,860,670,435,87%,85%,65%
102300,Okaihau,Northland,5-11,120,34,0,NA,NA,28%,<5%,NA
102400,Rangitane-Purerua,Northland,12+,"1,266","1,125","1,086",891,623,89%,86%,70%
102400,Rangitane-Purerua,Northland,5-11,152,40,0,NA,NA,26%,<5%,NA
102500,Waipapa,Northland,12+,706,635,619,498,349,90%,88%,70%
102500,Waipapa,Northland,5-11,96,38,0,NA,NA,40%,<5%,NA
102600,Puketotara,Northland,12+,"1,614","1,443","1,411","1,176",803,89%,87%,68%
102600,Puketotara,Northland,5-11,167,63,0,NA,NA,38%,<5%,NA
102700,Waima Forest,Northland,12+,955,743,713,498,303,78%,75%,61%
102700,Waima Forest,Northland,5-11,133,15,0,NA,NA,11%,<5%,NA
102800,Riverview,Northland,12+,"1,946",Masked,"1,830","1,531","1,214",>95%,94%,79%
102800,Riverview,Northland,5-11,198,100,0,NA,NA,51%,<5%,NA
102900,Waipoua Forest,Northland,12+,"1,139",880,841,675,483,77%,74%,72%
102900,Waipoua Forest,Northland,5-11,108,12,0,NA,NA,11%,<5%,NA
103000,Kerikeri Central,Northland,12+,"2,352","2,202","2,156","1,800","1,291",94%,92%,72%
103000,Kerikeri Central,Northland,5-11,233,88,0,NA,NA,38%,<5%,NA
