SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
Unknown,Unknown,Unknown,Maori,"11,422","10,513","9,146",920,801
Unknown,Unknown,Unknown,Pacific Peoples,"2,840",Masked,Masked,>950,>950
100100,North Cape,Northland,Maori,840,754,704,898,838
100200,Rangaunu Harbour,Northland,Maori,"1,011",838,754,829,746
100400,Karikari Peninsula,Northland,Maori,518,411,359,793,693
100500,Tangonge,Northland,Maori,544,463,426,851,783
100600,Ahipara,Northland,Maori,589,477,443,810,752
100700,Kaitaia East,Northland,Maori,"1,317","1,098",927,834,704
100700,Kaitaia East,Northland,Pacific Peoples,53,Masked,Masked,>950,>950
100800,Kaitaia West,Northland,Maori,"1,860","1,558","1,349",838,725
100800,Kaitaia West,Northland,Pacific Peoples,101,93,82,921,812
100900,Rangitihi,Northland,Maori,380,300,269,789,708
101000,Oruru-Parapara,Northland,Maori,308,238,212,773,688
101100,Taumarumaru,Northland,Maori,578,497,443,860,766
101200,Herekino-Takahue,Northland,Maori,418,331,297,792,711
101300,Peria,Northland,Maori,349,268,231,768,662
101400,Taemaro-Oruaiti,Northland,Maori,301,223,190,741,631
101500,Whakapaku,Northland,Maori,268,204,180,761,672
101600,Hokianga North,Northland,Maori,642,533,487,830,759
101700,Kohukohu-Broadwood,Northland,Maori,364,284,255,780,701
101800,Whakarara,Northland,Maori,533,453,422,850,792
101900,Kaeo,Northland,Maori,452,336,299,743,662
102000,Omahuta Forest-Horeke,Northland,Maori,627,439,370,700,590
102100,Hokianga South,Northland,Maori,698,505,439,723,629
102200,Lake Manuwai-Kapiro,Northland,Maori,251,197,179,785,713
102300,Okaihau,Northland,Maori,291,242,224,832,770
102400,Rangitane-Purerua,Northland,Maori,342,290,258,848,754
102500,Waipapa,Northland,Maori,124,103,91,831,734
102600,Puketotara,Northland,Maori,224,197,184,879,821
102700,Waima Forest,Northland,Maori,764,566,495,741,648
102800,Riverview,Northland,Maori,222,210,188,946,847
102900,Waipoua Forest,Northland,Maori,621,475,419,765,675
103000,Kerikeri Central,Northland,Maori,450,381,336,847,747
103000,Kerikeri Central,Northland,Pacific Peoples,59,Masked,Masked,>950,>950
103100,Kerikeri South,Northland,Maori,228,192,176,842,772
103200,Ohaeawai-Waimate North,Northland,Maori,411,342,317,832,771
103300,Puketona-Waitangi,Northland,Maori,267,226,218,846,816
103400,Ngapuhi,Northland,Maori,942,723,644,768,684
103500,Kaikohe,Northland,Maori,"2,769","2,094","1,821",756,658
103500,Kaikohe,Northland,Pacific Peoples,102,83,74,814,725
103600,Pakaraka,Northland,Maori,144,123,109,854,757
103700,Haruru,Northland,Maori,216,186,173,861,801
103800,Russell,Northland,Maori,136,126,121,926,890
103900,Paihia,Northland,Maori,482,392,343,813,712
104000,Mataraua Forest,Northland,Maori,337,255,223,757,662
104100,Matawaia-Taumarere,Northland,Maori,794,604,527,761,664
104200,Russell Peninsula,Northland,Maori,73,55,52,753,712
104300,Opua (Far North District),Northland,Maori,179,136,118,760,659
104400,Russell Forest-Rawhiti,Northland,Maori,393,323,290,822,738
104500,Moerewa,Northland,Maori,"1,176",952,845,810,719
104600,Kawakawa,Northland,Maori,820,679,605,828,738
104700,Maromaku,Northland,Maori,247,185,164,749,664
104800,Mangakahia-Hukerenui,Northland,Maori,591,500,449,846,760
104900,Whangaruru,Northland,Maori,651,556,508,854,780
105100,Matarau,Northland,Maori,357,304,281,852,787
105200,Hikurangi,Northland,Maori,462,390,341,844,738
105300,Kauri,Northland,Maori,233,199,189,854,811
105400,Maungatapere,Northland,Maori,421,374,342,888,812
105500,Kamo West,Northland,Maori,383,340,309,888,807
105600,Matapouri-Tutukaka,Northland,Maori,221,198,183,896,828
105700,Kiripaka,Northland,Maori,185,154,139,832,751
105800,Kamo East,Northland,Maori,910,782,684,859,752
105800,Kamo East,Northland,Pacific Peoples,101,87,83,861,822
105900,Granfield Reserve,Northland,Maori,457,411,375,899,821
105900,Granfield Reserve,Northland,Pacific Peoples,40,36,33,900,825
106000,Kamo Central,Northland,Maori,408,363,328,890,804
106100,Whau Valley,Northland,Maori,597,528,480,884,804
106200,Tikipunga North,Northland,Maori,978,845,733,864,749
106200,Tikipunga North,Northland,Pacific Peoples,76,62,56,816,737
106300,Pukenui,Northland,Maori,175,152,145,869,829
106400,Otangarei,Northland,Maori,"1,270","1,009",816,794,643
106400,Otangarei,Northland,Pacific Peoples,53,38,36,717,679
106500,Tikipunga South,Northland,Maori,"1,173","1,033",933,881,795
106500,Tikipunga South,Northland,Pacific Peoples,81,Masked,69,>950,852
106600,Kensington (Whangarei District),Northland,Maori,701,597,532,852,759
106600,Kensington (Whangarei District),Northland,Pacific Peoples,57,Masked,Masked,>950,>950
106700,Abbey Caves-Glenbervie,Northland,Maori,140,121,104,864,743
106800,Mairtown,Northland,Maori,534,463,437,867,818
106800,Mairtown,Northland,Pacific Peoples,58,44,43,759,741
106900,Maunu-Horahora,Northland,Maori,528,466,422,883,799
106900,Maunu-Horahora,Northland,Pacific Peoples,40,30,28,750,700
107000,Woodhill-Vinetown,Northland,Maori,726,583,525,803,723
107000,Woodhill-Vinetown,Northland,Pacific Peoples,83,77,72,928,867
107100,Whangarei Central,Northland,Maori,251,213,191,849,761
107200,Riverside,Northland,Maori,422,349,314,827,744
107200,Riverside,Northland,Pacific Peoples,43,40,36,930,837
107300,Raumanga,Northland,Maori,"1,426","1,149",948,806,665
107300,Raumanga,Northland,Pacific Peoples,91,83,74,912,813
107400,Tarewa,Northland,Maori,858,690,582,804,678
107500,Morningside (Whangarei District),Northland,Maori,759,656,581,864,765
107500,Morningside (Whangarei District),Northland,Pacific Peoples,52,46,43,885,827
107600,Ngunguru,Northland,Maori,153,130,123,850,804
107700,Otaika-Portland,Northland,Maori,291,228,208,784,715
107800,Oakleigh-Mangapai,Northland,Maori,232,195,176,841,759
108000,Pataua,Northland,Maori,179,133,127,743,709
108100,Onerahi Park,Northland,Maori,247,224,204,907,826
108200,Sherwood Rise,Northland,Maori,617,531,482,861,781
108200,Sherwood Rise,Northland,Pacific Peoples,46,Masked,43,>950,935
108300,Onerahi,Northland,Maori,588,490,412,833,701
108300,Onerahi,Northland,Pacific Peoples,50,40,36,800,720
108500,Parua Bay,Northland,Maori,264,239,223,905,845
108600,Bream Bay,Northland,Maori,349,294,261,842,748
108700,Marsden Bay,Northland,Maori,298,271,252,909,846
108800,Ruakaka,Northland,Maori,601,541,482,900,802
