Territorial Authority,Population,Partially or Fully Vaccinated,Fully Vaccinated,% Partially or Fully Vaccinated,% Fully Vaccinated
Christchurch City,322365,Masked,Masked,>95%,>95%
Gisborne District,40638,37350,34762,0.91909050642256,0.855406269993602
Ruapehu District,9938,8634,7939,0.868786476152143,0.798852887905011
Marlborough District,41136,Masked,38578,>95%,0.937816024893038
Horowhenua District,28824,27071,25523,0.939182625589786,0.885477379961144
Napier City,54392,51311,48786,0.943355640535373,0.896933372554787
South Taranaki District,20389,Masked,18621,>95%,0.913286576094953
Whanganui District,39902,36446,34414,0.91338780011027,0.862463034434364
Tararua District,15008,13759,12947,0.916777718550107,0.862673240938166
Otorohanga District,7960,7159,6737,0.899371859296482,0.846356783919598
Tauranga City,121638,Masked,111380,>95%,0.915667801180552
Kapiti Coast District,47238,Masked,43414,>95%,0.919048223887548
Lower Hutt City,90426,Masked,83307,>95%,0.921272642823967
Matamata-Piako District,29220,27332,26127,0.935386721423682,0.894147843942505
Whakatane District,30432,26495,24463,0.87062960042061,0.80385778128286
Taupo District,32192,29898,28309,0.928740059642147,0.879379970178926
Porirua City,47711,Masked,43595,>95%,0.913730586237974
Waimakariri District,52773,Masked,48718,>95%,0.92316146514316
Tasman District,45613,42772,40604,0.937715125073992,0.890184815732357
Timaru District,41101,38675,37183,0.940974672149096,0.904673852217708
South Waikato District,19634,17657,16465,0.899307324029744,0.838596312519099
Thames-Coromandel District,26266,24185,23176,0.920772100814741,0.882357420239092
Selwyn District,53318,Masked,Masked,>95%,>95%
Ashburton District,27424,Masked,25803,>95%,0.940891190198366
Stratford District,7523,6914,6543,0.919048252027117,0.869732819353981
Westland District,7100,6630,6287,0.933802816901408,0.885492957746479
Clutha District,14979,13938,13309,0.930502703785299,0.88851058148074
Mackenzie District,4141,3825,3694,0.923689929968607,0.892055059164453
Unknown,127342,68358,64110,0.536806395376231,0.503447409338631
Invercargill City,45988,43434,41419,0.944463773158215,0.900647995129164
Waikato District,63219,Masked,57951,>95%,0.916670621174014
Kaikoura District,3473,3102,2996,0.893175928591995,0.862654765332565
Hurunui District,10818,10171,9776,0.940192272139028,0.903679053429469
Opotiki District,7289,6482,5866,0.889285224310605,0.804774317464673
Carterton District,8259,Masked,7605,>95%,0.920813657827824
Kawerau District,6115,5310,4795,0.868356500408831,0.784137367130008
Upper Hutt City,36899,Masked,34760,>95%,0.942030949348221
Whangarei District,78696,72104,68393,0.916234624377351,0.869078479211142
Dunedin City,110495,Masked,Masked,>95%,>95%
Far North District,56422,49083,45721,0.869926624366382,0.810339938321931
Grey District,11412,10538,9876,0.92341395022783,0.86540483701367
Waitaki District,19323,18043,17287,0.933757698080008,0.894633338508513
Manawatu District,25555,Masked,23622,>95%,0.924359225200548
Nelson City,44843,Masked,40802,>95%,0.909885600874161
Waimate District,6937,6407,6150,0.923598097160156,0.886550382009514
South Wairarapa District,9607,Masked,8973,>95%,0.934006453627563
Auckland,1383804,Masked,1295855,>95%,0.936444033981691
Rotorua District,58120,54241,50902,0.933258774948383,0.875808671713696
Queenstown-Lakes District,35862,Masked,Masked,>95%,>95%
Palmerston North City,70542,Masked,66012,>95%,0.935782937824275
Waitomo District,7762,6989,6519,0.900412264880186,0.839860860602937
Gore District,10754,9886,9443,0.919285847126651,0.878091872791519
Hauraki District,17324,15450,14643,0.891826368044332,0.845243592703764
Masterton District,22673,Masked,20533,>95%,0.905614607683147
Chatham Islands Territory,180,Masked,Masked,>95%,>95%
Hamilton City,137530,Masked,128577,>95%,0.934901476041591
Central Otago District,19636,Masked,18651,>95%,0.949837034019149
Wellington City,178565,Masked,Masked,>95%,>95%
Central Hawke's Bay District,11838,Masked,10779,>95%,0.910542321338064
Western Bay of Plenty District,45702,43072,40946,0.942453284320161,0.895934532405584
New Plymouth District,68211,64370,61296,0.943689434255472,0.898623389189427
Wairoa District,6304,5733,5294,0.909422588832487,0.839784263959391
Southland District,25076,23015,21840,0.917809858031584,0.870952304992822
Buller District,8272,7604,7207,0.919245647969052,0.871252417794971
Rangitikei District,12700,11598,11025,0.913228346456693,0.868110236220472
Hastings District,69386,Masked,63055,>95%,0.90875680973107
Waipa District,46645,Masked,43410,>95%,0.930646371529639
Kaipara District,20198,17637,16683,0.873205267848302,0.825972868600852
Grand Total,4209057,3981587,3831190,0.945957016025205,0.910225259482112
