Date,Cumulative vaccinations planned,Cumulative vaccinations administered,Cumulative stock received,Original cumulative vaccinations model
2021-02-21,0,167,65520,NA
2021-02-28,4491,6712,141570,NA
2021-03-07,14420,15611,207090,NA
2021-03-14,21715,23154,271440,NA
2021-03-21,35595,36597,325260,NA
2021-03-28,56290,56338,396630,NA
2021-04-04,84595,84923,450450,NA
2021-04-11,117992,121481,528840,NA
2021-04-18,164107,171207,607230,NA
2021-04-25,216158,226764,685620,NA
2021-05-02,273749,284924,685620,NA
2021-05-09,338813,366612,746460,NA
2021-05-16,414824,451364,807300,NA
2021-05-23,493606,535498,868140,NA
2021-05-30,581932,637599,928980,NA
2021-06-06,680290,751386,1055790,NA
2021-06-13,793013,854224,1103760,NA
2021-06-20,909422,982527,1252900,NA
2021-06-27,1033848,1115640,1302040,NA
2021-07-04,1161952,1238086,1351180,1161952
2021-07-11,1289999,1367584,1502110,1369338
2021-07-18,1425371,1503561,1682290,1576724
2021-07-25,1633071,1692858,2032290,1750577
2021-08-01,1887555,1947659,2411370,2063064
2021-08-08,2164231,2212900,2769390,2375551
2021-08-15,2451622,2513131,3157830,2654505
2021-08-22,2754616,2797700,3602430,2932955
2021-08-29,3056599,3350647,3985020,3226921
2021-09-05,NA,3903871,4630860,3520887
2021-09-12,NA,4336165,5228730,3814853
2021-09-19,NA,4721188,5729490,4348809
2021-09-26,NA,5054210,6150690,4882765
2021-10-03,NA,5353631,6577740,5416721
2021-10-10,NA,5838995,6800430,5950677
2021-10-17,NA,6351285,7101120,6484633
2021-10-24,NA,6629440,7801560,7018589
2021-10-31,NA,6874511,9396270,7552545
2021-11-07,NA,7063365,9396270,7707286
2021-11-14,NA,7220326,9648990,7862027
2021-11-21,NA,7361854,9956142,8016768
2021-11-28,NA,7499481,10096110,8016768
2021-12-05,NA,7742228,10252170,8016768
2021-12-12,NA,7881921,10292490,8016768
2021-12-19,NA,8008327,10818990,NA
2021-12-26,NA,8110892,10978290,NA
2022-01-02,NA,8189733,10978290,NA
2022-01-09,NA,8388993,11622690,NA
2022-01-16,NA,8673976,11806440,NA
2022-01-23,NA,9021426,12144690,NA
2022-01-30,NA,9430323,12334290,NA
2022-02-06,NA,9769038,12475890,NA
2022-02-13,NA,10114390,12713490,NA
2022-02-20,NA,10400820,12905430,NA
2022-02-27,NA,10603013,13379940,NA
2022-03-06,NA,10734792,14264340,NA
2022-03-13,NA,10805189,15480340,NA
2022-03-20,NA,10881252,15480340,NA
2022-03-27,NA,10939089,15480340,NA
2022-04-03,NA,10974986,15557560,NA
2022-04-10,NA,10999711,15557560,NA
2022-04-17,NA,11013663,15639580,NA
2022-04-24,NA,11029502,15994540,NA
2022-05-01,NA,11045768,16187590,NA
2022-05-08,NA,11056619,16264810,NA
2022-05-15,NA,11066528,16290550,NA
2022-05-22,NA,11074916,16419250,NA
2022-05-29,NA,11083802,16495300,NA
2022-06-05,NA,11092145,16495300,NA
2022-06-12,NA,11100343,16571350,NA
2022-06-19,NA,11109710,16647400,NA
2022-06-26,NA,11118102,16723450,NA
