Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,695","18,393",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,915",858,NA,NA,60%,27%,NA
Auckland,12+,"1,383,359",Masked,Masked,"1,267,125","894,075",>95%,>95%,71%
Auckland,5-11,"163,730","98,972","52,737",NA,Masked,60%,32%,>95%
Buller District,12+,"8,270","7,767","7,662","7,292","5,225",94%,93%,72%
Buller District,5-11,719,354,177,NA,NA,49%,25%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,548","5,596",>95%,>95%,74%
Carterton District,5-11,834,470,215,NA,NA,56%,26%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"11,008","7,815",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",716,287,NA,NA,48%,19%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,819","14,144",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,120",536,NA,NA,61%,29%,NA
Chatham Islands Territory,12+,180,Masked,Masked,283,214,>95%,>95%,76%
Chatham Islands Territory,5-11,10,9,Masked,NA,NA,90%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"306,122","227,739",>95%,>95%,74%
Christchurch City,5-11,"31,517","19,644","10,457",NA,NA,62%,33%,NA
Clutha District,12+,"14,979","14,197","14,039","13,261","9,046",95%,94%,68%
Clutha District,5-11,"1,658",773,311,NA,NA,47%,19%,NA
Dunedin City,12+,"110,451",Masked,Masked,"106,015","83,306",>95%,>95%,79%
Dunedin City,5-11,"9,730","6,473","3,716",NA,NA,67%,38%,NA
Far North District,12+,"56,393","50,738","49,332","46,338","30,027",90%,87%,65%
Far North District,5-11,"7,086","2,131",741,NA,NA,30%,10%,NA
Gisborne District,12+,"40,629","38,515","37,633","35,063","22,841",95%,93%,65%
Gisborne District,5-11,"5,498","2,769","1,342",NA,NA,50%,24%,NA
Gore District,12+,"10,754","9,979","9,862","9,315","6,488",93%,92%,70%
Gore District,5-11,"1,139",387,189,NA,NA,34%,17%,NA
Grey District,12+,"11,405","10,794","10,613","10,031","7,008",95%,93%,70%
Grey District,5-11,"1,238",573,297,NA,NA,46%,24%,NA
Hamilton City,12+,"137,508",Masked,Masked,"127,172","84,167",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,334","4,106",NA,NA,54%,24%,NA
Hastings District,12+,"69,329",Masked,Masked,"64,640","43,965",>95%,>95%,68%
Hastings District,5-11,"8,928","4,141","1,694",NA,NA,46%,19%,NA
Hauraki District,12+,"17,315","15,842","15,549","14,731","9,884",91%,90%,67%
Hauraki District,5-11,"1,785",675,267,NA,NA,38%,15%,NA
Horowhenua District,12+,"28,779",Masked,"27,306","25,777","18,208",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,413",555,NA,NA,46%,18%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,841","7,034",>95%,>95%,71%
Hurunui District,5-11,"1,176",611,313,NA,NA,52%,27%,NA
Invercargill City,12+,"45,867",Masked,"43,335","40,809","28,639",>95%,94%,70%
Invercargill City,5-11,"5,141","2,590","1,231",NA,NA,50%,24%,NA
Kaikoura District,12+,"3,473","3,215","3,181","3,038","2,241",93%,92%,74%
Kaikoura District,5-11,315,153,88,NA,NA,49%,28%,NA
Kaipara District,12+,"20,170","18,117","17,687","16,849","11,039",90%,88%,66%
Kaipara District,5-11,"2,228",742,301,NA,NA,33%,14%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,840","33,534",>95%,>95%,78%
Kapiti Coast District,5-11,"4,658","2,569","1,502",NA,NA,55%,32%,NA
Kawerau District,12+,"6,115","5,519","5,329","4,963","2,939",90%,87%,59%
Kawerau District,5-11,854,221,44,NA,NA,26%,5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"82,040","60,900",>95%,>95%,74%
Lower Hutt City,5-11,"10,443","6,603","3,604",NA,NA,63%,35%,NA
Mackenzie District,12+,"4,131","3,867","3,822","3,652","2,573",94%,93%,70%
Mackenzie District,5-11,387,189,78,NA,NA,49%,20%,NA
Manawatu District,12+,"25,552",Masked,Masked,"23,236","16,363",>95%,>95%,70%
Manawatu District,5-11,"3,183","1,694",819,NA,NA,53%,26%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,451","28,502",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,276","1,129",NA,NA,55%,27%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,474","14,282",>95%,>95%,70%
Masterton District,5-11,"2,400","1,164",436,NA,NA,48%,18%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,693","26,156","16,833",>95%,95%,64%
Matamata-Piako District,5-11,"3,307","1,376",478,NA,NA,42%,14%,NA
Napier City,12+,"54,392",Masked,"51,584","48,628","34,296",>95%,95%,71%
Napier City,5-11,"6,159","2,941","1,194",NA,NA,48%,19%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,802","30,152",>95%,>95%,74%
Nelson City,5-11,"4,453","2,666","1,176",NA,NA,60%,26%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"61,441","42,140",>95%,>95%,69%
New Plymouth District,5-11,"8,373","4,025","2,031",NA,NA,48%,24%,NA
Opotiki District,12+,"7,121","6,744","6,465","6,093","3,824",95%,91%,63%
Opotiki District,5-11,967,256,73,NA,NA,26%,8%,NA
Otorohanga District,12+,"7,960","7,388","7,245","6,765","3,951",93%,91%,58%
Otorohanga District,5-11,"1,086",342,134,NA,NA,31%,12%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"65,491","47,628",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,882","2,563",NA,NA,58%,31%,NA
Porirua City,12+,"47,708",Masked,Masked,"43,082","30,897",>95%,>95%,72%
Porirua City,5-11,"6,751","3,906","1,803",NA,NA,58%,27%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"36,893","23,253",>95%,>95%,63%
Queenstown-Lakes District,5-11,"3,430","2,148","1,041",NA,NA,63%,30%,NA
Rangitikei District,12+,"12,699","11,844","11,655","11,020","7,730",93%,92%,70%
Rangitikei District,5-11,"1,491",687,281,NA,NA,46%,19%,NA
Rotorua District,12+,"58,081",Masked,"54,441","50,838","33,285",>95%,94%,65%
Rotorua District,5-11,"7,718","3,326","1,355",NA,NA,43%,18%,NA
Ruapehu District,12+,"9,936","8,870","8,606","8,107","5,142",89%,87%,63%
Ruapehu District,5-11,"1,366",422,169,NA,NA,31%,12%,NA
Selwyn District,12+,"52,972",Masked,Masked,"53,962","40,240",>95%,>95%,75%
Selwyn District,5-11,"6,904","5,067","2,833",NA,NA,73%,41%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"19,091","12,303",>95%,>95%,64%
South Taranaki District,5-11,"2,692","1,193",554,NA,NA,44%,21%,NA
South Waikato District,12+,"19,628","18,131","17,718","16,613","9,941",92%,90%,60%
South Waikato District,5-11,"2,626",963,346,NA,NA,37%,13%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,936","6,713",>95%,>95%,75%
South Wairarapa District,5-11,997,564,261,NA,NA,57%,26%,NA
Southland District,12+,"25,064","23,367","23,048","21,642","14,478",93%,92%,67%
Southland District,5-11,"3,087","1,361",631,NA,NA,44%,20%,NA
Stratford District,12+,"7,475",Masked,"7,048","6,616","4,385",>95%,94%,66%
Stratford District,5-11,993,488,226,NA,NA,49%,23%,NA
Tararua District,12+,"15,002","14,004","13,744","12,905","8,642",93%,92%,67%
Tararua District,5-11,"1,897",771,322,NA,NA,41%,17%,NA
Tasman District,12+,"45,608",Masked,Masked,"41,504","29,531",>95%,>95%,71%
Tasman District,5-11,"4,679","2,224","1,119",NA,NA,48%,24%,NA
Taupo District,12+,"32,180",Masked,"30,062","28,349","18,413",>95%,93%,65%
Taupo District,5-11,"3,743","1,470",620,NA,NA,39%,17%,NA
Tauranga City,12+,"121,578",Masked,Masked,"111,575","73,882",>95%,>95%,66%
Tauranga City,5-11,"14,189","6,753","2,570",NA,NA,48%,18%,NA
Thames-Coromandel District,12+,"26,265","24,889","24,510","23,561","17,401",95%,93%,74%
Thames-Coromandel District,5-11,"2,164",873,402,NA,NA,40%,19%,NA
Timaru District,12+,"41,091",Masked,"38,687","36,542","27,103",>95%,94%,74%
Timaru District,5-11,"4,189","2,304","1,005",NA,NA,55%,24%,NA
Unknown,12+,"129,586","52,657","51,015","48,231","28,713",41%,39%,60%
Unknown,5-11,"11,050","2,449","1,211",NA,NA,22%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"34,153","25,636",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,880","1,555",NA,NA,68%,36%,NA
Waikato District,12+,"63,214",Masked,Masked,"57,408","37,198",>95%,>95%,65%
Waikato District,5-11,"8,689","4,349","1,797",NA,NA,50%,21%,NA
