Date,Cumulative vaccinations planned,Cumulative vaccinations administered,Cumulative stock received,Original cumulative vaccinations model
2021-02-21,0,167,65520,NA
2021-02-28,4491,6712,141570,NA
2021-03-07,14420,15612,207090,NA
2021-03-14,21715,23155,271440,NA
2021-03-21,35595,36598,325260,NA
2021-03-28,56290,56340,396630,NA
2021-04-04,84595,84925,450450,NA
2021-04-11,117992,121484,528840,NA
2021-04-18,164107,171210,607230,NA
2021-04-25,216158,226768,685620,NA
2021-05-02,273749,284928,685620,NA
2021-05-09,338813,366616,746460,NA
2021-05-16,414824,451366,807300,NA
2021-05-23,493606,535502,868140,NA
2021-05-30,581932,637601,928980,NA
2021-06-06,680290,751387,1055790,NA
2021-06-13,793013,854225,1103760,NA
2021-06-20,909422,982529,1252900,NA
2021-06-27,1033848,1115643,1302040,NA
2021-07-04,1161952,1238089,1351180,1161952
2021-07-11,1289999,1367588,1502110,1369338
2021-07-18,1425371,1503564,1682290,1576724
2021-07-25,1633071,1692861,2032290,1750577
2021-08-01,1887555,1947663,2411370,2063064
2021-08-08,2164231,2212907,2769390,2375551
2021-08-15,2451622,2513139,3157830,2654505
2021-08-22,2754616,2797709,3602430,2932955
2021-08-29,3056599,3350655,3985020,3226921
2021-09-05,NA,3903880,4630860,3520887
2021-09-12,NA,4336177,5228730,3814853
2021-09-19,NA,4721200,5729490,4348809
2021-09-26,NA,5054218,6150690,4882765
2021-10-03,NA,5353639,6577740,5416721
2021-10-10,NA,5839000,6800430,5950677
2021-10-17,NA,6351284,7101120,6484633
2021-10-24,NA,6629437,7801560,7018589
2021-10-31,NA,6874510,9396270,7552545
2021-11-07,NA,7063366,9396270,7707286
2021-11-14,NA,7220328,9648990,7862027
2021-11-21,NA,7361855,9956142,8016768
2021-11-28,NA,7499481,10096110,8016768
2021-12-05,NA,7742219,10252170,8016768
2021-12-12,NA,7881907,10292490,8016768
2021-12-19,NA,8008308,10818990,NA
2021-12-26,NA,8110869,10978290,NA
2022-01-02,NA,8189711,10978290,NA
2022-01-09,NA,8388958,11622690,NA
2022-01-16,NA,8673936,11806440,NA
2022-01-23,NA,9021370,12144690,NA
2022-01-30,NA,9430257,12334290,NA
2022-02-06,NA,9768962,12475890,NA
2022-02-13,NA,10114294,12713490,NA
2022-02-20,NA,10400714,12905430,NA
2022-02-27,NA,10602905,13379940,NA
2022-03-06,NA,10734675,14264340,NA
2022-03-13,NA,10805069,15480340,NA
2022-03-20,NA,10881130,15480340,NA
2022-03-27,NA,10938962,15480340,NA
2022-04-03,NA,10974858,15557560,NA
2022-04-10,NA,10999575,15557560,NA
2022-04-17,NA,11013522,15639580,NA
2022-04-24,NA,11029360,15994540,NA
2022-05-01,NA,11045617,16187590,NA
2022-05-08,NA,11056450,16264810,NA
2022-05-15,NA,11066352,16290550,NA
2022-05-22,NA,11074709,16419250,NA
