Territorial Authority,Population,First Dose,Second Dose,% First Dose,% Second Dose
Ashburton District,27424,23566,15946,0.859320303,0.581461494
Auckland,1383804,1227116,1003929,0.886770092,0.725484968
Buller District,8272,6276,4928,0.758704062,0.595744681
Carterton District,8259,6961,5623,0.842838116,0.680833031
Central Hawke's Bay District,11838,9819,7715,0.829447542,0.651714817
Central Otago District,19636,17223,14356,0.877113465,0.731106132
Chatham Islands Territory,180,202,160,1.122222222,0.888888889
Christchurch City,322364,281831,202397,0.874263255,0.627852366
Clutha District,14979,11966,9142,0.798851726,0.610321116
Dunedin City,110495,100474,85737,0.909308113,0.775935563
Far North District,56422,40836,30870,0.723760235,0.547127007
Gisborne District,40638,30260,23913,0.744623259,0.588439392
Gore District,10754,8504,6898,0.790775525,0.641435745
Grey District,11412,8857,7007,0.776112864,0.614002804
Hamilton City,137530,120252,97116,0.874369229,0.706144114
Hastings District,69386,56975,45575,0.821131064,0.65683279
Hauraki District,17324,13215,9779,0.762814592,0.564477026
Horowhenua District,28824,22916,18109,0.795031918,0.628261171
Hurunui District,10818,8903,6692,0.822980218,0.618598632
Invercargill City,45988,37487,29563,0.81514743,0.642841611
Kaikoura District,3473,2780,2297,0.800460697,0.661387849
Kaipara District,20198,15191,11262,0.752104169,0.557579958
Kapiti Coast District,47238,40428,33517,0.855836403,0.709534697
Kawerau District,6115,4016,2830,0.656745707,0.462796402
Lower Hutt City,90423,77093,59573,0.852581755,0.658825741
Mackenzie District,4141,3323,2174,0.802463173,0.524993963
Manawatu District,25555,21455,16999,0.83956173,0.665192722
Marlborough District,41136,35970,30796,0.874416569,0.748638662
Masterton District,22673,18293,14641,0.806818683,0.645746042
Matamata-Piako District,29220,24058,17829,0.823340178,0.610164271
Napier City,54392,44710,36102,0.821995882,0.663737314
Nelson City,44843,37807,32216,0.843097027,0.71841759
New Plymouth District,68211,55834,40731,0.818548328,0.597132427
Opotiki District,7289,5099,3901,0.699547263,0.535190012
Otorohanga District,7960,6113,4368,0.767964824,0.548743719
Palmerston North City,70542,60484,47490,0.857418276,0.673215956
Porirua City,47711,40019,32006,0.838779317,0.670830626
Queenstown-Lakes District,35862,34105,27118,0.951006637,0.756176454
Rangitikei District,12700,10153,7881,0.799448819,0.620551181
Rotorua District,58120,44890,33750,0.772367515,0.580695114
Ruapehu District,9938,7103,5132,0.714731334,0.51640169
Selwyn District,53318,49761,35635,0.93328707,0.6683484
South Taranaki District,20389,15834,11372,0.776595223,0.557751729
South Waikato District,19634,14515,10256,0.739278802,0.522359173
South Wairarapa District,9607,8285,6594,0.862392006,0.686374519
Southland District,25076,19530,14245,0.77883235,0.568073058
Stratford District,7523,5845,4275,0.776950685,0.568257344
Tararua District,15008,11574,8907,0.771188699,0.593483475
Tasman District,45613,37196,31543,0.815469274,0.691535308
Taupo District,32192,25217,19522,0.783331262,0.606423956
Tauranga City,121638,101664,74142,0.835791447,0.609529917
Thames-Coromandel District,26266,21451,17839,0.816683165,0.679166984
Timaru District,41101,34484,28672,0.83900635,0.697598599
Unknown,127349,99668,77851,0.782636691,0.611320073
Upper Hutt City,36898,32087,24255,0.869613529,0.657352702
Waikato District,63219,52907,41197,0.836884481,0.651655357
Waimakariri District,52773,44200,31729,0.837549504,0.60123548
Waimate District,6937,5526,4235,0.796597953,0.61049445
Waipa District,46643,40519,31743,0.868704843,0.68055228
Wairoa District,6304,4637,3843,0.735564721,0.609612944
Waitaki District,19323,15821,12556,0.818765202,0.64979558
Waitomo District,7762,5908,4395,0.761144035,0.566220046
Wellington City,178565,166129,130302,0.930355893,0.72971747
Western Bay of Plenty District,45702,37463,27799,0.819723426,0.608266597
Westland District,7100,5695,4443,0.802112676,0.625774648
Whakatane District,30432,21557,16215,0.708366193,0.532827287
Whanganui District,39902,30698,25359,0.76933487,0.635532054
Whangarei District,78696,62755,50715,0.797435702,0.644441903
Grand Total,4209057,3593489,2837707,0.853751565,0.67419068
