Date,First dose administered,Second dose administered
2021-08-06,30405,11699
2021-08-07,27921,8875
2021-08-08,15887,4623
2021-08-09,26914,11643
2021-08-10,31127,15940
2021-08-11,32047,16916
2021-08-12,32533,16525
2021-08-13,31384,15638
2021-08-14,30451,13290
2021-08-15,18297,7378
2021-08-16,30383,16040
2021-08-17,35861,20398
2021-08-18,414,100
2021-08-19,21602,8737
2021-08-20,38825,20163
2021-08-21,38391,15854
2021-08-22,28535,9050
2021-08-23,46861,19516
2021-08-24,59474,23557
2021-08-25,63514,26414
2021-08-26,67933,25448
2021-08-27,67496,24678
2021-08-28,56903,22354
2021-08-29,37113,11455
2021-08-30,54944,23726
2021-08-31,59405,27441
2021-09-01,63649,27638
2021-09-02,65259,25270
2021-09-03,61938,25885
2021-09-04,56118,22540
2021-09-05,27056,11995
2021-09-06,45345,21792
2021-09-07,50026,23423
2021-09-08,48875,18530
2021-09-09,46542,15600
2021-09-10,44195,21130
2021-09-11,39071,23282
2021-09-12,20688,13443
2021-09-13,34566,20949
2021-09-14,39754,22860
2021-09-15,40062,23181
2021-09-16,37316,24132
2021-09-17,33403,27633
2021-09-18,29349,24587
2021-09-19,14319,12570
2021-09-20,24851,25903
2021-09-21,27850,26529
2021-09-22,24590,25512
2021-09-23,21290,28509
2021-09-24,19191,31773
2021-09-25,19593,32270
2021-09-26,8301,16587
2021-09-27,12783,28246
2021-09-28,13671,31214
2021-09-29,14089,27080
2021-09-30,14231,32362
2021-10-01,12422,35471
2021-10-02,12943,37413
2021-10-03,7109,20031
2021-10-04,15026,41148
2021-10-05,17790,46333
2021-10-06,19095,51637
2021-10-07,19970,62891
2021-10-08,18800,67408
2021-10-09,18455,63694
2021-10-10,9111,33212
2021-10-11,15346,54271
2021-10-12,17673,55679
2021-10-13,15896,53345
2021-10-14,15241,53009
2021-10-15,14087,55693
2021-10-16,39543,91356
2021-10-17,6288,23428
2021-10-18,10038,32790
2021-10-19,10392,32417
