dhb_of_service_grp,type,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Auckland Metro,plan,41641,15049,16900,19300,21750,26836,30222,33817,42031,45945,49975,51375,52475,50675,50675,55850,63005,68882,74382,79882,82882,85716,1059265
Auckland Metro,actual,41774,15067,16435,17267,19493,26829,26164,27796,34239,39488,38812,49784,54818,49416,51577,61310,69593,91437,82731,96129,80095,159847,1150101
Auckland Metro,variance,133,18,-465,-2033,-2257,-7,-4058,-6021,-7792,-6457,-11163,-1591,2343,-1259,902,5460,6588,22555,8349,16247,-2787,74131,90836
Bay of Plenty,plan,1545,462,804,1214,2088,2346,3018,2778,4530,5400,6594,6264,6204,6204,6204,6204,9540,12472,13860,15250,15250,15250,143481
Bay of Plenty,actual,1547,838,1290,2057,2535,4717,4595,5279,7422,7501,6216,7517,7750,6084,6186,5962,8026,9614,9997,13345,11301,20169,149948
Bay of Plenty,variance,2,376,486,843,447,2371,1577,2501,2892,2101,-378,1253,1546,-120,-18,-242,-1514,-2858,-3863,-1905,-3949,4919,6467
Canterbury,plan,5414,1465,3364,3759,3999,6399,6939,7927,9346,9898,10618,10618,10618,10618,10617,10618,17773,24495,31018,33123,37653,37653,303932
Canterbury,actual,5432,1488,6072,7136,5932,7088,8921,8710,8721,6703,6824,9423,10417,9702,10802,10959,19944,24141,28548,32688,32552,61263,323466
Canterbury,variance,18,23,2708,3377,1933,689,1982,783,-625,-3195,-3794,-1195,-201,-916,185,341,2171,-354,-2470,-435,-5101,23610,19534
Capital & Coast and Hutt Valley,plan,6988,4298,4728,4318,4298,3978,4008,7126,4599,4560,7299,4869,4056,7299,7297,7297,24729,24729,28491,28491,28491,28491,250440
Capital & Coast and Hutt Valley,actual,7006,4438,4792,5081,5820,8602,7850,4747,6528,6979,5164,6007,5268,5305,6867,6337,14403,23838,28721,33834,32937,67742,298266
Capital & Coast and Hutt Valley,variance,18,140,64,763,1522,4624,3842,-2379,1929,2419,-2135,1138,1212,-1994,-430,-960,-10326,-891,230,5343,4446,39251,47826
Hawke's Bay,plan,1217,553,989,700,3668,3268,4682,3128,3128,3128,3128,4128,4008,3688,3690,3690,6896,13500,13500,13500,13500,12000,119689
Hawke's Bay,actual,1221,595,1254,1463,2144,3048,2785,2882,5373,7048,4749,4772,4232,3924,2973,3696,6210,11381,9150,10243,12020,20926,122089
Hawke's Bay,variance,4,42,265,763,-1524,-220,-1897,-246,2245,3920,1621,644,224,236,-717,6,-686,-2119,-4350,-3257,-1480,8926,2400
Lakes,plan,1330,1400,1680,1680,1680,1680,1680,1680,3500,3500,3500,3990,4830,4830,3340,4550,5760,5770,6000,6200,6050,6049,80679
Lakes,actual,1332,831,902,1618,1648,2123,2487,2540,3149,3807,3784,3798,4489,3842,3649,4188,5228,4828,5075,5308,4122,7794,76542
Lakes,variance,2,-569,-778,-62,-32,443,807,860,-351,307,284,-192,-341,-988,309,-362,-532,-942,-925,-892,-1928,1745,-4137
MidCentral,plan,120,126,270,690,726,1163,1705,2437,2448,2580,3487,8075,7985,7940,7940,7940,7140,12720,12720,11220,11220,8190,118842
MidCentral,actual,120,178,367,996,1245,2273,3088,3142,4005,4087,3927,7157,7022,6888,8185,8299,8959,9273,9603,9162,9106,18510,125592
MidCentral,variance,0,52,97,306,519,1110,1383,705,1557,1507,440,-918,-963,-1052,245,359,1819,-3447,-3117,-2058,-2114,10320,6750
Nelson Marlborough,plan,4789,1160,1800,2000,2100,2260,2305,2160,2235,2420,2400,2100,3050,3750,3750,3750,8400,12800,12800,12800,13400,12800,115029
Nelson Marlborough,actual,4832,2892,2420,3827,3442,4273,4598,3971,4323,4430,4411,4925,4184,4605,5001,4055,7602,10355,10188,10933,11244,25526,142037
Nelson Marlborough,variance,43,1732,620,1827,1342,2013,2293,1811,2088,2010,2011,2825,1134,855,1251,305,-798,-2445,-2612,-1867,-2156,12726,27008
Northland,plan,1080,1627,4730,2575,4295,4000,3285,3170,2000,4100,3085,2350,4000,5000,5000,5500,6000,6500,7000,7500,8000,8500,99297
Northland,actual,1080,1700,1730,1743,3757,3633,3496,4355,5149,5416,5890,4777,4738,4095,4991,5672,5402,7792,8717,8873,7771,17687,118464
Northland,variance,0,73,-3000,-832,-538,-367,211,1185,3149,1316,2805,2427,738,-905,-9,172,-598,1292,1717,1373,-229,9187,19167
South Canterbury,plan,1229,864,1080,1180,880,1275,925,600,675,1725,2050,2050,2000,2000,1995,1900,2020,4095,4095,4095,4095,4295,45123
South Canterbury,actual,1229,547,681,1191,959,1491,1146,868,872,2849,2028,1922,2361,1773,1839,2011,1862,3772,3369,3469,4142,7102,47483
South Canterbury,variance,0,-317,-399,11,79,216,221,268,197,1124,-22,-128,361,-227,-156,111,-158,-323,-726,-626,47,2807,2360
Southern,plan,3870,2224,2020,6400,3600,2880,8200,5400,5400,5400,7200,7200,7200,7200,7200,7200,25000,28750,32200,32200,32200,32200,271144
Southern,actual,3960,2798,5350,3956,3155,5062,5961,5304,6055,8405,6302,9995,9936,8267,8632,4849,12675,18798,24736,25894,25578,50865,256533
Southern,variance,90,574,3330,-2444,-445,2182,-2239,-96,655,3005,-898,2795,2736,1067,1432,-2351,-12325,-9952,-7464,-6306,-6622,18665,-14611
Tairawhiti,plan,620,0,585,500,534,1055,1100,534,470,600,1045,1100,1600,1600,1440,1440,2250,3600,3600,3584,3600,3600,34457
Tairawhiti,actual,608,0,770,628,229,703,921,741,896,1023,1219,1834,1248,1492,1528,1154,1712,2130,3122,2669,4138,5974,34739
Tairawhiti,variance,-12,0,185,128,-305,-352,-179,207,426,423,174,734,-352,-108,88,-286,-538,-1470,-478,-915,538,2374,282
Taranaki,plan,1268,329,400,300,600,800,800,800,800,800,800,800,800,800,2009,2315,5158,7056,7056,7056,7056,7056,54859
Taranaki,actual,1267,330,418,450,600,879,815,895,1012,1034,1190,1837,1837,2012,2014,2225,4833,4825,7579,5378,6592,14580,62602
