sa2_code,sa2,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
113300,Millwater South,Waitemata,123,120,132,932,909
113400,Dairy Flat North,Waitemata,126,118,142,887,831
113500,Dairy Flat West,Waitemata,43,43,49,878,878
113600,Kingsway,Waitemata,85,82,masked,>950,>950
113800,Silverdale Central (Auckland),Waitemata,masked,masked,masked,masked,masked
113900,Red Beach West,Waitemata,97,93,108,898,861
114000,Red Beach East,Waitemata,182,179,masked,>950,>950
114100,Silverdale South (Auckland),Waitemata,85,82,105,810,781
114200,Waimauku,Waitemata,82,79,masked,>950,>950
114300,Gulf Islands,Auckland,masked,masked,masked,masked,masked
114300,Gulf Islands,Waitemata,masked,masked,masked,masked,masked
114400,Vipond,Waitemata,158,151,169,935,893
114500,Muriwai,Waitemata,80,78,masked,>950,>950
114600,Stanmore Bay West,Waitemata,180,173,masked,>950,>950
114700,Kumeu Rural West,Waitemata,105,100,masked,>950,>950
114800,Okura Bush,Waitemata,56,52,63,889,825
114900,Whangaparoa Central,Waitemata,219,217,245,894,886
115000,Kumeu-Huapai,Waitemata,240,238,masked,>950,>950
115100,Stanmore Bay East,Waitemata,193,188,211,915,891
115200,Manly West,Waitemata,143,138,masked,>950,>950
115300,Muriwai Valley-Bethells Beach,Waitemata,67,66,masked,>950,>950
115400,Tindalls-Matakatia,Waitemata,93,93,masked,>950,>950
115500,Coatesville,Waitemata,64,61,71,901,859
115600,Dairy Flat South,Waitemata,52,49,59,881,831
115700,Gulf Harbour North,Waitemata,116,111,masked,>950,>950
115800,Manly East,Waitemata,177,173,200,885,865
115900,Riverhead,Waitemata,159,155,180,883,861
116000,Army Bay,Waitemata,74,71,masked,>950,>950
116100,Kumeu Rural East,Waitemata,160,154,177,904,870
116200,Gulf Harbour South,Waitemata,52,51,59,881,864
116300,Paremoremo West,Waitemata,masked,masked,masked,masked,masked
116400,Taupaki,Waitemata,91,88,masked,>950,>950
116500,Long Bay,Waitemata,masked,masked,masked,masked,masked
116600,Paremoremo East,Waitemata,119,116,masked,>950,>950
116700,Albany Heights,Waitemata,93,89,102,912,873
116800,Awaruku,Waitemata,125,123,masked,>950,>950
116900,Fairview Heights,Waitemata,65,62,72,903,861
117000,Whenuapai,Waitemata,390,380,414,942,918
117100,Waitakere Ranges North,Waitemata,77,75,masked,>950,>950
117200,Torbay,Waitemata,135,135,masked,>950,>950
117300,Albany Central,Waitemata,101,95,113,894,841
117400,Albany West,Waitemata,66,63,masked,>950,>950
117500,Glamorgan,Waitemata,132,129,masked,>950,>950
117600,Oteha East,Waitemata,74,72,78,949,923
117700,Northcross,Waitemata,105,104,masked,>950,>950
117800,Oteha West,Waitemata,masked,masked,masked,masked,masked
117900,Waiake,Waitemata,106,103,118,898,873
118000,Waitakere,Waitemata,162,159,181,895,878
118100,Albany South,Waitemata,91,86,masked,>950,>950
118200,Browns Bay South West,Waitemata,120,118,132,909,894
118300,Browns Bay Central,Waitemata,96,95,masked,>950,>950
118400,Schnapper Rock,Waitemata,88,88,masked,>950,>950
118500,Pinehill ,Waitemata,62,60,71,873,845
118600,North Harbour,Waitemata,59,58,76,776,763
118700,Browns Bay South East,Waitemata,73,71,80,913,888
118800,Westgate Central,Waitemata,masked,masked,masked,masked,masked
118900,Greenhithe West,Waitemata,110,108,119,924,908
119000,Rothesay Bay,Waitemata,61,61,masked,>950,>950
119100,Greenhithe East,Waitemata,82,81,92,891,880
119200,Hobsonville,Waitemata,67,66,masked,>950,>950
119400,Greenhithe South,Waitemata,75,74,masked,>950,>950
119500,Murrays Bay West,Waitemata,73,73,masked,>950,>950
119600,Westgate South,Waitemata,226,219,254,890,862
119700,Windsor Park,Waitemata,masked,masked,masked,masked,masked
119800,West Harbour West,Waitemata,492,465,543,906,856
119900,Unsworth Heights West,Waitemata,54,52,masked,>950,>950
120000,Murrays Bay East,Waitemata,63,63,masked,>950,>950
120100,Birdwood West,Waitemata,89,86,98,908,878
120200,Hobsonville Point,Waitemata,236,235,masked,>950,>950
120300,West Harbour Clearwater Cove,Waitemata,198,193,masked,>950,>950
120400,Unsworth Heights East,Waitemata,152,150,masked,>950,>950
120500,Mairangi Bay North,Waitemata,83,81,masked,>950,>950
120600,Massey Central,Waitemata,437,417,463,944,901
120700,West Harbour Luckens Point,Waitemata,99,98,masked,>950,>950
120800,Mairangi Bay South,Waitemata,84,83,masked,>950,>950
120900,Massey Royal Road West,Waitemata,336,323,372,903,868
121000,Bayview East,Waitemata,182,169,masked,>950,>950
121100,Swanson Rural,Waitemata,179,177,195,918,908
121200,Sunnynook South,Waitemata,103,101,111,928,910
121300,Sunnynook North,Waitemata,96,93,masked,>950,>950
121400,Bayview West,Waitemata,103,99,121,851,818
121500,Totara Vale North,Waitemata,149,148,157,949,943
121600,Royal Heights North,Waitemata,406,390,432,940,903
121700,Massey West,Waitemata,155,148,177,876,836
121800,Beach Haven West,Waitemata,240,236,261,920,904
121900,Totara Vale South,Waitemata,194,187,masked,>950,>950
122000,Swanson,Waitemata,255,250,284,898,880
122100,Bayview South,Waitemata,139,135,masked,>950,>950
122200,Campbells Bay,Waitemata,84,82,masked,>950,>950
122300,Royal Heights South,Waitemata,440,420,489,900,859
122400,Beach Haven East,Waitemata,530,506,596,889,849
122500,Massey East,Waitemata,419,399,470,891,849
122600,Forrest Hill North,Waitemata,64,61,masked,>950,>950
122700,Glenfield North,Waitemata,133,129,148,899,872
122800,Birkdale North,Waitemata,390,375,416,938,901
122900,Massey South,Waitemata,577,557,640,902,870
123000,Ranui North,Waitemata,601,571,666,902,857
123100,Glenfield West,Waitemata,136,133,144,944,924
123200,Te Atatu Peninsula North West,Waitemata,444,423,481,923,879
123300,Glenfield South West,Waitemata,170,168,181,939,928
123400,Forrest Hill West,Waitemata,121,118,masked,>950,>950
123500,Wairau Valley ,Waitemata,masked,masked,masked,masked,masked
123600,Forrest Hill East,Waitemata,90,88,98,918,898
123700,Castor Bay,Waitemata,115,115,masked,>950,>950
123800,Ranui Domain,Waitemata,542,514,615,881,836
123900,Beach Haven South,Waitemata,169,168,masked,>950,>950
124000,Glenfield Central,Waitemata,163,158,masked,>950,>950
124100,Piha,Waitemata,83,81,94,883,862
124200,Ranui South West,Waitemata,336,316,376,894,840
124300,Henderson Larnoch,Waitemata,566,542,610,928,889
124400,Birkdale South,Waitemata,310,306,masked,>950,>950
124500,Te Atatu Peninsula Central,Waitemata,533,518,masked,>950,>950
124600,Glenfield East,Waitemata,88,86,97,907,887
124700,Henderson Valley,Waitemata,112,109,123,911,886
124800,Te Atatu Peninsula West,Waitemata,511,489,540,946,906
124900,Henderson Lincoln West,Waitemata,380,359,433,878,829
125000,Ranui South East,Waitemata,267,256,298,896,859
125100,Henderson Lincoln East,Waitemata,masked,masked,masked,masked,masked
125200,Birkenhead West,Waitemata,191,187,masked,>950,>950
125300,Te Atatu Peninsula East,Waitemata,273,265,masked,>950,>950
125400,Milford West,Waitemata,77,77,masked,>950,>950
125500,Westlake,Waitemata,66,65,masked,>950,>950
125600,Hillcrest North (Auckland),Waitemata,142,142,155,916,916
125700,Henderson Lincoln South,Waitemata,223,219,250,892,876
125800,Hillcrest West (Auckland),Waitemata,126,126,137,920,920
125900,Milford Central,Waitemata,masked,masked,masked,masked,masked
126000,Summerland South,Waitemata,175,169,masked,>950,>950
126100,Summerland North,Waitemata,154,149,masked,>950,>950
126200,Hillcrest East (Auckland),Waitemata,183,181,masked,>950,>950
126300,Chatswood,Waitemata,94,93,108,870,861
126400,Te Atatu South-Edmonton,Waitemata,409,395,439,932,900
126500,Birkenhead North,Waitemata,131,126,masked,>950,>950
126600,Takapuna West,Waitemata,130,120,149,872,805
126700,Henderson North,Waitemata,407,397,450,904,882
126800,Takapuna Central,Waitemata,77,76,masked,>950,>950
126900,Western Heights (Auckland),Waitemata,301,293,333,904,880
127000,Te Atatu South-Central,Waitemata,391,385,masked,>950,>950
127100,Northcote Central (Auckland),Waitemata,175,168,188,931,894
127200,Akoranga,Waitemata,88,87,97,907,897
127300,Northcote South (Auckland),Waitemata,115,115,masked,>950,>950
127400,Birkenhead South,Waitemata,80,80,masked,>950,>950
127500,Henderson Central,Waitemata,148,135,160,925,844
127600,Waiatarua,Waitemata,165,162,184,897,880
127700,Te Atatu South-McLeod North,Waitemata,337,326,masked,>950,>950
127800,Henderson Valley Park,Waitemata,299,281,329,909,854
127900,Henderson North East,Waitemata,203,194,229,886,847
128000,Waitakere Ranges South,Waitemata,85,85,masked,>950,>950
128100,Northcote Tuff Crater,Waitemata,72,72,masked,>950,>950
128200,Northcote Point (Auckland),Waitemata,127,122,masked,>950,>950
128300,McLaren Park,Waitemata,477,456,masked,>950,>950
128400,Henderson East,Waitemata,243,234,262,927,893
