sa2_code,sa2_name,dhb,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
107300,Raumanga,Northland,Pacific Peoples,masked,masked,masked,192,<50
107400,Tarewa,Northland,Pacific Peoples,masked,masked,masked,375,<50
107500,Morningside (Whangarei District),Northland,Pacific Peoples,masked,masked,masked,375,<50
107600,Ngunguru,Northland,Pacific Peoples,masked,masked,masked,>950,<50
107700,Otaika-Portland,Northland,Pacific Peoples,masked,masked,masked,200,<50
107800,Oakleigh-Mangapai,Northland,Pacific Peoples,masked,masked,masked,333,<50
107900,Port-Limeburners,Northland,Pacific Peoples,masked,masked,masked,masked,masked
108000,Pataua,Northland,Pacific Peoples,masked,masked,masked,masked,masked
108100,Onerahi Park,Northland,Pacific Peoples,masked,masked,masked,200,<50
108200,Sherwood Rise,Northland,Pacific Peoples,masked,masked,masked,167,<50
108300,Onerahi,Northland,Pacific Peoples,masked,masked,masked,273,<50
108400,Inlet Whang?rei Harbour,Northland,Pacific Peoples,masked,masked,masked,>950,masked
108500,Parua Bay,Northland,Pacific Peoples,masked,masked,masked,625,<50
108600,Bream Bay,Northland,Pacific Peoples,masked,masked,masked,143,<50
108700,Marsden Bay,Northland,Pacific Peoples,masked,masked,masked,500,<50
108800,Ruak?k?,Northland,Pacific Peoples,masked,masked,masked,500,<50
108900,Bream Head,Northland,Pacific Peoples,masked,masked,masked,<50,<50
109000,Waipu,Northland,Pacific Peoples,masked,masked,masked,500,<50
109100,Kaipara Coastal,Northland,Pacific Peoples,masked,masked,masked,<50,<50
109200,Maungaru,Northland,Pacific Peoples,masked,masked,masked,333,<50
109300,Dargaville,Northland,Pacific Peoples,masked,masked,masked,256,<50
109400,Ruawai-Matakohe,Northland,Pacific Peoples,masked,masked,masked,429,<50
109500,Otamatea (Kaipara District),Northland,Pacific Peoples,masked,masked,masked,<50,<50
109600,Maungaturoto,Northland,Pacific Peoples,masked,masked,masked,667,<50
109700,Kaiwaka,Northland,Pacific Peoples,masked,masked,masked,571,<50
109800,Mangawhai Rural,Northland,Pacific Peoples,masked,masked,masked,154,<50
109900,Mangawhai Heads,Northland,Pacific Peoples,masked,masked,masked,500,<50
110100,Mangawhai,Northland,Pacific Peoples,masked,masked,masked,333,<50
110200,Okahukura Peninsula,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
110400,Cape Rodney,Waitemata,Pacific Peoples,masked,masked,masked,125,<50
110500,Wellsford,Waitemata,Pacific Peoples,masked,masked,masked,91,<50
110700,South Head,Waitemata,Pacific Peoples,masked,masked,masked,750,<50
110800,Kaipara Hills,Waitemata,Pacific Peoples,masked,masked,masked,<50,<50
110900,Dome Valley-Matakana,Waitemata,Pacific Peoples,masked,masked,masked,>950,<50
111100,Warkworth West,Waitemata,Pacific Peoples,masked,masked,masked,357,<50
111200,Puhoi Valley,Waitemata,Pacific Peoples,masked,masked,masked,389,<50
111300,Warkworth East,Waitemata,Pacific Peoples,masked,masked,masked,426,<50
111400,Sandspit,Waitemata,Pacific Peoples,masked,masked,masked,667,<50
111500,Tawharanui Peninsula,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
