sa2_code,sa2_name,dhb,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
109100,Kaipara Coastal,Northland,Pacific Peoples,47,45,50,940,900
109200,Maungaru,Northland,Pacific Peoples,20,20,21,>950,>950
109300,Dargaville,Northland,Pacific Peoples,192,185,201,>950,920
109400,Ruawai-Matakohe,Northland,Pacific Peoples,27,24,29,931,828
109500,Otamatea (Kaipara District),Northland,Pacific Peoples,14,13,20,700,650
109600,Maungaturoto,Northland,Pacific Peoples,16,16,17,941,941
109700,Kaiwaka,Northland,Pacific Peoples,28,28,27,>950,>950
109800,Mangawhai Rural,Northland,Pacific Peoples,27,27,32,844,844
109900,Mangawhai Heads,Northland,Pacific Peoples,34,33,35,>950,943
110100,Mangawhai,Northland,Pacific Peoples,12,12,13,923,923
110200,Okahukura Peninsula,Waitemata,Pacific Peoples,24,24,27,889,889
110400,Cape Rodney,Waitemata,Pacific Peoples,43,40,50,860,800
110500,Wellsford,Waitemata,Pacific Peoples,57,56,64,891,875
110700,South Head,Waitemata,Pacific Peoples,46,44,50,920,880
110800,Kaipara Hills,Waitemata,Pacific Peoples,14,14,13,>950,>950
110900,Dome Valley-Matakana,Waitemata,Pacific Peoples,23,23,23,>950,>950
111100,Warkworth West,Waitemata,Pacific Peoples,98,97,86,>950,>950
111200,Puhoi Valley,Waitemata,Pacific Peoples,64,63,59,>950,>950
111300,Warkworth East,Waitemata,Pacific Peoples,194,189,160,>950,>950
111400,Sandspit,Waitemata,Pacific Peoples,18,17,15,>950,>950
111500,Tawharanui Peninsula,Waitemata,Pacific Peoples,73,71,29,>950,>950
111600,Te Kuru,Waitemata,Pacific Peoples,29,29,28,>950,>950
111700,Snells Beach,Waitemata,Pacific Peoples,108,106,104,>950,>950
111800,Barrier Islands,Auckland,Pacific Peoples,masked,masked,9,556,444
111900,Algies Bay-Scotts Landing,Waitemata,Pacific Peoples,14,14,17,824,824
112100,Wainui-Waiwera,Waitemata,Pacific Peoples,13,13,16,813,813
112200,Parakai,Waitemata,Pacific Peoples,27,26,29,931,897
112300,Helensville Rural,Waitemata,Pacific Peoples,35,33,38,921,868
112400,Helensville,Waitemata,Pacific Peoples,111,109,103,>950,>950
112500,Waitoki,Waitemata,Pacific Peoples,13,13,17,765,765
112600,Waikoukou Valley,Waitemata,Pacific Peoples,19,18,22,864,818
112700,Orewa North,Waitemata,Pacific Peoples,58,57,63,921,905
112800,Hatfields Beach,Waitemata,Pacific Peoples,19,19,21,905,905
112900,Orewa South,Waitemata,Pacific Peoples,58,58,67,866,866
113000,Orewa Central,Waitemata,Pacific Peoples,58,58,69,841,841
113100,Millwater North,Waitemata,Pacific Peoples,27,27,33,818,818
113200,Waipatukahu,Waitemata,Pacific Peoples,17,17,26,654,654
113300,Millwater South,Waitemata,Pacific Peoples,19,19,23,826,826
113400,Dairy Flat North,Waitemata,Pacific Peoples,30,30,34,882,882
113500,Dairy Flat West,Waitemata,Pacific Peoples,16,16,15,>950,>950
113600,Kingsway,Waitemata,Pacific Peoples,46,46,45,>950,>950
113700,Riverhead Forest,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
113800,Silverdale Central (Auckland),Waitemata,Pacific Peoples,17,17,17,>950,>950
113900,Red Beach West,Waitemata,Pacific Peoples,24,24,28,857,857
114000,Red Beach East,Waitemata,Pacific Peoples,60,58,51,>950,>950
114100,Silverdale South (Auckland),Waitemata,Pacific Peoples,15,14,20,750,700
114200,Waimauku,Waitemata,Pacific Peoples,26,25,24,>950,>950
114300,Gulf Islands,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
114300,Gulf Islands,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
114300,Gulf Islands,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
114300,Gulf Islands,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
114400,Vipond,Waitemata,Pacific Peoples,44,44,41,>950,>950
114500,Muriwai,Waitemata,Pacific Peoples,9,9,12,750,750
114600,Stanmore Bay West,Waitemata,Pacific Peoples,35,35,35,>950,>950
114700,Kumeu Rural West,Waitemata,Pacific Peoples,68,66,68,>950,>950
114800,Okura Bush,Waitemata,Pacific Peoples,20,19,16,>950,>950
114900,Whangaparāoa Central,Waitemata,Pacific Peoples,44,44,49,898,898
115000,Kumeu-Huapai,Waitemata,Pacific Peoples,143,141,146,>950,>950
115100,Stanmore Bay East,Waitemata,Pacific Peoples,35,34,39,897,872
115200,Manly West,Waitemata,Pacific Peoples,43,42,45,>950,933
115300,Muriwai Valley-Bethells Beach,Waitemata,Pacific Peoples,13,12,20,650,600
115400,Tindalls-Matakatia,Waitemata,Pacific Peoples,22,21,27,815,778
