"tla_code","tla_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","masked","masked","66668",">950",">950"
"1","Far North District","Northland","49231","46134","58535","841","788"
"2","Whangarei District","Northland","72224","68908","80841","893","852"
"3","Kaipara District","Northland","17664","16778","21120","836","794"
"11","Thames-Coromandel District","Waikato","24228","23349","27344","886","854"
"12","Hauraki District","Counties Manukau","720","688","793","908","868"
"12","Hauraki District","Waikato","14754","14066","17076","864","824"
"13","Waikato District","Counties Manukau","16585","16153","17617","941","917"
"13","Waikato District","Waikato","43887","42187","48096","912","877"
"15","Matamata-Piako District","Waikato","27381","26317","29879","916","881"
"16","Hamilton City","Waikato","masked","129472","139817",">950","926"
"17","Waipa District","Waikato","44819","43698","47934","935","912"
"18","Otorohanga District","Waikato","7176","6808","8064","890","844"
"19","South Waikato District","Waikato","17717","16670","19996","886","834"
"20","Waitomo District","Waikato","6989","6573","7893","885","833"
"21","Taupo District","Lakes","29982","28611","33012","908","867"
"22","Western Bay of Plenty District","Bay of Plenty","43169","41333","47062","917","878"
"23","Tauranga City","Bay of Plenty","117130","112370","125008","937","899"
"24","Rotorua District","Lakes","54323","51460","59409","914","866"
"25","Whakatane District","Bay of Plenty","26564","24860","30775","863","808"
"26","Kawerau District","Bay of Plenty","5322","4883","6252","851","781"
"27","Opotiki District","Bay of Plenty","6509","5961","7524","865","792"
"28","Gisborne District","Tairawhiti","37447","35152","41270","907","852"
"29","Wairoa District","Hawke's Bay","5762","5368","6601","873","813"
"30","Hastings District","Hawke's Bay","67127","63783","70815","948","901"
"31","Napier City","Hawke's Bay","51387","49221","55049","933","894"
"32","Central Hawke's Bay District","Hawke's Bay","11327","10834","12252","925","884"
"33","New Plymouth District","Taranaki","64522","61800","69977","922","883"
"34","Stratford District","Taranaki","6920","6611","7813","886","846"
"35","South Taranaki District","Taranaki","19708","18784","21881","901","858"
"36","Ruapehu District","Waikato","5696","5237","6686","852","783"
"36","Ruapehu District","Whanganui","2972","2797","3407","872","821"
"37","Whanganui District","Whanganui","36521","34792","40642","899","856"
"38","Rangitikei District","Whanganui","11607","11122","12822","905","867"
"39","Manawatu District","MidCentral","24724","23842","26404","936","903"
"40","Palmerston North City","MidCentral","masked","66555","71084",">950","936"
"41","Tararua District","MidCentral","13789","13081","15238","905","858"
"42","Horowhenua District","MidCentral","27103","25786","29720","912","868"
"43","Kapiti Coast District","Capital and Coast","37736","36764","40052","942","918"
"43","Kapiti Coast District","MidCentral","7303","6969","8056","907","865"
"44","Porirua City","Capital and Coast","45835","44103","48251","950","914"
"45","Upper Hutt City","Hutt Valley","masked","35049","37642",">950","931"
"46","Lower Hutt City","Hutt Valley","masked","83917","90653",">950","926"
"47","Wellington City","Capital and Coast","masked","masked","178477",">950",">950"
"48","Masterton District","Wairarapa","21636","20686","23158","934","893"
"49","Carterton District","Wairarapa","7911","7638","8506","930","898"
"50","South Wairarapa District","Wairarapa","9326","9031","9897","942","912"
"51","Tasman District","Nelson Marlborough","42862","40985","47307","906","866"
"52","Nelson City","Nelson Marlborough","42853","41144","45481","942","905"
"53","Marlborough District","Nelson Marlborough","masked","38935","41764",">950","932"
"54","Kaikoura District","Canterbury","3119","3011","3484","895","864"
"55","Buller District","West Coast","7612","7286","8642","881","843"
"56","Grey District","West Coast","10588","10056","11624","911","865"
"57","Westland District","West Coast","6642","6333","7176","926","883"
"58","Hurunui District","Canterbury","10194","9858","11208","910","880"
"59","Waimakariri District","Canterbury","50747","49097","54801","926","896"
"60","Christchurch City","Canterbury","masked","309289","327453",">950","945"
"62","Selwyn District","Canterbury","masked","masked","57404",">950",">950"
"63","Ashburton District","Canterbury","masked","26004","28071",">950","926"
"64","Timaru District","South Canterbury","38734","37445","41430","935","904"
"65","Mackenzie District","South Canterbury","3829","3714","4127","928","900"
"66","Waimate District","South Canterbury","6417","6201","7025","913","883"
"67","Chatham Islands Territory","Canterbury","masked","masked","238",">950",">950"
"68","Waitaki District","Southern","18083","17411","19595","923","889"
"69","Central Otago District","Southern","masked","18784","20002",">950","939"
"70","Queenstown-Lakes District","Southern","masked","masked","37450",">950",">950"
"71","Dunedin City","Southern","masked","masked","111301",">950",">950"
"72","Clutha District","Southern","13973","13432","15128","924","888"
"73","Southland District","Southern","23057","22119","25104","918","881"
"74","Gore District","Southern","9899","9523","10801","916","882"
"75","Invercargill City","Southern","43519","41864","46223","942","906"
"76","Auckland","Area outside District Health Board","20 or less","20 or less","masked","500","500"
"76","Auckland","Auckland","masked","masked","413801",">950",">950"
"76","Auckland","Counties Manukau","432268","418626","456560","947","917"
"76","Auckland","Waitemata","masked","484723","518784",">950","934"
"999","Area Outside Territorial Authority","Area outside District Health Board","20 or less","20 or less","masked",">950",">950"
