sa2_code,sa2,dhbresidence,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
107500,Morningside (Whangarei District),Northland,Pacific Peoples,47,46,51,922,902
107600,Ngunguru,Northland,Pacific Peoples,masked,masked,masked,masked,masked
107700,Otaika-Portland,Northland,Pacific Peoples,masked,masked,masked,masked,masked
107800,Oakleigh-Mangapai,Northland,Pacific Peoples,masked,masked,masked,masked,masked
108000,Pataua,Northland,Pacific Peoples,masked,masked,masked,masked,masked
108100,Onerahi Park,Northland,Pacific Peoples,masked,masked,masked,masked,masked
108200,Sherwood Rise,Northland,Pacific Peoples,46,45,masked,>950,>950
108300,Onerahi,Northland,Pacific Peoples,masked,masked,masked,masked,masked
108400,Inlet Whangarei Harbour,Northland,Pacific Peoples,masked,masked,masked,masked,masked
108500,Parua Bay,Northland,Pacific Peoples,masked,masked,masked,masked,masked
108600,Bream Bay,Northland,Pacific Peoples,masked,masked,masked,masked,masked
108700,Marsden Bay,Northland,Pacific Peoples,masked,masked,masked,masked,masked
108800,Ruakaka,Northland,Pacific Peoples,46,46,52,885,885
108900,Bream Head,Northland,Pacific Peoples,masked,masked,masked,masked,masked
109000,Waipu,Northland,Pacific Peoples,masked,masked,masked,masked,masked
109100,Kaipara Coastal,Northland,Pacific Peoples,46,42,50,920,840
109200,Maungaru,Northland,Pacific Peoples,masked,masked,masked,masked,masked
109300,Dargaville,Northland,Pacific Peoples,187,179,198,944,904
109400,Ruawai-Matakohe,Northland,Pacific Peoples,masked,masked,masked,masked,masked
109500,Otamatea (Kaipara District),Northland,Pacific Peoples,masked,masked,masked,masked,masked
109600,Maungaturoto,Northland,Pacific Peoples,masked,masked,masked,masked,masked
109700,Kaiwaka,Northland,Pacific Peoples,masked,masked,masked,masked,masked
109800,Mangawhai Rural,Northland,Pacific Peoples,masked,masked,masked,masked,masked
109900,Mangawhai Heads,Northland,Pacific Peoples,masked,masked,masked,masked,masked
110100,Mangawhai,Northland,Pacific Peoples,masked,masked,masked,masked,masked
110200,Okahukura Peninsula,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
110400,Cape Rodney,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
110500,Wellsford,Waitemata,Pacific Peoples,57,56,64,891,875
110700,South Head,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
110800,Kaipara Hills,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
110900,Dome Valley-Matakana,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
