sa2_code,sa2,dhbresidence,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
136600,New Windsor North,Auckland,Pacific Peoples,425,415,453,938,916
136700,Titirangi South,Waitemata,Pacific Peoples,97,95,masked,>950,>950
136800,Owairaka East,Auckland,Pacific Peoples,228,223,248,919,899
136900,Eden Valley,Auckland,Pacific Peoples,70,69,masked,>950,masked
137000,Sandringham Central,Auckland,Pacific Peoples,217,209,236,919,886
137100,Glenavon,Auckland,Pacific Peoples,664,637,714,930,892
137200,Blockhouse Bay North,Auckland,Pacific Peoples,403,396,437,922,906
137300,Green Bay North,Waitemata,Pacific Peoples,148,148,masked,>950,>950
137400,Parnell East,Auckland,Pacific Peoples,66,66,71,930,930
137500,Laingholm,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
137600,Sandringham West,Auckland,Pacific Peoples,184,181,198,929,914
137700,Mount Eden North East,Auckland,Pacific Peoples,52,47,59,881,797
137800,Mount Eden North,Auckland,Pacific Peoples,96,96,111,865,865
137900,Wesley West,Auckland,Pacific Peoples,986,953,1086,908,878
138000,Green Bay South,Waitemata,Pacific Peoples,134,134,masked,>950,>950
138100,Balmoral,Auckland,Pacific Peoples,188,183,203,926,901
138200,Sandringham East,Auckland,Pacific Peoples,287,282,311,923,907
138300,New Windsor South,Auckland,Pacific Peoples,586,576,640,916,900
138400,Mount Eden West,Auckland,Pacific Peoples,110,110,masked,>950,>950
138500,Newmarket,Auckland,Pacific Peoples,64,64,masked,>950,>950
138600,Blockhouse Bay North East,Auckland,Pacific Peoples,248,246,masked,>950,>950
138700,Epsom North,Auckland,Pacific Peoples,103,103,111,928,928
138800,Wesley South,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
138900,Blockhouse Bay South,Auckland,Pacific Peoples,256,252,280,914,900
139000,Mount Eden East,Auckland,Pacific Peoples,66,65,masked,>950,masked
139100,Wesley East,Auckland,Pacific Peoples,578,567,620,932,915
139200,Orakei West,Auckland,Pacific Peoples,63,63,masked,>950,>950
139300,Maungawhau,Auckland,Pacific Peoples,92,92,masked,>950,>950
139400,Remuera West,Auckland,Pacific Peoples,54,53,62,871,855
139500,Blockhouse Bay East,Auckland,Pacific Peoples,144,141,152,947,928
139600,Lynfield North,Auckland,Pacific Peoples,175,174,191,916,911
139700,Mount Roskill North,Auckland,Pacific Peoples,306,295,351,872,840
139800,Mount Roskill White Swan,Auckland,Pacific Peoples,477,459,528,903,869
139900,Mount Eden South,Auckland,Pacific Peoples,80,78,masked,>950,masked
140000,Remuera Waitaramoa,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
140100,Orakei East,Auckland,Pacific Peoples,103,98,masked,>950,masked
140200,Epsom Central-North,Auckland,Pacific Peoples,65,64,masked,>950,>950
140300,Mount St John,Auckland,Pacific Peoples,117,114,134,873,851
140400,Mount Roskill Central North,Auckland,Pacific Peoples,382,374,426,897,878
140500,Remuera North,Auckland,Pacific Peoples,43,42,masked,>950,>950
140600,Three Kings West,Auckland,Pacific Peoples,402,392,423,950,927
140700,Mount Roskill Central South,Auckland,Pacific Peoples,492,479,529,930,905
140800,Epsom Central-South,Auckland,Pacific Peoples,94,92,99,949,929
140900,Lynfield South,Auckland,Pacific Peoples,264,261,masked,>950,>950
141000,Remuera South,Auckland,Pacific Peoples,105,104,masked,>950,>950
141100,Mission Bay,Auckland,Pacific Peoples,63,63,masked,>950,>950
141200,Three Kings East,Auckland,Pacific Peoples,53,52,64,828,813
141300,Mount Roskill South,Auckland,Pacific Peoples,180,177,masked,>950,masked
141500,Epsom East,Auckland,Pacific Peoples,92,90,102,902,882
141600,Remuera Waiata,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
141700,Epsom South,Auckland,Pacific Peoples,45,44,53,849,830
141800,Kohimarama,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
141900,Meadowbank West,Auckland,Pacific Peoples,109,108,masked,>950,>950
142000,Hillsborough North (Auckland),Auckland,Pacific Peoples,297,287,masked,>950,masked
142100,Hillsborough West (Auckland),Auckland,Pacific Peoples,263,262,masked,>950,>950
142200,Greenlane North,Auckland,Pacific Peoples,110,107,masked,>950,>950
142300,Waikowhai North,Auckland,Pacific Peoples,839,823,912,920,902
142400,Remuera East,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
142500,Waikowhai South,Auckland,Pacific Peoples,128,126,masked,>950,>950
142600,Royal Oak West (Auckland),Auckland,Pacific Peoples,157,154,177,887,870
142700,Saint Heliers West,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
142800,One Tree Hill,Auckland,Pacific Peoples,336,329,355,946,927
142900,Hillsborough East (Auckland),Auckland,Pacific Peoples,170,167,masked,>950,>950
143000,Saint Heliers North,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
143100,Remuera Abbotts Park,Auckland,Pacific Peoples,58,58,69,841,841
143200,Meadowbank East,Auckland,Pacific Peoples,59,56,63,937,889
143300,Ellerslie Central,Auckland,Pacific Peoples,144,141,155,929,910
143400,Royal Oak East (Auckland),Auckland,Pacific Peoples,196,193,209,938,923
143500,Saint Heliers South,Auckland,Pacific Peoples,66,65,masked,>950,>950
143600,Hillsborough South (Auckland),Auckland,Pacific Peoples,148,146,160,925,913
143700,Saint Johns West,Auckland,Pacific Peoples,77,76,masked,>950,>950
143800,Greenlane South,Auckland,Pacific Peoples,271,265,masked,>950,>950
143900,Remuera Waiatarua,Auckland,Pacific Peoples,60,57,masked,>950,>950
144000,Glendowie North,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
144100,Onehunga West,Auckland,Pacific Peoples,390,380,masked,>950,masked
144200,Ellerslie West,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
144300,Onehunga North,Auckland,Pacific Peoples,463,451,494,937,913
144400,Ellerslie East,Auckland,Pacific Peoples,131,129,masked,>950,>950
144500,Saint Johns East,Auckland,Pacific Peoples,161,156,masked,>950,masked
144600,Oneroa West,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
144700,Glen Innes West,Auckland,Pacific Peoples,1127,1090,1243,907,877
144800,Ellerslie South,Auckland,Pacific Peoples,111,109,masked,>950,>950
144900,Stonefields West,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
145000,Onehunga Central,Auckland,Pacific Peoples,492,488,532,925,917
145100,Glendowie South,Auckland,Pacific Peoples,144,140,156,923,897
145200,Oranga,Auckland,Pacific Peoples,954,924,1019,936,907
145300,Mount Wellington North West,Auckland,Pacific Peoples,156,156,169,923,923
145400,Panmure Glen Innes Industrial,Auckland,Pacific Peoples,58,56,63,921,889
145500,Onehunga-Te Papapa Industrial,Auckland,Pacific Peoples,146,138,161,907,857
145600,Te Papapa,Auckland,Pacific Peoples,574,555,masked,>950,masked
145700,Stonefields East,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
145800,Glen Innes East-Wai O Taiki Bay,Auckland,Pacific Peoples,1222,1179,masked,>950,masked
145900,Penrose,Auckland,Pacific Peoples,100,96,109,917,881
146000,Mount Wellington North East,Auckland,Pacific Peoples,134,128,masked,>950,>950
146100,Mangere Bridge Ambury,Counties Manukau,Pacific Peoples,609,597,659,924,906
146200,Mount Wellington Ferndale,Auckland,Pacific Peoples,597,585,masked,>950,masked
146300,Point England,Auckland,Pacific Peoples,1678,1619,1810,927,894
146400,Bucklands Beach North,Counties Manukau,Pacific Peoples,42,42,52,808,808
146500,Mount Wellington East,Auckland,Pacific Peoples,441,430,masked,>950,masked
146600,Mount Wellington West,Auckland,Pacific Peoples,547,538,masked,>950,masked
146700,Panmure West,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
146800,Mangere Bridge,Counties Manukau,Pacific Peoples,619,604,683,906,884
146900,Oneroa East-Palm Beach,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
147000,Tamaki,Auckland,Pacific Peoples,1151,1124,1235,932,910
147100,Panmure East,Auckland,Pacific Peoples,505,490,masked,>950,masked
147200,Mount Wellington Central,Auckland,Pacific Peoples,617,605,677,911,894
147400,Sylvia Park,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
147500,Mangere Mountain View,Counties Manukau,Pacific Peoples,1314,1282,1451,906,884
147600,Surfdale,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
147800,Half Moon Bay West,Counties Manukau,Pacific Peoples,60,60,masked,>950,>950
147900,Auckland Airport,Counties Manukau,Pacific Peoples,82,79,117,701,675
148000,Eastern Beach,Counties Manukau,Pacific Peoples,42,41,masked,masked,masked
148100,Sunnyhills West-Pakuranga North,Counties Manukau,Pacific Peoples,95,90,masked,>950,>950
148200,Favona North,Counties Manukau,Pacific Peoples,1446,1420,1570,921,904
148300,Bucklands Beach Central,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
148400,Farm Cove,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
148500,Mangere North,Counties Manukau,Pacific Peoples,1136,1103,1237,918,892
148600,Favona West,Counties Manukau,Pacific Peoples,1804,1754,1934,933,907
148700,Ostend,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
148800,Half Moon Bay North East,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
148900,Mangere West,Counties Manukau,Pacific Peoples,2331,2277,2556,912,891
149000,Pakuranga West,Counties Manukau,Pacific Peoples,451,441,masked,>950,>950
149100,Mount Wellington South West,Auckland,Pacific Peoples,614,608,649,946,937
149200,Sunnyhills East,Counties Manukau,Pacific Peoples,73,73,masked,>950,>950
149300,Half Moon Bay South East,Counties Manukau,Pacific Peoples,136,134,153,889,876
149400,Favona East,Counties Manukau,Pacific Peoples,1942,1889,2091,929,903
149500,Mount Wellington South East,Auckland,Pacific Peoples,1147,1118,1235,929,905
149600,Otahuhu Industrial,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
149700,Bucklands Beach South,Counties Manukau,Pacific Peoples,92,91,104,885,875
149800,Pakuranga Central,Counties Manukau,Pacific Peoples,318,312,343,927,910
149900,Awhitu,Counties Manukau,Pacific Peoples,44,44,53,830,830
150000,Harania North,Counties Manukau,Pacific Peoples,2538,2451,2703,939,907
150100,Otahuhu Central,Auckland,Pacific Peoples,593,574,masked,>950,>950
150200,Mangere Central,Counties Manukau,Pacific Peoples,1992,1938,2164,921,896
150300,Otahuhu North,Auckland,Pacific Peoples,1612,1561,masked,>950,masked
150400,Howick West,Counties Manukau,Pacific Peoples,129,127,masked,>950,>950
150500,Pakuranga Heights North West,Counties Manukau,Pacific Peoples,196,188,216,907,870
150600,Mellons Bay,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
150700,Pakuranga Heights East,Counties Manukau,Pacific Peoples,220,217,masked,>950,>950
150800,Sutton Park,Counties Manukau,Pacific Peoples,2293,2245,2444,938,919
150900,Otahuhu East,Auckland,Pacific Peoples,855,840,907,943,926
151000,Mangere South,Counties Manukau,Pacific Peoples,1725,1680,1901,907,884
151100,Onetangi,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
151200,Harania South,Counties Manukau,Pacific Peoples,1778,1734,1873,949,926
151300,Highland Park (Auckland),Counties Manukau,Pacific Peoples,175,169,masked,>950,>950
151400,Otahuhu South West,Auckland,Pacific Peoples,1444,1413,masked,>950,masked
151500,Pakuranga Heights South West,Counties Manukau,Pacific Peoples,344,336,masked,>950,>950
151600,Mangere Mascot,Counties Manukau,Pacific Peoples,2126,2072,2295,926,903
151700,Waiheke East,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
151800,Massey Road West,Counties Manukau,Pacific Peoples,1940,1884,2099,924,898
151900,Otahuhu South,Auckland,Pacific Peoples,1364,1338,masked,>950,masked
152000,Howick Central,Counties Manukau,Pacific Peoples,120,117,masked,>950,masked
152100,Massey Road North,Counties Manukau,Pacific Peoples,1431,1408,1521,941,926
152200,Botany Downs West,Counties Manukau,Pacific Peoples,111,109,masked,>950,>950
152300,East Tamaki,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
152400,Howick East,Counties Manukau,Pacific Peoples,78,74,84,929,881
152500,Burswood,Counties Manukau,Pacific Peoples,84,83,masked,>950,masked
152600,Massey Road South,Counties Manukau,Pacific Peoples,989,972,1046,946,929
152700,Middlemore,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
152800,Mangere South East,Counties Manukau,Pacific Peoples,1778,1744,1903,934,916
152900,Botany Downs East,Counties Manukau,Pacific Peoples,71,66,masked,>950,masked
153000,Grange,Counties Manukau,Pacific Peoples,1084,1052,1148,944,916
153100,Golflands,Counties Manukau,Pacific Peoples,66,66,masked,>950,>950
153200,Aorere North,Counties Manukau,Pacific Peoples,779,758,833,935,910
153300,Mangere East,Counties Manukau,Pacific Peoples,1498,1481,masked,>950,masked
153400,Cockle Bay,Counties Manukau,Pacific Peoples,72,71,masked,>950,>950
153500,Otara West,Counties Manukau,Pacific Peoples,1763,1706,1953,903,874
153600,Aorere Central,Counties Manukau,Pacific Peoples,965,948,1035,932,916
153700,Northpark North,Counties Manukau,Pacific Peoples,67,65,73,918,890
153800,Somerville,Counties Manukau,Pacific Peoples,84,84,92,913,913
153900,Northpark South,Counties Manukau,Pacific Peoples,67,66,masked,>950,>950
154000,Papatoetoe North,Counties Manukau,Pacific Peoples,1321,1287,masked,>950,masked
154100,Dingwall,Counties Manukau,Pacific Peoples,723,711,masked,>950,masked
154200,Aorere South,Counties Manukau,Pacific Peoples,1779,1751,1877,948,933
154300,Shelly Park,Counties Manukau,Pacific Peoples,50,50,53,943,943
154400,Otara Central,Counties Manukau,Pacific Peoples,1501,1453,1674,897,868
154500,Huntington Park,Counties Manukau,Pacific Peoples,75,74,masked,>950,>950
154600,Botany Central,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
154700,Botany North,Counties Manukau,Pacific Peoples,73,71,masked,>950,>950
154800,Papatoetoe West,Counties Manukau,Pacific Peoples,1474,1450,1567,941,925
154900,Papatoetoe Central,Counties Manukau,Pacific Peoples,1075,1057,masked,>950,>950
155000,Sunkist Bay,Counties Manukau,Pacific Peoples,54,54,masked,>950,>950
155100,Otara East,Counties Manukau,Pacific Peoples,2200,2133,2361,932,903
155200,Redcastle,Counties Manukau,Pacific Peoples,180,176,196,918,898
155300,Botany East,Counties Manukau,Pacific Peoples,63,63,67,940,940
155400,Botany South,Counties Manukau,Pacific Peoples,103,101,masked,>950,>950
155500,Manukau Central,Counties Manukau,Pacific Peoples,258,248,277,931,895
155600,Papatoetoe East,Counties Manukau,Pacific Peoples,1220,1195,1296,941,922
155700,Otara South,Counties Manukau,Pacific Peoples,2181,2112,2421,901,872
155800,Ferguson,Counties Manukau,Pacific Peoples,2525,2440,2738,922,891
155900,Papatoetoe South West,Counties Manukau,Pacific Peoples,1281,1255,masked,>950,masked
156000,Botany Junction,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
156100,Dannemora North,Counties Manukau,Pacific Peoples,109,108,119,916,908
156200,Papatoetoe South,Counties Manukau,Pacific Peoples,891,876,masked,>950,>950
156300,East Tamaki Heights,Counties Manukau,Pacific Peoples,91,91,97,938,938
156400,Te Puru,Counties Manukau,Pacific Peoples,73,73,masked,>950,>950
156500,Puhinui North,Counties Manukau,Pacific Peoples,895,885,masked,>950,>950
156600,Dannemora South,Counties Manukau,Pacific Peoples,201,199,masked,>950,>950
156700,Puhinui South,Counties Manukau,Pacific Peoples,672,661,masked,>950,>950
156800,Rongomai West,Counties Manukau,Pacific Peoples,1366,1316,1522,898,865
156900,Baverstock,Counties Manukau,Pacific Peoples,379,372,masked,>950,>950
157000,Puhinui East,Counties Manukau,Pacific Peoples,636,626,masked,>950,masked
157100,Turanga,Counties Manukau,Pacific Peoples,55,55,61,902,902
157200,Rongomai East,Counties Manukau,Pacific Peoples,1050,1027,1174,894,875
157300,Ormiston North,Counties Manukau,Pacific Peoples,200,197,masked,>950,>950
157400,Maraetai,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
157500,Chapel Downs,Counties Manukau,Pacific Peoples,786,764,828,949,923
157600,Wiri West,Counties Manukau,Pacific Peoples,170,156,masked,>950,masked
157700,Clover Park North,Counties Manukau,Pacific Peoples,2300,2261,2525,911,895
157800,Mission Heights North,Counties Manukau,Pacific Peoples,234,229,masked,>950,>950
157900,Clover Park South,Counties Manukau,Pacific Peoples,1270,1236,1347,943,918
158000,Donegal Park,Counties Manukau,Pacific Peoples,613,597,masked,>950,masked
158100,Ormiston South,Counties Manukau,Pacific Peoples,627,620,masked,>950,>950
158200,Mission Heights South,Counties Manukau,Pacific Peoples,309,299,masked,>950,>950
158300,Hilltop (Auckland),Counties Manukau,Pacific Peoples,703,690,750,937,920
158400,Wiri East,Counties Manukau,Pacific Peoples,1520,1459,1712,888,852
158500,Goodwood Heights,Counties Manukau,Pacific Peoples,893,882,masked,>950,masked
158600,Ormiston East,Counties Manukau,Pacific Peoples,330,324,masked,>950,>950
158700,Clendon Park North,Counties Manukau,Pacific Peoples,1256,1220,1366,919,893
158800,Burbank,Counties Manukau,Pacific Peoples,1556,1504,1657,939,908
158900,Tuscany Heights,Counties Manukau,Pacific Peoples,91,91,101,901,901
159000,Totara Heights,Counties Manukau,Pacific Peoples,560,550,masked,>950,masked
159100,Homai East,Counties Manukau,Pacific Peoples,906,881,994,911,886
159200,Homai West,Counties Manukau,Pacific Peoples,1621,1576,1764,919,893
159300,The Gardens (Auckland),Counties Manukau,Pacific Peoples,404,400,438,922,913
159400,Clarks Beach,Counties Manukau,Pacific Peoples,53,52,masked,>950,>950
159500,Clendon Park West,Counties Manukau,Pacific Peoples,1252,1220,masked,>950,masked
159600,Hillpark North,Counties Manukau,Pacific Peoples,423,407,masked,>950,masked
159700,Clendon Park East,Counties Manukau,Pacific Peoples,990,966,masked,>950,masked
159800,Karaka Creek,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
159900,Rowandale West,Counties Manukau,Pacific Peoples,1388,1344,1482,937,907
160000,Rowandale East,Counties Manukau,Pacific Peoples,1325,1293,1398,948,925
160100,Manurewa Central,Counties Manukau,Pacific Peoples,886,861,940,943,916
160200,Weymouth North,Counties Manukau,Pacific Peoples,1608,1568,1692,950,927
160300,Hillpark South,Counties Manukau,Pacific Peoples,492,484,537,916,901
160400,Alfriston,Counties Manukau,Pacific Peoples,523,515,565,926,912
160500,Weymouth East,Counties Manukau,Pacific Peoples,1273,1245,1367,931,911
160600,Leabank,Counties Manukau,Pacific Peoples,1327,1288,1429,929,901
160700,Weymouth South,Counties Manukau,Pacific Peoples,1007,989,1109,908,892
160800,Manurewa East,Counties Manukau,Pacific Peoples,863,841,masked,>950,masked
160900,Manurewa South,Counties Manukau,Pacific Peoples,1117,1087,1199,932,907
161000,Randwick Park East,Counties Manukau,Pacific Peoples,504,499,535,942,933
161100,Wattle Downs West,Counties Manukau,Pacific Peoples,388,382,masked,>950,>950
161200,Wattle Downs North,Counties Manukau,Pacific Peoples,764,737,825,926,893
161300,Randwick Park West,Counties Manukau,Pacific Peoples,1111,1092,1215,914,899
161400,Kingseat-Karaka,Counties Manukau,Pacific Peoples,77,76,masked,>950,>950
161500,Wattle Downs East,Counties Manukau,Pacific Peoples,281,276,masked,>950,>950
161600,Takanini North,Counties Manukau,Pacific Peoples,335,322,370,905,870
161700,Takanini Industrial,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
161800,Conifer Grove West,Counties Manukau,Pacific Peoples,171,167,184,929,908
161900,Conifer Grove East,Counties Manukau,Pacific Peoples,312,297,362,862,820
162000,Takanini West,Counties Manukau,Pacific Peoples,458,441,masked,>950,masked
162100,Takanini South,Counties Manukau,Pacific Peoples,647,638,masked,>950,>950
162200,Takanini Central,Counties Manukau,Pacific Peoples,119,118,masked,>950,>950
162300,Ardmore,Counties Manukau,Pacific Peoples,46,43,masked,>950,masked
162400,Glenbrook,Counties Manukau,Pacific Peoples,93,89,masked,>950,masked
162500,Hingaia,Counties Manukau,Pacific Peoples,103,101,masked,>950,>950
162600,Takanini South East,Counties Manukau,Pacific Peoples,390,379,masked,>950,>950
162700,Kawakawa Bay-Orere,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
162800,Papakura West,Counties Manukau,Pacific Peoples,175,170,186,941,914
162900,Clevedon,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
163000,Papakura North,Counties Manukau,Pacific Peoples,490,478,516,950,926
163100,Pahurehure,Counties Manukau,Pacific Peoples,213,209,masked,>950,>950
163200,Papakura Central,Counties Manukau,Pacific Peoples,340,328,372,914,882
163300,Papakura North East,Counties Manukau,Pacific Peoples,523,512,masked,>950,>950
163400,Karaka Lakes,Counties Manukau,Pacific Peoples,123,122,masked,>950,>950
163500,Papakura Kelvin,Counties Manukau,Pacific Peoples,817,797,masked,>950,masked
163600,Papakura Massey Park,Counties Manukau,Pacific Peoples,484,473,521,929,908
163700,Rosehill,Counties Manukau,Pacific Peoples,519,506,masked,>950,masked
163800,Patumahoe,Counties Manukau,Pacific Peoples,45,44,masked,>950,>950
163900,Papakura East,Counties Manukau,Pacific Peoples,610,593,645,946,919
164000,Opaheke,Counties Manukau,Pacific Peoples,238,232,252,944,921
164100,Papakura Industrial,Counties Manukau,Pacific Peoples,46,45,masked,>950,>950
164200,Red Hill,Counties Manukau,Pacific Peoples,408,392,masked,>950,masked
164300,Drury,Counties Manukau,Pacific Peoples,82,78,95,863,821
164400,Tamakae,Counties Manukau,Pacific Peoples,58,55,masked,>950,>950
164500,Hamilton Estate,Counties Manukau,Pacific Peoples,78,73,masked,>950,>950
164600,Drury Rural,Counties Manukau,Pacific Peoples,73,71,83,880,855
164700,Waiuku Central,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
164800,Waiuku East,Counties Manukau,Pacific Peoples,52,52,60,867,867
164900,Kendallvale,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
165000,Puni,Counties Manukau,Pacific Peoples,102,100,masked,>950,>950
165100,Ramarama,Counties Manukau,Pacific Peoples,59,58,masked,>950,masked
165200,Hunua,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
165300,Pukekohe North West,Counties Manukau,Pacific Peoples,476,466,masked,>950,>950
165400,Anselmi Ridge,Counties Manukau,Pacific Peoples,66,64,masked,>950,>950
165500,Pukekohe West,Counties Manukau,Pacific Peoples,507,486,masked,>950,>950
165600,Cape Hill,Counties Manukau,Pacific Peoples,51,48,masked,>950,>950
165700,Rosa Birch Park,Counties Manukau,Pacific Peoples,53,51,masked,>950,>950
165800,Rooseville Park,Counties Manukau,Pacific Peoples,80,76,masked,>950,masked
165900,Cloverlea (Auckland),Counties Manukau,Pacific Peoples,57,57,masked,>950,>950
166000,Pukekohe Central,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
166100,Pukekohe Hospital,Counties Manukau,Pacific Peoples,44,44,49,898,898
166200,Buckland,Counties Manukau,Pacific Peoples,43,43,masked,>950,>950
166300,Bombay Hills,Counties Manukau,Pacific Peoples,48,48,52,923,923
166400,Ararimu,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
166500,Colville,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
166700,Coromandel,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
166900,Mercury Bay North,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
167000,Whitianga North,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
167100,Whitianga South,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
167200,Thames Coast,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
167300,Cooks Beach-Ferry Landing,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
167400,Mercury Bay South,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
167600,Thames North,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
167700,Thames Central,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
167800,Thames South,Waikato,Pacific Peoples,44,42,49,898,857
167900,Hikuai,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
168000,Totora-Kopu,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
168100,Tairua,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
168200,Pauanui,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
168300,Matatoki-Puriri,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
168500,Whangamata,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
168600,Miranda-Pukorokoro,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
168700,Hauraki Plains North,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
168800,Hauraki Plains East,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
168900,Ngatea,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
169000,Hauraki Plains South,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
169100,Paeroa Rural,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
169200,Paeroa,Waikato,Pacific Peoples,70,67,76,921,882
169300,Waihi Rural,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
169400,Waihi North,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
169500,Waihi East,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
169600,Waihi South,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
169700,Aka Aka,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
169800,Mangatangi,Counties Manukau,Pacific Peoples,48,47,masked,masked,masked
169900,Tuakau Rural,Counties Manukau,Pacific Peoples,67,67,masked,>950,>950
170000,Tuakau North,Counties Manukau,Pacific Peoples,142,139,masked,>950,>950
170100,Onewhero,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
170200,Pokeno Rural,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
170300,Tuakau South,Counties Manukau,Pacific Peoples,127,119,masked,>950,>950
170400,Port Waikato-Waikaretu,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
170500,Pokeno,Counties Manukau,Pacific Peoples,260,256,masked,>950,>950
170600,Pukekawa,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
170700,Maramarua,Waikato,Pacific Peoples,46,42,masked,>950,masked
170800,Rangiriri,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
170900,Te Akau,Counties Manukau,Pacific Peoples,masked,masked,masked,masked,masked
170900,Te Akau,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
171100,Te Kauwhata,Waikato,Pacific Peoples,55,55,masked,>950,>950
171200,Huntly Rural,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
171300,Waerenga,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
171400,Huntly West,Waikato,Pacific Peoples,111,105,117,949,897
171500,Huntly East,Waikato,Pacific Peoples,278,270,295,942,915
171600,Raglan,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
171700,Whitikahu,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
171800,Te Uku,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
171900,Taupiri-Lake Kainui,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
172000,Ngaruawahia North,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
172100,Ngaruawahia Central,Waikato,Pacific Peoples,81,78,masked,>950,>950
172200,Ngaruawahia South,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
172300,Kainui-Gordonton,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
172400,Te Kowhai,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
172600,Horotiu,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
172700,Horsham Downs,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
172800,Whatawhata East,Waikato,Pacific Peoples,masked,masked,masked,masked,masked
