"tla_code","tla_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","10504","9550",11195,"938","853"
"1","Far North District","Northland","20745","18970",25517,"813","743"
"2","Whangarei District","Northland","17216","15877",20055,"858","792"
"3","Kaipara District","Northland","3222","2958",4090,"788","723"
"11","Thames-Coromandel District","Waikato","3008","2792",3664,"821","762"
"12","Hauraki District","Counties Manukau","166","161",189,"878","852"
"12","Hauraki District","Waikato","2604","2402",3098,"841","775"
"13","Waikato District","Counties Manukau","2655","2534",2852,"931","888"
"13","Waikato District","Waikato","9779","9179",11183,"874","821"
"15","Matamata-Piako District","Waikato","3296","3049",3825,"862","797"
"16","Hamilton City","Waikato","24696","22976",27750,"890","828"
"17","Waipa District","Waikato","4686","4464",5246,"893","851"
"18","Otorohanga District","Waikato","1710","1595",1975,"866","808"
"19","South Waikato District","Waikato","5450","5037",6294,"866","800"
"20","Waitomo District","Waikato","2685","2459",3154,"851","780"
"21","Taupo District","Lakes","6787","6200",7902,"859","785"
"22","Western Bay of Plenty District","Bay of Plenty","6117","5675",7498,"816","757"
"23","Tauranga City","Bay of Plenty","15937","14757",18490,"862","798"
"24","Rotorua District","Lakes","18542","17157",21520,"862","797"
"25","Whakatane District","Bay of Plenty","10420","9513",12904,"808","737"
"26","Kawerau District","Bay of Plenty","2935","2667",3475,"845","767"
"27","Opotiki District","Bay of Plenty","3718","3367",4478,"830","752"
"28","Gisborne District","Tairawhiti","17133","15814",19482,"879","812"
"29","Wairoa District","Hawke's Bay","3545","3285",4172,"850","787"
"30","Hastings District","Hawke's Bay","14641","13381",16744,"874","799"
"31","Napier City","Hawke's Bay","9127","8422",10394,"878","810"
"32","Central Hawke's Bay District","Hawke's Bay","2114","1956",2327,"908","841"
"33","New Plymouth District","Taranaki","8275","7686",9617,"860","799"
"34","Stratford District","Taranaki","619","570",760,"814","750"
"35","South Taranaki District","Taranaki","4330","4032",4972,"871","811"
"36","Ruapehu District","Waikato","2026","1782",2524,"803","706"
"36","Ruapehu District","Whanganui","1067","987",1281,"833","770"
"37","Whanganui District","Whanganui","7703","7116",9141,"843","778"
"38","Rangitikei District","Whanganui","2511","2337",2893,"868","808"
"39","Manawatu District","MidCentral","2781","2599",3076,"904","845"
"40","Palmerston North City","MidCentral","9395","8751",10237,"918","855"
"41","Tararua District","MidCentral","2552","2291",2907,"878","788"
"42","Horowhenua District","MidCentral","5346","4974",5994,"892","830"
"43","Kapiti Coast District","Capital and Coast","3429","3261",3841,"893","849"
"43","Kapiti Coast District","MidCentral","1740","1604",1979,"879","811"
"44","Porirua City","Capital and Coast","8516","8063",9271,"919","870"
"45","Upper Hutt City","Hutt Valley","4278","4070",4515,"948","901"
"46","Lower Hutt City","Hutt Valley","12968","12164",14293,"907","851"
"47","Wellington City","Capital and Coast","masked","12565",13429,">950","936"
"48","Masterton District","Wairarapa","3862","3597",4235,"912","849"
"49","Carterton District","Wairarapa","775","727",853,"909","852"
"50","South Wairarapa District","Wairarapa","1061","998",1147,"925","870"
"51","Tasman District","Nelson Marlborough","2582","2406",3059,"844","787"
"52","Nelson City","Nelson Marlborough","3362","3113",3833,"877","812"
"53","Marlborough District","Nelson Marlborough","3875","3644",4294,"902","849"
"54","Kaikoura District","Canterbury","430","406",497,"865","817"
"55","Buller District","West Coast","642","597",756,"849","790"
"56","Grey District","West Coast","914","862",1048,"872","823"
"57","Westland District","West Coast","795","752",908,"876","828"
"58","Hurunui District","Canterbury","572","533",678,"844","786"
"59","Waimakariri District","Canterbury","3332","3192",3751,"888","851"
"60","Christchurch City","Canterbury","24633","23194",26991,"913","859"
"62","Selwyn District","Canterbury","masked","masked",3294,">950",">950"
"63","Ashburton District","Canterbury","1515","1405",1659,"913","847"
"64","Timaru District","South Canterbury","2531","2347",2868,"882","818"
"65","Mackenzie District","South Canterbury","183","176",212,"863","830"
"66","Waimate District","South Canterbury","315","295",360,"875","819"
"67","Chatham Islands Territory","Canterbury","122","120",131,"931","916"
"68","Waitaki District","Southern","1068","1002",1234,"865","812"
"69","Central Otago District","Southern","1202","1150",1338,"898","859"
"70","Queenstown-Lakes District","Southern","1446","1404",1574,"919","892"
"71","Dunedin City","Southern","7524","7235",7973,"944","907"
"72","Clutha District","Southern","1313","1218",1492,"880","816"
"73","Southland District","Southern","1784","1677",2112,"845","794"
"74","Gore District","Southern","942","880",1050,"897","838"
"75","Invercargill City","Southern","5934","5580",6650,"892","839"
"76","Auckland","Auckland","25508","24330",27866,"915","873"
"76","Auckland","Counties Manukau","52059","48643",58883,"884","826"
"76","Auckland","Waitemata","36702","35100",40103,"915","875"
