sa2_code,sa2_name,dhb,booster_count,eligible_booster_pop,booster_uptake
Unknown,Unknown,Unknown,33938,55005,617
100100,North Cape,Northland,815,1227,664
100200,Rangaunu Harbour,Northland,845,1421,595
100300,Inlets Far North District,Northland,Masked,Masked,Masked
100400,Karikari Peninsula,Northland,712,1028,693
100500,Tangonge,Northland,467,737,634
100600,Ahipara,Northland,506,793,638
100700,Kaitaia East,Northland,834,1478,564
100800,Kaitaia West,Northland,1221,2110,579
100900,Rangitihi,Northland,352,596,591
101000,Oruru-Parapara,Northland,348,579,601
101100,Taumarumaru,Northland,1360,1854,734
101200,Herekino-Takahue,Northland,362,586,618
101300,Peria,Northland,408,657,621
101400,Taemaro-Oruaiti,Northland,411,618,665
101500,Whakapaku,Northland,304,458,664
101600,Hokianga North,Northland,381,562,678
101700,Kohukohu-Broadwood,Northland,366,519,705
101800,Whakarara,Northland,604,863,700
101900,Kaeo,Northland,465,726,640
102000,Omahuta Forest-Horeke,Northland,386,619,624
102100,Hokianga South,Northland,514,765,672
102200,Lake Manuwai-Kapiro,Northland,1101,1637,673
102300,?kaihau,Northland,473,782,605
102400,Rangitane-Purerua,Northland,695,1010,688
102500,Waipapa,Northland,379,578,656
102600,Puketotara,Northland,888,1304,681
102700,Waim? Forest,Northland,355,638,556
102800,Riverview,Northland,1302,1699,766
102900,Waipoua Forest,Northland,548,790,694
103000,Kerikeri Central,Northland,1420,2021,703
103100,Kerikeri South,Northland,1619,2142,756
103200,?haeawai-Waimate North,Northland,544,825,659
103300,Puketona-Waitangi,Northland,731,1033,708
103400,Ngapuhi,Northland,500,890,562
103500,Kaikohe,Northland,1388,2427,572
103600,Pakaraka,Northland,272,429,634
103700,Haruru,Northland,558,800,698
103800,Russell,Northland,543,672,808
103900,Paihia,Northland,852,1246,684
104000,Mataraua Forest,Northland,171,301,568
104100,Matawaia-Taumarere,Northland,511,857,596
104200,Russell Peninsula,Northland,417,515,810
104300,Opua (Far North District),Northland,762,1011,754
104400,Russell Forest-Rawhiti,Northland,335,482,695
104500,Moerewa,Northland,515,943,546
104600,Kawakawa,Northland,539,909,593
104700,Maromaku,Northland,239,405,590
104800,Mangakahia-H?kerenui,Northland,660,1165,567
104900,Whangaruru,Northland,1088,1722,632
105100,Matarau,Northland,1554,2221,700
105200,Hikurangi,Northland,521,917,568
105300,Kauri,Northland,913,1239,737
105400,Maungatapere,Northland,1746,2452,712
105500,Kamo West,Northland,1139,1573,724
105600,Matapouri-Tutukaka,Northland,979,1336,733
105700,Kiripaka,Northland,479,701,683
105800,Kamo East,Northland,1237,1984,623
105900,Granfield Reserve,Northland,1916,2458,779
106000,Kamo Central,Northland,794,1173,677
106100,Whau Valley,Northland,1504,2078,724
106200,Tikipunga North,Northland,1677,2417,694
106300,Pukenui,Northland,1296,1709,758
106400,Otangarei,Northland,581,1158,502
106500,Tikipunga South,Northland,1779,2639,674
106600,Kensington (Whangarei District),Northland,1847,2562,721
106700,Abbey Caves-Glenbervie,Northland,709,997,711
106800,Mairtown,Northland,1411,1896,744
106900,Maunu-Horahora,Northland,1882,2496,754
107000,Woodhill-Vinetown,Northland,1427,2097,680
107100,Whang?rei Central,Northland,570,834,683
107200,Riverside,Northland,1101,1572,700
107300,Raumanga,Northland,1108,1986,558
107400,Tarewa,Northland,633,1124,563
