sa2_code,sa2_name,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
Unknown,NA,NA,809,332,1729,468,192
100100,North Cape,Northland,45,16,138,326,116
100200,Rangaunu Harbour,Northland,33,12,195,169,62
100400,Karikari Peninsula,Northland,21,5,95,221,53
100500,Tangonge,Northland,21,Masked,97,216,<50
100600,Ahipara,Northland,35,9,107,327,84
100700,Kaitaia East,Northland,79,26,295,268,88
100800,Kaitaia West,Northland,84,33,347,242,95
100900,Rangitihi,Northland,8,Masked,62,129,<50
101000,Oruru-Parapara,Northland,13,5,59,220,85
101100,Taumarumaru,Northland,35,13,130,269,100
101200,Herekino-Takahue,Northland,24,Masked,78,308,51
101300,Peria,Northland,13,5,89,146,56
101400,Taemaro-Oruaiti,Northland,15,Masked,55,273,73
101500,Whakapaku,Northland,18,Masked,55,327,73
101600,Hokianga North,Northland,34,13,115,296,113
101700,Kohukohu-Broadwood,Northland,15,Masked,47,319,85
101800,Whakarara,Northland,33,22,74,446,297
101900,Kaeo,Northland,38,17,107,355,159
102000,Omahuta Forest-Horeke,Northland,13,8,119,109,67
102100,Hokianga South,Northland,28,15,104,269,144
102200,Lake Manuwai-Kapiro,Northland,18,Masked,66,273,<50
102300,?kaihau,Northland,10,Masked,54,185,74
102400,Rangitane-Purerua,Northland,12,Masked,68,176,59
102500,Waipapa,Northland,Masked,Masked,Masked,Masked,Masked
102600,Puketotara,Northland,24,Masked,57,421,53
102700,Waim? Forest,Northland,21,6,129,163,<50
102800,Riverview,Northland,20,Masked,53,377,75
102900,Waipoua Forest,Northland,19,9,105,181,86
103000,Kerikeri Central,Northland,32,15,104,308,144
103100,Kerikeri South,Northland,20,5,48,417,104
103200,?haeawai-Waimate North,Northland,13,6,71,183,85
103300,Puketona-Waitangi,Northland,28,5,54,519,93
103400,Ngapuhi,Northland,35,8,172,203,<50
103500,Kaikohe,Northland,141,52,605,233,86
103600,Pakaraka,Northland,8,Masked,40,200,75
103700,Haruru,Northland,24,6,42,571,143
103800,Russell,Northland,Masked,Masked,Masked,Masked,Masked
103900,Paihia,Northland,12,Masked,67,179,<50
104000,Mataraua Forest,Northland,11,8,55,200,145
104100,Matawaia-Taumarere,Northland,39,6,158,247,<50
104200,Russell Peninsula,Northland,Masked,Masked,Masked,Masked,Masked
104300,Opua (Far North District),Northland,Masked,Masked,Masked,Masked,Masked
104400,Russell Forest-Rawhiti,Northland,11,Masked,68,162,<50
104500,Moerewa,Northland,34,8,217,157,<50
104600,Kawakawa,Northland,36,10,149,242,67
104700,Maromaku,Northland,24,5,75,320,67
104800,Mangakahia-H?kerenui,Northland,27,6,129,209,<50
104900,Whangaruru,Northland,51,8,146,349,55
105100,Matarau,Northland,32,13,82,390,159
105200,Hikurangi,Northland,44,19,131,336,145
105300,Kauri,Northland,17,7,51,333,137
105400,Maungatapere,Northland,35,15,100,350,150
105500,Kamo West,Northland,44,16,92,478,174
105600,Matapouri-Tutukaka,Northland,Masked,Masked,Masked,Masked,Masked
105700,Kiripaka,Northland,Masked,Masked,Masked,Masked,Masked
105800,Kamo East,Northland,71,17,253,281,67
105900,Granfield Reserve,Northland,29,10,84,345,119
106000,Kamo Central,Northland,33,12,94,351,128
106100,Whau Valley,Northland,37,12,Masked,303,98
106200,Tikipunga North,Northland,71,17,263,270,65
106300,Pukenui,Northland,26,7,56,464,125
106400,Otangarei,Northland,49,10,306,160,<50
106500,Tikipunga South,Northland,92,21,275,335,76
106600,Kensington (Whangarei District),Northland,27,11,126,214,87
106700,Abbey Caves-Glenbervie,Northland,Masked,Masked,Masked,Masked,Masked
106800,Mairtown,Northland,36,15,84,429,179
106900,Maunu-Horahora,Northland,43,15,101,426,149
107000,Woodhill-Vinetown,Northland,29,10,105,276,95
107100,Whang?rei Central,Northland,Masked,Masked,Masked,Masked,Masked
107200,Riverside,Northland,31,7,76,408,92
107300,Raumanga,Northland,95,20,335,284,60
107400,Tarewa,Northland,62,22,Masked,274,97
107500,Morningside (Whangarei District),Northland,46,20,130,354,154
107600,Ngunguru,Northland,14,Masked,43,326,93
107700,Otaika-Portland,Northland,20,11,57,351,193
107800,Oakleigh-Mangapai,Northland,12,7,57,211,123
107900,Port-Limeburners,Northland,Masked,Masked,Masked,Masked,Masked
108000,Pataua,Northland,9,Masked,50,180,80
108100,Onerahi Park,Northland,20,10,47,426,213
108200,Sherwood Rise,Northland,37,15,149,248,101
108300,Onerahi,Northland,35,17,144,243,118
108500,Parua Bay,Northland,26,8,58,448,138
108600,Bream Bay,Northland,23,11,75,307,147
108700,Marsden Bay,Northland,20,10,84,238,119
108800,Ruak?k?,Northland,44,9,144,306,62
108900,Bream Head,Northland,Masked,Masked,Masked,Masked,Masked
109000,Waipu,Northland,12,5,48,250,104
109100,Kaipara Coastal,Northland,39,11,179,218,61
109200,Maungaru,Northland,20,Masked,67,299,60
109300,Dargaville,Northland,45,23,261,172,88
109400,Ruawai-Matakohe,Northland,25,11,Masked,219,96
109500,Otamatea (Kaipara District),Northland,11,Masked,48,229,62
109600,Maungaturoto,Northland,18,Masked,56,321,54
109700,Kaiwaka,Northland,23,5,88,261,57
109800,Mangawhai Rural,Northland,11,7,60,183,117
109900,Mangawhai Heads,Northland,16,8,48,333,167
110100,Mangawhai,Northland,Masked,Masked,Masked,Masked,Masked
110200,Okahukura Peninsula,Waitemata,10,5,49,204,102
110400,Cape Rodney,Waitemata,29,20,68,426,294
