sa2_code,sa2_name,dhb,booster_count,eligible_booster_pop,booster_uptake
Unknown,NA,NA,3700,7903,468
100100,North Cape,Northland,426,696,612
100200,Rangaunu Harbour,Northland,399,780,512
100300,Inlets Far North District,Northland,Masked,Masked,Masked
100400,Karikari Peninsula,Northland,218,415,525
100500,Tangonge,Northland,253,441,574
100600,Ahipara,Northland,265,441,601
100700,Kaitaia East,Northland,456,960,475
100800,Kaitaia West,Northland,628,1336,470
100900,Rangitihi,Northland,146,294,497
101000,Oruru-Parapara,Northland,106,214,495
101100,Taumarumaru,Northland,244,437,558
101200,Herekino-Takahue,Northland,152,301,505
101300,Peria,Northland,107,225,476
101400,Taemaro-Oruaiti,Northland,110,208,529
101500,Whakapaku,Northland,102,182,560
101600,Hokianga North,Northland,332,501,663
101700,Kohukohu-Broadwood,Northland,165,262,630
101800,Whakarara,Northland,276,427,646
101900,Kaeo,Northland,190,331,574
102000,Omahuta Forest-Horeke,Northland,215,402,535
102100,Hokianga South,Northland,290,475,611
102200,Lake Manuwai-Kapiro,Northland,91,180,506
102300,?kaihau,Northland,109,228,478
102400,Rangitane-Purerua,Northland,150,269,558
102500,Waipapa,Northland,50,98,510
102600,Puketotara,Northland,98,175,560
102700,Waim? Forest,Northland,276,537,514
102800,Riverview,Northland,109,188,580
102900,Waipoua Forest,Northland,293,469,625
103000,Kerikeri Central,Northland,171,359,476
103100,Kerikeri South,Northland,108,182,593
103200,?haeawai-Waimate North,Northland,175,304,576
103300,Puketona-Waitangi,Northland,137,228,601
103400,Ngapuhi,Northland,333,673,495
103500,Kaikohe,Northland,925,1900,487
103600,Pakaraka,Northland,61,118,517
103700,Haruru,Northland,93,173,538
103800,Russell,Northland,81,115,704
103900,Paihia,Northland,185,373,496
104000,Mataraua Forest,Northland,120,212,566
104100,Matawaia-Taumarere,Northland,283,563,503
104200,Russell Peninsula,Northland,42,56,750
104300,Opua (Far North District),Northland,67,120,558
104400,Russell Forest-Rawhiti,Northland,190,313,607
104500,Moerewa,Northland,434,855,508
104600,Kawakawa,Northland,307,616,498
104700,Maromaku,Northland,87,169,515
104800,Mangakahia-H?kerenui,Northland,237,459,516
104900,Whangaruru,Northland,283,513,552
105100,Matarau,Northland,151,279,541
105200,Hikurangi,Northland,173,354,489
105300,Kauri,Northland,112,191,586
105400,Maungatapere,Northland,206,344,599
105500,Kamo West,Northland,183,313,585
105600,Matapouri-Tutukaka,Northland,103,174,592
105700,Kiripaka,Northland,76,149,510
105800,Kamo East,Northland,330,727,454
105900,Granfield Reserve,Northland,207,379,546
106000,Kamo Central,Northland,181,336,539
106100,Whau Valley,Northland,255,470,543
106200,Tikipunga North,Northland,370,733,505
106300,Pukenui,Northland,92,136,676
106400,Otangarei,Northland,403,899,448
106500,Tikipunga South,Northland,478,919,520
106600,Kensington (Whangarei District),Northland,314,576,545
106700,Abbey Caves-Glenbervie,Northland,60,113,531
106800,Mairtown,Northland,270,428,631
106900,Maunu-Horahora,Northland,238,413,576
107000,Woodhill-Vinetown,Northland,292,522,559
107100,Whang?rei Central,Northland,113,208,543
107200,Riverside,Northland,177,336,527
107300,Raumanga,Northland,453,1029,440
107400,Tarewa,Northland,321,640,502
107500,Morningside (Whangarei District),Northland,311,609,511
107600,Ngunguru,Northland,77,128,602
107700,Otaika-Portland,Northland,126,211,597
107800,Oakleigh-Mangapai,Northland,100,192,521
107900,Port-Limeburners,Northland,Masked,Masked,Masked
108000,Pataua,Northland,68,136,500
108100,Onerahi Park,Northland,128,205,624
108200,Sherwood Rise,Northland,256,502,510
108300,Onerahi,Northland,206,420,490
108500,Parua Bay,Northland,149,233,639
108600,Bream Bay,Northland,140,257,545
108700,Marsden Bay,Northland,151,261,579
108800,Ruak?k?,Northland,257,485,530
108900,Bream Head,Northland,56,76,737
109000,Waipu,Northland,135,235,574
109100,Kaipara Coastal,Northland,295,594,497
109200,Maungaru,Northland,100,199,503
109300,Dargaville,Northland,429,959,447
109400,Ruawai-Matakohe,Northland,190,341,557
109500,Otamatea (Kaipara District),Northland,67,120,558
109600,Maungaturoto,Northland,71,142,500
109700,Kaiwaka,Northland,140,286,490
109800,Mangawhai Rural,Northland,69,130,531
109900,Mangawhai Heads,Northland,72,122,590
110100,Mangawhai,Northland,33,55,600
110200,Okahukura Peninsula,Waitemata,49,125,392
110400,Cape Rodney,Waitemata,159,291,546
110500,Wellsford,Waitemata,87,203,429
110700,South Head,Waitemata,147,297,495
110800,Kaipara Hills,Waitemata,96,189,508
110900,Dome Valley-Matakana,Waitemata,27,55,491
111100,Warkworth West,Waitemata,57,111,514
111200,Puhoi Valley,Waitemata,74,157,471
111300,Warkworth East,Waitemata,72,157,459
111400,Sandspit,Waitemata,Masked,Masked,Masked
111500,Tawharanui Peninsula,Waitemata,48,64,750
111600,Te Kuru,Waitemata,62,125,496
111700,Snells Beach,Waitemata,113,189,598
111800,Barrier Islands,Auckland,91,135,674
111900,Algies Bay-Scotts Landing,Waitemata,23,38,605
112100,Wainui-Waiwera,Waitemata,52,85,612
112200,Parakai,Waitemata,63,144,438
112300,Helensville Rural,Waitemata,59,103,573
112400,Helensville,Waitemata,157,298,527
112500,Waitoki,Waitemata,28,48,583
112600,Waikoukou Valley,Waitemata,43,74,581
112700,Orewa North,Waitemata,93,156,596
112800,Hatfields Beach,Waitemata,51,87,586
112900,Orewa South,Waitemata,65,112,580
113000,Orewa Central,Waitemata,87,131,664
113100,Millwater North,Waitemata,37,55,673
113200,Waipatukahu,Waitemata,79,129,612
113300,Millwater South,Waitemata,62,105,590
113400,Dairy Flat North,Waitemata,54,121,446
113500,Dairy Flat West,Waitemata,22,40,550
113600,Kingsway,Waitemata,42,80,525
113800,Silverdale Central (Auckland),Waitemata,22,47,468
113900,Red Beach West,Waitemata,61,85,718
114000,Red Beach East,Waitemata,101,155,652
114100,Silverdale South (Auckland),Waitemata,40,77,519
114200,Waimauku,Waitemata,42,71,592
114300,Gulf Islands,Auckland,Masked,Masked,Masked
114400,Vipond,Waitemata,86,145,593
114500,Muriwai,Waitemata,44,73,603
114600,Stanmore Bay West,Waitemata,85,155,548
114700,Kumeu Rural West,Waitemata,47,91,516
114800,Okura Bush,Waitemata,29,53,547
114900,Whangapar?oa Central,Waitemata,96,195,492
115000,Kumeu-Huapai,Waitemata,128,232,552
115100,Stanmore Bay East,Waitemata,86,164,524
115200,Manly West,Waitemata,63,132,477
115300,Muriwai Valley-Bethells Beach,Waitemata,29,55,527
115400,Tindalls-Matakatia,Waitemata,46,84,548
115500,Coatesville,Waitemata,28,53,528
115600,Dairy Flat South,Waitemata,26,56,464
115700,Gulf Harbour North,Waitemata,70,101,693
115800,Manly East,Waitemata,95,165,576
115900,Riverhead,Waitemata,74,143,517
116000,Army Bay,Waitemata,37,68,544
116100,Kumeu Rural East,Waitemata,91,150,607
116200,Gulf Harbour South,Waitemata,34,52,654
116300,Paremoremo West,Waitemata,20,35,571
116400,Taupaki,Waitemata,55,89,618
116500,Long Bay,Waitemata,22,32,688
116600,Paremoremo East,Waitemata,60,106,566
116700,Albany Heights,Waitemata,48,87,552
116800,Awaruku,Waitemata,66,111,595
116900,Fairview Heights,Waitemata,25,53,472
117000,Whenuapai,Waitemata,225,370,608
117100,Waitakere Ranges North,Waitemata,41,65,631
117200,Torbay,Waitemata,79,122,648
117300,Albany Central,Waitemata,60,95,632
117400,Albany West,Waitemata,31,59,525
117500,Glamorgan,Waitemata,68,107,636
117600,Oteha East,Waitemata,48,69,696
117700,Northcross,Waitemata,52,93,559
117800,Oteha West,Waitemata,Masked,Masked,Masked
117900,Waiake,Waitemata,62,107,579
118000,Waitakere,Waitemata,71,140,507
118100,Albany South,Waitemata,47,86,547
118200,Browns Bay South West,Waitemata,50,104,481
118300,Browns Bay Central,Waitemata,60,91,659
118400,Schnapper Rock,Waitemata,45,79,570
118500,Pinehill,Waitemata,37,63,587
118600,North Harbour,Waitemata,37,57,649
118700,Browns Bay South East,Waitemata,47,64,734
118800,Westgate Central,Waitemata,Masked,Masked,Masked
118900,Greenhithe West,Waitemata,58,97,598
119000,Rothesay Bay,Waitemata,31,57,544
119100,Greenhithe East,Waitemata,52,79,658
119200,Hobsonville,Waitemata,34,58,586
119400,Greenhithe South,Waitemata,31,65,477
119500,Murrays Bay West,Waitemata,41,66,621
119600,Westgate South,Waitemata,115,213,540
119700,Windsor Park,Waitemata,Masked,Masked,Masked
119800,West Harbour West,Waitemata,199,424,469
119900,Unsworth Heights West,Waitemata,30,49,612
120000,Murrays Bay East,Waitemata,34,55,618
120100,Birdwood West,Waitemata,52,84,619
120200,Hobsonville Point,Waitemata,165,244,676
120300,West Harbour Clearwater Cove,Waitemata,116,183,634
120400,Unsworth Heights East,Waitemata,78,146,534
120500,Mairangi Bay North,Waitemata,41,73,562
120600,Massey Central,Waitemata,161,368,438
120700,West Harbour Luckens Point,Waitemata,52,93,559
120800,Mairangi Bay South,Waitemata,46,79,582
120900,Massey Royal Road West,Waitemata,144,306,471
121000,Bayview East,Waitemata,80,147,544
121100,Swanson Rural,Waitemata,101,169,598
121200,Sunnynook South,Waitemata,56,91,615
121300,Sunnynook North,Waitemata,41,81,506
121400,Bayview West,Waitemata,49,90,544
121500,Totara Vale North,Waitemata,76,134,567
121600,Royal Heights North,Waitemata,191,355,538
121700,Massey West,Waitemata,58,152,382
121800,Beach Haven West,Waitemata,147,217,677
121900,Totara Vale South,Waitemata,87,163,534
122000,Swanson,Waitemata,131,228,575
122100,Bayview South,Waitemata,66,122,541
122200,Campbells Bay,Waitemata,58,81,716
122300,Royal Heights South,Waitemata,190,386,492
122400,Beach Haven East,Waitemata,221,471,469
122500,Massey East,Waitemata,175,367,477
122600,Forrest Hill North,Waitemata,36,61,590
122700,Glenfield North,Waitemata,64,127,504
122800,Birkdale North,Waitemata,198,354,559
122900,Massey South,Waitemata,233,482,483
123000,R?nui North,Waitemata,226,507,446
123100,Glenfield West,Waitemata,70,114,614
123200,Te Atat? Peninsula North West,Waitemata,221,394,561
123300,Glenfield South West,Waitemata,86,159,541
123400,Forrest Hill West,Waitemata,64,104,615
123500,Wairau Valley,Waitemata,Masked,Masked,Masked
123600,Forrest Hill East,Waitemata,47,84,560
123700,Castor Bay,Waitemata,77,111,694
123800,R?nui Domain,Waitemata,198,451,439
123900,Beach Haven South,Waitemata,94,146,644
124000,Glenfield Central,Waitemata,96,155,619
124100,Piha,Waitemata,47,72,653
124200,R?nui South West,Waitemata,135,286,472
124300,Henderson Larnoch,Waitemata,196,480,408
124400,Birkdale South,Waitemata,173,277,625
124500,Te Atat? Peninsula Central,Waitemata,261,498,524
124600,Glenfield East,Waitemata,49,82,598
124700,Henderson Valley,Waitemata,64,102,627
124800,Te Atat? Peninsula West,Waitemata,269,441,610
124900,Henderson Lincoln West,Waitemata,146,334,437
125000,R?nui South East,Waitemata,110,227,485
125100,Henderson Lincoln East,Waitemata,Masked,Masked,Masked
125200,Birkenhead West,Waitemata,121,178,680
125300,Te Atat? Peninsula East,Waitemata,153,237,646
125400,Milford West,Waitemata,55,73,753
125500,Westlake,Waitemata,35,63,556
125600,Hillcrest North (Auckland),Waitemata,82,141,582
125700,Henderson Lincoln South,Waitemata,116,205,566
125800,Hillcrest West (Auckland),Waitemata,74,124,597
125900,Milford Central,Waitemata,31,40,775
126000,Summerland South,Waitemata,89,160,556
126100,Summerland North,Waitemata,80,136,588
126200,Hillcrest East (Auckland),Waitemata,93,164,567
126300,Chatswood,Waitemata,57,89,640
126400,Te Atat? South-Edmonton,Waitemata,185,357,518
126500,Birkenhead North,Waitemata,79,125,632
126600,Takapuna West,Waitemata,78,120,650
126700,Henderson North,Waitemata,194,360,539
126800,Takapuna Central,Waitemata,50,68,735
126900,Western Heights (Auckland),Waitemata,149,271,550
127000,Te Atat? South-Central,Waitemata,212,351,604
127100,Northcote Central (Auckland),Waitemata,78,151,517
127200,Akoranga,Waitemata,52,81,642
127300,Northcote South (Auckland),Waitemata,66,108,611
127400,Birkenhead South,Waitemata,51,74,689
127500,Henderson Central,Waitemata,75,128,586
127600,Waiatarua,Waitemata,108,148,730
127700,Te Atat? South-McLeod North,Waitemata,162,297,545
127800,Henderson Valley Park,Waitemata,128,256,500
127900,Henderson North East,Waitemata,99,188,527
128000,Waitakere Ranges South,Waitemata,33,67,493
128100,Northcote Tuff Crater,Waitemata,38,66,576
128200,Northcote Point (Auckland),Waitemata,74,112,661
128300,McLaren Park,Waitemata,208,403,516
128400,Henderson East,Waitemata,123,223,552
128500,Te Atat? South-McLeod South,Waitemata,174,316,551
128600,Takapuna South,Waitemata,25,41,610
128700,Rosebank Peninsula,Auckland,Masked,Masked,Masked
128800,Hauraki,Waitemata,103,146,705
128900,Glendene North,Waitemata,213,406,525
129000,Sunnyvale West-Parrs Park,Waitemata,113,228,496
129100,Sunnyvale East,Waitemata,224,448,500
129200,Point Chevalier West,Auckland,140,194,722
129300,Belmont (Auckland),Waitemata,85,122,697
129400,Bayswater,Waitemata,121,177,684
129500,Glendene South,Waitemata,136,237,574
129600,Glen Eden West,Waitemata,184,344,535
129700,Herne Bay,Auckland,84,106,792
129800,Westmere North,Auckland,69,96,719
129900,Point Chevalier East,Auckland,177,255,694
130000,Oratia,Waitemata,47,71,662
130100,Glen Eden Rosier,Waitemata,160,293,546
130200,Saint Marys Bay,Auckland,63,73,863
130300,Westmere South-Western Springs,Auckland,133,189,704
130400,Ponsonby West,Auckland,74,108,685
130500,Kelston North,Waitemata,147,282,521
130600,Avondale Rosebank,Auckland,208,362,575
130700,Narrow Neck,Waitemata,115,158,728
130800,Glen Eden North,Waitemata,111,226,491
130900,Glen Eden Woodglen,Waitemata,189,321,589
131000,Kelston South,Waitemata,98,237,414
131100,Waterview,Auckland,192,319,602
131200,Ponsonby East,Auckland,107,146,733
131300,Wynyard-Viaduct,Auckland,44,53,830
131400,Stanley Point,Waitemata,40,59,678
131500,Glen Eden Central,Waitemata,129,251,514
131600,Grey Lynn North,Auckland,145,207,700
131700,Avondale West (Auckland),Auckland,170,303,561
131800,Freemans Bay,Auckland,173,243,712
131900,Mount Albert West,Auckland,124,179,693
132000,Avondale North (Auckland),Auckland,161,278,579
132100,Grey Lynn West,Auckland,129,213,606
132200,Mount Albert North,Auckland,147,226,650
132300,New Lynn North,Waitemata,127,221,575
132400,Victoria Park,Auckland,71,119,597
132500,Konini,Waitemata,116,216,537
132600,New Lynn North West,Waitemata,104,191,545
132700,Hobson Ridge North,Auckland,65,126,516
132800,Grey Lynn Central,Auckland,121,183,661
132900,Fruitvale,Waitemata,114,208,548
133000,Devonport,Waitemata,95,124,766
133100,Avondale Central (Auckland),Auckland,103,171,602
133200,Queen Street,Auckland,65,109,596
133300,Quay Street-Customs Street,Auckland,62,101,614
133400,Hobson Ridge Central,Auckland,120,222,541
133500,Grey Lynn East,Auckland,76,116,655
133600,Morningside (Auckland),Auckland,170,251,677
133700,Shortland Street,Auckland,59,100,590
133800,Hobson Ridge South,Auckland,56,108,519
133900,New Lynn Central,Waitemata,20,43,465
134000,Cheltenham,Waitemata,42,52,808
134100,Queen Street South West,Auckland,77,119,647
134200,Mount Albert Central,Auckland,122,185,659
134300,Karangahape,Auckland,89,146,610
134400,Kingsland,Auckland,171,246,695
134500,Anzac Avenue,Auckland,102,170,600
134600,Waima-Woodlands Park,Waitemata,63,93,677
134700,Kaurilands,Waitemata,134,207,647
134800,Auckland-University,Auckland,Masked,Masked,Masked
134900,New Lynn Seabrook,Waitemata,86,162,531
135000,Avondale South (Auckland),Auckland,119,220,541
135100,Symonds Street North West,Auckland,81,153,529
135200,Mount Albert South,Auckland,65,96,677
135300,Symonds Street West,Auckland,98,190,516
135400,West Lynn,Waitemata,106,170,624
135500,?wairaka West,Auckland,84,133,632
