"tla_code","tla_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","masked","masked","2837",">950",">950"
"1","Far North District","Northland","1003","928","1071","937","866"
"2","Whangarei District","Northland","1342","1243","1493","899","833"
"3","Kaipara District","Northland","399","359","446","895","805"
"11","Thames-Coromandel District","Waikato","265","254","315","841","806"
"12","Hauraki District","Counties Manukau","20 or less","20 or less","masked","882","765"
"12","Hauraki District","Waikato","225","205","260","865","788"
"13","Waikato District","Counties Manukau","masked","masked","750",">950",">950"
"13","Waikato District","Waikato","masked","901","997",">950","904"
"15","Matamata-Piako District","Waikato","masked","329","364",">950","904"
"16","Hamilton City","Waikato","5949","5647","6388","931","884"
"17","Waipa District","Waikato","masked","masked","496",">950",">950"
"18","Otorohanga District","Waikato","93","87","98","949","888"
"19","South Waikato District","Waikato","1366","1272","1553","880","819"
"20","Waitomo District","Waikato","178","165","201","886","821"
"21","Taupo District","Lakes","540","513","576","938","891"
"22","Western Bay of Plenty District","Bay of Plenty","masked","masked","876",">950",">950"
"23","Tauranga City","Bay of Plenty","masked","2091","2312",">950","904"
"24","Rotorua District","Lakes","1521","1413","1653","920","855"
"25","Whakatane District","Bay of Plenty","339","311","375","904","829"
"26","Kawerau District","Bay of Plenty","75","63","91","824","692"
"27","Opotiki District","Bay of Plenty","masked","masked","127",">950",">950"
"28","Gisborne District","Tairawhiti","masked","masked","967",">950",">950"
"29","Wairoa District","Hawke's Bay","masked","79","85",">950","929"
"30","Hastings District","Hawke's Bay","masked","masked","3512",">950",">950"
"31","Napier City","Hawke's Bay","masked","1154","1282",">950","900"
"32","Central Hawke's Bay District","Hawke's Bay","masked","masked","140",">950",">950"
"33","New Plymouth District","Taranaki","masked","818","923",">950","886"
"34","Stratford District","Taranaki","masked","45","50",">950","900"
"35","South Taranaki District","Taranaki","masked","243","264",">950","920"
"36","Ruapehu District","Waikato","61","48","72","847","667"
"36","Ruapehu District","Whanganui","42","37","53","792","698"
"37","Whanganui District","Whanganui","758","704","869","872","810"
"38","Rangitikei District","Whanganui","373","356","422","884","844"
"39","Manawatu District","MidCentral","masked","276","310",">950","890"
"40","Palmerston North City","MidCentral","masked","2298","2556",">950","899"
"41","Tararua District","MidCentral","146","135","160","912","844"
"42","Horowhenua District","MidCentral","masked","1090","1217",">950","896"
"43","Kapiti Coast District","Capital and Coast","732","689","784","934","879"
"43","Kapiti Coast District","MidCentral","164","147","181","906","812"
"44","Porirua City","Capital and Coast","9480","8750","10421","910","840"
"45","Upper Hutt City","Hutt Valley","1434","1343","1536","934","874"
"46","Lower Hutt City","Hutt Valley","7679","7145","8281","927","863"
"47","Wellington City","Capital and Coast","masked","7122","7816",">950","911"
"48","Masterton District","Wairarapa","565","529","596","948","888"
"49","Carterton District","Wairarapa","masked","masked","96",">950",">950"
"50","South Wairarapa District","Wairarapa","masked","masked","135",">950",">950"
"51","Tasman District","Nelson Marlborough","masked","masked","500",">950",">950"
"52","Nelson City","Nelson Marlborough","masked","masked","705",">950",">950"
"53","Marlborough District","Nelson Marlborough","masked","masked","967",">950",">950"
"54","Kaikoura District","Canterbury","masked","20 or less","masked",">950",">950"
"55","Buller District","West Coast","77","70","82","939","854"
"56","Grey District","West Coast","masked","111","130",">950","854"
"57","Westland District","West Coast","masked","masked","60",">950",">950"
"58","Hurunui District","Canterbury","masked","masked","88",">950",">950"
"59","Waimakariri District","Canterbury","498","466","558","892","835"
"60","Christchurch City","Canterbury","9585","8990","10119","947","888"
"62","Selwyn District","Canterbury","masked","749","796",">950","941"
"63","Ashburton District","Canterbury","masked","1072","1199",">950","894"
"64","Timaru District","South Canterbury","masked","masked","755",">950",">950"
"65","Mackenzie District","South Canterbury","masked","33","41",">950","805"
"66","Waimate District","South Canterbury","masked","61","67",">950","910"
"67","Chatham Islands Territory","Canterbury","20 or less","20 or less","masked",">950",">950"
"68","Waitaki District","Southern","masked","612","674",">950","908"
"69","Central Otago District","Southern","masked","masked","265",">950",">950"
"70","Queenstown-Lakes District","Southern","masked","masked","300",">950",">950"
"71","Dunedin City","Southern","masked","2792","2970",">950","940"
"72","Clutha District","Southern","masked","masked","224",">950",">950"
"73","Southland District","Southern","180","168","208","865","808"
"74","Gore District","Southern","masked","masked","98",">950",">950"
"75","Invercargill City","Southern","masked","1213","1334",">950","909"
"76","Auckland","Auckland","42462","40310","46333","916","870"
"76","Auckland","Counties Manukau","104667","99064","115074","910","861"
"76","Auckland","Waitemata","34578","32863","37088","932","886"
