sa2_code,sa2_name,dhb,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
100100,North Cape,Northland,Pacific Peoples,masked,masked,masked,909,909
100200,Rangaunu Harbour,Northland,Pacific Peoples,masked,masked,masked,909,848
100300,Inlets Far North District,Northland,Pacific Peoples,masked,masked,masked,masked,masked
100400,Karikari Peninsula,Northland,Pacific Peoples,masked,masked,masked,833,833
100500,Tangonge,Northland,Pacific Peoples,masked,masked,masked,812,812
100600,Ahipara,Northland,Pacific Peoples,masked,masked,masked,880,880
100700,Kaitaia East,Northland,Pacific Peoples,masked,masked,masked,>950,>950
100800,Kaitaia West,Northland,Pacific Peoples,96,94,104,923,904
100900,Rangitihi,Northland,Pacific Peoples,masked,masked,masked,>950,>950
101000,Oruru-Parapara,Northland,Pacific Peoples,masked,masked,masked,929,714
101100,Taumarumaru,Northland,Pacific Peoples,masked,masked,masked,>950,944
101200,Herekino-Takahue,Northland,Pacific Peoples,masked,masked,masked,>950,>950
101300,Peria,Northland,Pacific Peoples,masked,masked,masked,933,867
101400,Taemaro-Oruaiti,Northland,Pacific Peoples,masked,masked,masked,867,867
101500,Whakapaku,Northland,Pacific Peoples,masked,masked,masked,625,625
101600,Hokianga North,Northland,Pacific Peoples,masked,masked,masked,750,667
101700,Kohukohu-Broadwood,Northland,Pacific Peoples,masked,masked,masked,800,800
101800,Whakarara,Northland,Pacific Peoples,masked,masked,masked,692,692
101900,Kaeo,Northland,Pacific Peoples,masked,masked,masked,875,812
102000,Omahuta Forest-Horeke,Northland,Pacific Peoples,masked,masked,masked,800,800
102100,Hokianga South,Northland,Pacific Peoples,masked,masked,masked,812,812
102200,Lake Manuwai-Kapiro,Northland,Pacific Peoples,masked,masked,masked,>950,>950
102300,Ōkaihau,Northland,Pacific Peoples,masked,masked,masked,914,886
102400,Rangitane-Purerua,Northland,Pacific Peoples,masked,masked,masked,947,895
102500,Waipapa,Northland,Pacific Peoples,masked,masked,masked,778,778
102600,Puketotara,Northland,Pacific Peoples,masked,masked,masked,>950,>950
102700,Waimā Forest,Northland,Pacific Peoples,masked,masked,masked,722,667
102800,Riverview,Northland,Pacific Peoples,masked,masked,masked,840,840
102900,Waipoua Forest,Northland,Pacific Peoples,masked,masked,masked,824,824
103000,Kerikeri Central,Northland,Pacific Peoples,masked,masked,masked,>950,>950
103100,Kerikeri South,Northland,Pacific Peoples,masked,masked,masked,861,833
103200,Ōhaeawai-Waimate North,Northland,Pacific Peoples,masked,masked,masked,923,923
103300,Puketona-Waitangi,Northland,Pacific Peoples,masked,masked,masked,>950,>950
103400,Ngapuhi,Northland,Pacific Peoples,masked,masked,masked,900,850
103500,Kaikohe,Northland,Pacific Peoples,90,85,102,882,833
103600,Pakaraka,Northland,Pacific Peoples,masked,masked,masked,>950,>950
103700,Haruru,Northland,Pacific Peoples,masked,masked,masked,882,882
103800,Russell,Northland,Pacific Peoples,masked,masked,masked,750,750
103900,Paihia,Northland,Pacific Peoples,masked,masked,masked,923,846
104000,Mataraua Forest,Northland,Pacific Peoples,masked,masked,masked,667,667
104100,Matawaia-Taumarere,Northland,Pacific Peoples,masked,masked,masked,700,650
104200,Russell Peninsula,Northland,Pacific Peoples,masked,masked,masked,>950,>950
104300,Opua (Far North District),Northland,Pacific Peoples,masked,masked,masked,938,812
104400,Russell Forest-Rawhiti,Northland,Pacific Peoples,masked,masked,masked,727,636
104500,Moerewa,Northland,Pacific Peoples,masked,masked,masked,784,730
104600,Kawakawa,Northland,Pacific Peoples,masked,masked,masked,938,938
104700,Maromaku,Northland,Pacific Peoples,masked,masked,masked,556,556
104800,Mangakahia-Hūkerenui,Northland,Pacific Peoples,masked,masked,masked,789,789
104900,Whangaruru,Northland,Pacific Peoples,masked,masked,masked,906,906
105100,Matarau,Northland,Pacific Peoples,masked,masked,masked,>950,>950
105200,Hikurangi,Northland,Pacific Peoples,masked,masked,masked,>950,870
105300,Kauri,Northland,Pacific Peoples,masked,masked,masked,941,941
105400,Maungatapere,Northland,Pacific Peoples,masked,masked,masked,900,900
105500,Kamo West,Northland,Pacific Peoples,masked,masked,masked,929,893
105600,Matapouri-Tutukaka,Northland,Pacific Peoples,masked,masked,masked,947,947
105700,Kiripaka,Northland,Pacific Peoples,masked,masked,masked,769,692
105800,Kamo East,Northland,Pacific Peoples,86,83,100,860,830
105900,Granfield Reserve,Northland,Pacific Peoples,masked,masked,masked,923,872
106000,Kamo Central,Northland,Pacific Peoples,masked,masked,masked,>950,>950
106100,Whau Valley,Northland,Pacific Peoples,masked,masked,masked,>950,>950
106200,Tikipunga North,Northland,Pacific Peoples,71,67,80,888,838
106300,Pukenui,Northland,Pacific Peoples,masked,masked,masked,>950,>950
106400,Otangarei,Northland,Pacific Peoples,41,40,54,759,741
106500,Tikipunga South,Northland,Pacific Peoples,masked,masked,masked,>950,940
106600,Kensington (Whangarei District),Northland,Pacific Peoples,masked,masked,masked,>950,>950
106700,Abbey Caves-Glenbervie,Northland,Pacific Peoples,masked,masked,masked,941,941
106800,Mairtown,Northland,Pacific Peoples,44,44,58,759,759
106900,Maunu-Horahora,Northland,Pacific Peoples,masked,masked,masked,825,750
107000,Woodhill-Vinetown,Northland,Pacific Peoples,masked,masked,masked,>950,920
107100,Whangārei Central,Northland,Pacific Peoples,masked,masked,masked,>950,>950
107200,Riverside,Northland,Pacific Peoples,masked,masked,masked,933,933
107300,Raumanga,Northland,Pacific Peoples,masked,masked,masked,>950,890
107400,Tarewa,Northland,Pacific Peoples,masked,masked,masked,>950,>950
107500,Morningside (Whangarei District),Northland,Pacific Peoples,masked,masked,masked,922,902
107600,Ngunguru,Northland,Pacific Peoples,masked,masked,masked,>950,>950
107700,Otaika-Portland,Northland,Pacific Peoples,masked,masked,masked,750,750
107800,Oakleigh-Mangapai,Northland,Pacific Peoples,masked,masked,masked,>950,>950
107900,Port-Limeburners,Northland,Pacific Peoples,masked,masked,masked,masked,masked
