"tla_code","tla_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","masked","masked","66018",">950",">950"
"1","Far North District","Northland","49549","46965","58569","846","802"
"2","Whangarei District","Northland","72641","70042","80900","898","866"
"3","Kaipara District","Northland","17764","17029","21127","841","806"
"11","Thames-Coromandel District","Waikato","24371","23666","27354","891","865"
"12","Hauraki District","Counties Manukau","722","703","794","909","885"
"12","Hauraki District","Waikato","14842","14295","17095","868","836"
"13","Waikato District","Counties Manukau","16689","16345","17652","945","926"
"13","Waikato District","Waikato","44157","42806","48144","917","889"
"15","Matamata-Piako District","Waikato","27529","26666","29903","921","892"
"16","Hamilton City","Waikato","masked","131286","139798",">950","939"
"17","Waipa District","Waikato","45040","44130","47974","939","920"
"18","Otorohanga District","Waikato","7200","6936","8060","893","861"
"19","South Waikato District","Waikato","17818","16983","20005","891","849"
"20","Waitomo District","Waikato","7046","6710","7897","892","850"
"21","Taupo District","Lakes","30187","29114","33051","913","881"
"22","Western Bay of Plenty District","Bay of Plenty","43432","42049","47089","922","893"
"23","Tauranga City","Bay of Plenty","117977","114568","125102","943","916"
"24","Rotorua District","Lakes","54654","52490","59413","920","883"
"25","Whakatane District","Bay of Plenty","26829","25546","30807","871","829"
"26","Kawerau District","Bay of Plenty","5382","5044","6259","860","806"
"27","Opotiki District","Bay of Plenty","6554","6110","7521","871","812"
"28","Gisborne District","Tairawhiti","37781","35985","41302","915","871"
"29","Wairoa District","Hawke's Bay","5795","5477","6601","878","830"
"30","Hastings District","Hawke's Bay","masked","65140","70830",">950","920"
"31","Napier City","Hawke's Bay","51759","50088","55090","940","909"
"32","Central Hawke's Bay District","Hawke's Bay","11396","11001","12264","929","897"
"33","New Plymouth District","Taranaki","64937","63014","70023","927","900"
"34","Stratford District","Taranaki","6962","6724","7817","891","860"
"35","South Taranaki District","Taranaki","19843","19162","21889","907","875"
"36","Ruapehu District","Waikato","5730","5367","6687","857","803"
"36","Ruapehu District","Whanganui","2990","2853","3403","879","838"
"37","Whanganui District","Whanganui","36751","35479","40675","904","872"
"38","Rangitikei District","Whanganui","11655","11261","12825","909","878"
"39","Manawatu District","MidCentral","24814","24128","26384","940","914"
"40","Palmerston North City","MidCentral","masked","masked","71074",">950",">950"
"41","Tararua District","MidCentral","13844","13234","15261","907","867"
"42","Horowhenua District","MidCentral","27236","26314","29735","916","885"
"43","Kapiti Coast District","Capital and Coast","37953","37226","40096","947","928"
"43","Kapiti Coast District","MidCentral","7349","7072","8067","911","877"
"44","Porirua City","Capital and Coast","masked","44890","48280",">950","930"
"45","Upper Hutt City","Hutt Valley","masked","35526","37631",">950","944"
"46","Lower Hutt City","Hutt Valley","masked","85202","90663",">950","940"
"47","Wellington City","Capital and Coast","masked","masked","178380",">950",">950"
"48","Masterton District","Wairarapa","21753","21052","23175","939","908"
"49","Carterton District","Wairarapa","7956","7747","8510","935","910"
"50","South Wairarapa District","Wairarapa","9392","9168","9912","948","925"
"51","Tasman District","Nelson Marlborough","43204","41882","47356","912","884"
"52","Nelson City","Nelson Marlborough","43182","42092","45503","949","925"
"53","Marlborough District","Nelson Marlborough","masked","39712","41786",">950","950"
"54","Kaikoura District","Canterbury","3133","3038","3486","899","871"
"55","Buller District","West Coast","7648","7418","8642","885","858"
"56","Grey District","West Coast","10649","10254","11633","915","881"
"57","Westland District","West Coast","6666","6447","7171","930","899"
"58","Hurunui District","Canterbury","10247","9989","11210","914","891"
"59","Waimakariri District","Canterbury","51014","49870","54831","930","910"
"60","Christchurch City","Canterbury","masked","masked","327478",">950",">950"
"62","Selwyn District","Canterbury","masked","masked","57477",">950",">950"
"63","Ashburton District","Canterbury","masked","26328","28079",">950","938"
"64","Timaru District","South Canterbury","38935","37979","41453","939","916"
"65","Mackenzie District","South Canterbury","3857","3776","4136","933","913"
"66","Waimate District","South Canterbury","6448","6285","7026","918","895"
"67","Chatham Islands Territory","Canterbury","masked","masked","240",">950",">950"
"68","Waitaki District","Southern","18172","17708","19592","928","904"
"69","Central Otago District","Southern","masked","masked","20027",">950",">950"
"70","Queenstown-Lakes District","Southern","masked","masked","37502",">950",">950"
"71","Dunedin City","Southern","masked","masked","111119",">950",">950"
"72","Clutha District","Southern","14035","13615","15128","928","900"
"73","Southland District","Southern","23177","22495","25124","923","895"
"74","Gore District","Southern","9947","9693","10806","921","897"
"75","Invercargill City","Southern","43718","42444","46189","947","919"
"76","Auckland","Area outside District Health Board","20 or less","20 or less","masked","500","500"
"76","Auckland","Auckland","masked","masked","413552",">950",">950"
"76","Auckland","Counties Manukau","masked","424055","456603",">950","929"
"76","Auckland","Waitemata","masked","489420","518797",">950","943"
"999","Area Outside Territorial Authority","Area outside District Health Board","20 or less","20 or less","masked",">950",">950"
