sa2_code,sa2_name,dhb,booster_count,eligible_booster_pop,booster_uptake
Unknown,Unknown,Unknown,29081,48802,596
100100,North Cape,Northland,816,1253,651
100200,Rangaunu Harbour,Northland,856,1482,578
100300,Inlets Far North District,Northland,Masked,Masked,Masked
100400,Karikari Peninsula,Northland,731,1094,668
100500,Tangonge,Northland,473,763,620
100600,Ahipara,Northland,523,816,641
100700,Kaitaia East,Northland,847,1551,546
100800,Kaitaia West,Northland,1233,2221,555
100900,Rangitihi,Northland,367,623,589
101000,Oruru-Parapara,Northland,362,601,602
101100,Taumarumaru,Northland,1349,1874,720
101200,Herekino-Takahue,Northland,372,622,598
101300,Peria,Northland,412,681,605
101400,Taemaro-Oruaiti,Northland,417,648,644
101500,Whakapaku,Northland,310,466,665
101600,Hokianga North,Northland,399,596,669
101700,Kohukohu-Broadwood,Northland,362,524,691
101800,Whakarara,Northland,626,888,705
101900,Kaeo,Northland,483,767,630
102000,Omahuta Forest-Horeke,Northland,388,648,599
102100,Hokianga South,Northland,539,818,659
102200,Lake Manuwai-Kapiro,Northland,1121,1678,668
102300,?kaihau,Northland,489,818,598
102400,Rangitane-Purerua,Northland,719,1046,687
102500,Waipapa,Northland,397,611,650
102600,Puketotara,Northland,909,1331,683
102700,Waim? Forest,Northland,368,687,536
102800,Riverview,Northland,1322,1727,765
102900,Waipoua Forest,Northland,557,825,675
103000,Kerikeri Central,Northland,1459,2053,711
103100,Kerikeri South,Northland,1675,2214,757
103200,?haeawai-Waimate North,Northland,560,851,658
103300,Puketona-Waitangi,Northland,753,1067,706
103400,Ngapuhi,Northland,506,929,545
103500,Kaikohe,Northland,1417,2588,548
103600,Pakaraka,Northland,275,444,619
103700,Haruru,Northland,572,825,693
103800,Russell,Northland,548,684,801
103900,Paihia,Northland,874,1284,681
104000,Mataraua Forest,Northland,178,313,569
104100,Matawaia-Taumarere,Northland,513,925,555
104200,Russell Peninsula,Northland,421,524,803
104300,Opua (Far North District),Northland,776,1032,752
104400,Russell Forest-Rawhiti,Northland,344,500,688
104500,Moerewa,Northland,524,990,529
104600,Kawakawa,Northland,550,948,580
104700,Maromaku,Northland,241,420,574
104800,Mangakahia-H?kerenui,Northland,674,1204,560
104900,Whangaruru,Northland,1132,1792,632
105100,Matarau,Northland,1591,2269,701
105200,Hikurangi,Northland,544,948,574
