sa2_code,sa2_name,dhb,booster_count,eligible_booster_pop,booster_uptake
Unknown,Unknown,Unknown,31151,51778,602
100100,North Cape,Northland,811,1238,655
100200,Rangaunu Harbour,Northland,860,1465,587
100300,Inlets Far North District,Northland,Masked,Masked,Masked
100400,Karikari Peninsula,Northland,719,1065,675
100500,Tangonge,Northland,469,751,625
100600,Ahipara,Northland,513,800,641
100700,Kaitaia East,Northland,841,1528,550
100800,Kaitaia West,Northland,1231,2191,562
100900,Rangitihi,Northland,360,610,590
101000,Oruru-Parapara,Northland,355,593,599
101100,Taumarumaru,Northland,1358,1875,724
101200,Herekino-Takahue,Northland,370,613,604
101300,Peria,Northland,407,672,606
101400,Taemaro-Oruaiti,Northland,416,642,648
101500,Whakapaku,Northland,309,462,669
101600,Hokianga North,Northland,391,587,666
101700,Kohukohu-Broadwood,Northland,363,525,691
101800,Whakarara,Northland,620,888,698
101900,Kaeo,Northland,474,751,631
102000,Omahuta Forest-Horeke,Northland,388,641,605
102100,Hokianga South,Northland,530,799,663
102200,Lake Manuwai-Kapiro,Northland,1118,1668,670
102300,?kaihau,Northland,475,795,597
102400,Rangitane-Purerua,Northland,714,1035,690
102500,Waipapa,Northland,389,597,652
102600,Puketotara,Northland,897,1324,677
102700,Waim? Forest,Northland,363,676,537
102800,Riverview,Northland,1313,1718,764
102900,Waipoua Forest,Northland,554,806,687
103000,Kerikeri Central,Northland,1459,2053,711
103100,Kerikeri South,Northland,1656,2187,757
103200,?haeawai-Waimate North,Northland,555,844,658
103300,Puketona-Waitangi,Northland,746,1059,704
103400,Ngapuhi,Northland,506,919,551
103500,Kaikohe,Northland,1397,2548,548
103600,Pakaraka,Northland,276,440,627
103700,Haruru,Northland,569,822,692
103800,Russell,Northland,545,677,805
103900,Paihia,Northland,866,1279,677
104000,Mataraua Forest,Northland,173,304,569
104100,Matawaia-Taumarere,Northland,515,901,572
104200,Russell Peninsula,Northland,418,521,802
104300,Opua (Far North District),Northland,767,1025,748
104400,Russell Forest-Rawhiti,Northland,339,491,690
104500,Moerewa,Northland,518,973,532
104600,Kawakawa,Northland,547,936,584
104700,Maromaku,Northland,241,420,574
104800,Mangakahia-H?kerenui,Northland,673,1193,564
104900,Whangaruru,Northland,1104,1756,629
105100,Matarau,Northland,1580,2251,702
105200,Hikurangi,Northland,539,947,569
105300,Kauri,Northland,932,1262,739
105400,Maungatapere,Northland,1760,2472,712
105500,Kamo West,Northland,1151,1613,714
105600,Matapouri-Tutukaka,Northland,983,1343,732
105700,Kiripaka,Northland,478,707,676
105800,Kamo East,Northland,1258,2034,618
105900,Granfield Reserve,Northland,1919,2471,777
106000,Kamo Central,Northland,804,1200,670
106100,Whau Valley,Northland,1521,2109,721
106200,Tikipunga North,Northland,1710,2453,697
106300,Pukenui,Northland,1314,1736,757
106400,Otangarei,Northland,590,1206,489
106500,Tikipunga South,Northland,1796,2698,666
106600,Kensington (Whangarei District),Northland,1867,2597,719
106700,Abbey Caves-Glenbervie,Northland,713,1011,705
106800,Mairtown,Northland,1428,1928,741
106900,Maunu-Horahora,Northland,1904,2514,757
107000,Woodhill-Vinetown,Northland,1432,2123,675
107100,Whang?rei Central,Northland,576,851,677
107200,Riverside,Northland,1105,1599,691
107300,Raumanga,Northland,1116,2048,545
107400,Tarewa,Northland,648,1147,565
107500,Morningside (Whangarei District),Northland,977,1607,608
107600,Ngunguru,Northland,667,880,758
107700,Otaika-Portland,Northland,625,928,673
107800,Oakleigh-Mangapai,Northland,1107,1621,683
107900,Port-Limeburners,Northland,91,150,607
108000,Pataua,Northland,773,1184,653
108100,Onerahi Park,Northland,919,1227,749
108200,Sherwood Rise,Northland,1115,1690,660
108300,Onerahi,Northland,1119,1658,675
108400,Inlet Whang?rei Harbour,Northland,Masked,Masked,Masked
108500,Parua Bay,Northland,1513,1937,781
108600,Bream Bay,Northland,1047,1549,676
108700,Marsden Bay,Northland,1669,2140,780
108800,Ruak?k?,Northland,1417,2060,688
108900,Bream Head,Northland,822,1068,770
109000,Waipu,Northland,1761,2350,749
109100,Kaipara Coastal,Northland,1484,2441,608
109200,Maungaru,Northland,731,1219,600
109300,Dargaville,Northland,2179,3397,641
109400,Ruawai-Matakohe,Northland,1150,1709,673
109500,Otamatea (Kaipara District),Northland,817,1178,694
109600,Maungaturoto,Northland,574,853,673
109700,Kaiwaka,Northland,942,1481,636
109800,Mangawhai Rural,Northland,1174,1759,667
109900,Mangawhai Heads,Northland,1317,1822,723
110100,Mangawhai,Northland,609,831,733
110200,Okahukura Peninsula,Waitemata,629,1041,604
110400,Cape Rodney,Waitemata,1759,2605,675
110500,Wellsford,Waitemata,795,1313,605
110600,NA,NA,Masked,Masked,Masked
110700,South Head,Waitemata,1247,1874,665
110800,Kaipara Hills,Waitemata,817,1380,592
110900,Dome Valley-Matakana,Waitemata,864,1178,733
111100,Warkworth West,Waitemata,1521,2033,748
111200,Puhoi Valley,Waitemata,1862,2787,668
111300,Warkworth East,Waitemata,2007,2781,722
111400,Sandspit,Waitemata,610,801,762
111500,Tawharanui Peninsula,Waitemata,1339,1754,763
111600,Te Kuru,Waitemata,1185,1841,644
111700,Snells Beach,Waitemata,2001,2725,734
111800,Barrier Islands,Auckland,548,743,738
111900,Algies Bay-Scotts Landing,Waitemata,740,944,784
112100,Wainui-Waiwera,Waitemata,909,1324,687
112200,Parakai,Waitemata,465,709,656
112300,Helensville Rural,Waitemata,831,1220,681
112400,Helensville,Waitemata,1367,2028,674
112500,Waitoki,Waitemata,794,1220,651
112600,Waikoukou Valley,Waitemata,805,1239,650
112700,Orewa North,Waitemata,3130,3960,790
112800,Hatfields Beach,Waitemata,807,1162,694
112900,Orewa South,Waitemata,2607,3269,797
113000,Orewa Central,Waitemata,2130,2679,795
113100,Millwater North,Waitemata,1976,2676,738
113200,Waipatukahu,Waitemata,665,997,667
113300,Millwater South,Waitemata,1895,2791,679
113400,Dairy Flat North,Waitemata,1277,2034,628
113500,Dairy Flat West,Waitemata,717,1107,648
113600,Kingsway,Waitemata,1184,1720,688
113700,Riverhead Forest,Waitemata,Masked,Masked,Masked
113800,Silverdale Central (Auckland),Waitemata,298,458,651
113900,Red Beach West,Waitemata,1743,2205,790
114000,Red Beach East,Waitemata,2262,3119,725
114100,Silverdale South (Auckland),Waitemata,955,1472,649
114200,Waimauku,Waitemata,725,1026,707
114300,Gulf Islands,Auckland,38,46,826
114400,Vipond,Waitemata,1562,2220,704
114500,Muriwai,Waitemata,588,808,728
114600,Stanmore Bay West,Waitemata,1272,1916,664
114700,Kumeu Rural West,Waitemata,901,1323,681
114800,Okura Bush,Waitemata,728,1055,690
114900,Whangapar?oa Central,Waitemata,2291,3263,702
115000,Kumeu-Huapai,Waitemata,2697,3724,724
115100,Stanmore Bay East,Waitemata,1363,1991,685
115200,Manly West,Waitemata,1277,1814,704
115300,Muriwai Valley-Bethells Beach,Waitemata,542,781,694
115400,Tindalls-Matakatia,Waitemata,1122,1554,722
115500,Coatesville,Waitemata,1275,1776,718
115600,Dairy Flat South,Waitemata,911,1301,700
115700,Gulf Harbour North,Waitemata,1575,2220,709
115800,Manly East,Waitemata,1992,2712,735
115900,Riverhead,Waitemata,1715,2314,741
116000,Army Bay,Waitemata,889,1168,761
116100,Kumeu Rural East,Waitemata,1346,1984,678
116200,Gulf Harbour South,Waitemata,1684,2257,746
116300,Paremoremo West,Waitemata,496,715,694
116400,Taupaki,Waitemata,906,1323,685
116500,Long Bay,Waitemata,1383,1957,707
116600,Paremoremo East,Waitemata,1049,1546,679
116700,Albany Heights,Waitemata,2031,2935,692
116800,Awaruku,Waitemata,2436,3370,723
116900,Fairview Heights,Waitemata,2115,3127,676
117000,Whenuapai,Waitemata,3116,4394,709
117100,Waitakere Ranges North,Waitemata,648,915,708
117200,Torbay,Waitemata,2443,3369,725
117300,Albany Central,Waitemata,703,1098,640
117400,Albany West,Waitemata,1658,2279,728
117500,Glamorgan,Waitemata,1742,2486,701
117600,Oteha East,Waitemata,1720,2434,707
117700,Northcross,Waitemata,1841,2545,723
117800,Oteha West,Waitemata,1132,1638,691
117900,Waiake,Waitemata,2124,2969,715
118000,Waitakere,Waitemata,1008,1442,699
118100,Albany South,Waitemata,2034,2815,723
118200,Browns Bay South West,Waitemata,2282,3281,696
118300,Browns Bay Central,Waitemata,1857,2495,744
118400,Schnapper Rock,Waitemata,2088,3059,683
118500,Pinehill,Waitemata,2662,3812,698
118600,North Harbour,Waitemata,530,774,685
118700,Browns Bay South East,Waitemata,1632,2269,719
118800,Westgate Central,Waitemata,Masked,Masked,Masked
118900,Greenhithe West,Waitemata,2084,2842,733
119000,Rothesay Bay,Waitemata,1750,2301,761
119100,Greenhithe East,Waitemata,1739,2393,727
