sa2_code,sa2_name,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
Unknown,Unknown,Unknown,2546,1187,5295,481,224
100100,North Cape,Northland,52,20,199,261,101
100200,Rangaunu Harbour,Northland,52,15,262,198,57
100400,Karikari Peninsula,Northland,32,9,133,241,68
100500,Tangonge,Northland,31,9,122,254,74
100600,Ahipara,Northland,55,17,149,369,114
100700,Kaitaia East,Northland,100,31,334,299,93
100800,Kaitaia West,Northland,119,47,Masked,247,98
100900,Rangitihi,Northland,17,5,89,191,56
101000,Oruru-Parapara,Northland,27,9,103,262,87
101100,Taumarumaru,Northland,66,20,214,308,93
101200,Herekino-Takahue,Northland,26,Masked,112,232,<50
101300,Peria,Northland,26,8,128,203,62
101400,Taemaro-Oruaiti,Northland,45,10,111,405,90
101500,Whakapaku,Northland,31,5,83,373,60
101600,Hokianga North,Northland,37,8,138,268,58
101700,Kohukohu-Broadwood,Northland,16,Masked,66,242,61
101800,Whakarara,Northland,53,23,117,453,197
101900,Kaeo,Northland,43,16,147,293,109
102000,Omahuta Forest-Horeke,Northland,21,9,161,130,56
102100,Hokianga South,Northland,30,6,131,229,<50
102200,Lake Manuwai-Kapiro,Northland,86,38,205,420,185
102300,?kaihau,Northland,33,Masked,120,275,<50
102400,Rangitane-Purerua,Northland,43,20,158,272,127
102500,Waipapa,Northland,38,16,97,392,165
102600,Puketotara,Northland,70,21,174,402,121
102700,Waim? Forest,Northland,23,6,137,168,<50
102800,Riverview,Northland,101,43,202,500,213
102900,Waipoua Forest,Northland,18,5,109,165,<50
103000,Kerikeri Central,Northland,89,32,232,384,138
103100,Kerikeri South,Northland,101,38,215,470,177
103200,?haeawai-Waimate North,Northland,29,9,114,254,79
103300,Puketona-Waitangi,Northland,42,11,120,350,92
103400,Ngapuhi,Northland,33,8,189,175,<50
103500,Kaikohe,Northland,176,57,658,267,87
103600,Pakaraka,Northland,30,14,77,390,182
103700,Haruru,Northland,46,9,119,387,76
103800,Russell,Northland,Masked,Masked,Masked,Masked,Masked
103900,Paihia,Northland,45,23,130,346,177
104000,Mataraua Forest,Northland,17,9,68,250,132
104100,Matawaia-Taumarere,Northland,60,10,200,300,50
104200,Russell Peninsula,Northland,Masked,Masked,Masked,Masked,Masked
104300,Opua (Far North District),Northland,20,8,70,286,114
104400,Russell Forest-Rawhiti,Northland,14,Masked,74,189,<50
104500,Moerewa,Northland,38,12,272,140,<50
104600,Kawakawa,Northland,46,12,199,231,60
104700,Maromaku,Northland,29,7,100,290,70
104800,Mangakahia-H?kerenui,Northland,68,17,233,292,73
104900,Whangaruru,Northland,87,22,247,352,89
105100,Matarau,Northland,170,76,391,435,194
105200,Hikurangi,Northland,72,24,232,310,103
105300,Kauri,Northland,75,28,197,381,142
105400,Maungatapere,Northland,167,91,366,456,249
105500,Kamo West,Northland,100,43,204,490,211
105600,Matapouri-Tutukaka,Northland,63,36,133,474,271
105700,Kiripaka,Northland,58,30,124,468,242
105800,Kamo East,Northland,164,58,431,381,135
105900,Granfield Reserve,Northland,153,58,290,528,200
106000,Kamo Central,Northland,112,34,216,519,157
106100,Whau Valley,Northland,111,44,262,424,168
106200,Tikipunga North,Northland,142,38,427,333,89
106300,Pukenui,Northland,156,75,255,612,294
106400,Otangarei,Northland,53,5,299,177,<50
106500,Tikipunga South,Northland,167,45,437,382,103
106600,Kensington (Whangarei District),Northland,91,35,253,360,138
106700,Abbey Caves-Glenbervie,Northland,49,25,131,374,191
106800,Mairtown,Northland,97,35,213,455,164
106900,Maunu-Horahora,Northland,160,67,343,466,195
107000,Woodhill-Vinetown,Northland,104,32,243,428,132
107100,Whang?rei Central,Northland,19,Masked,52,365,77
107200,Riverside,Northland,79,29,171,462,170
107300,Raumanga,Northland,112,30,466,240,64
107400,Tarewa,Northland,86,30,Masked,275,96
107500,Morningside (Whangarei District),Northland,81,28,217,373,129
107600,Ngunguru,Northland,61,28,120,508,233
107700,Otaika-Portland,Northland,63,21,142,444,148
107800,Oakleigh-Mangapai,Northland,91,43,221,412,195
107900,Port-Limeburners,Northland,Masked,Masked,Masked,Masked,Masked
108000,Pataua,Northland,73,28,196,372,143
108100,Onerahi Park,Northland,92,44,182,505,242
108200,Sherwood Rise,Northland,94,29,281,335,103
108300,Onerahi,Northland,72,22,241,299,91
108400,Inlet Whang?rei Harbour,Northland,Masked,Masked,Masked,Masked,Masked
108500,Parua Bay,Northland,136,58,260,523,223
108600,Bream Bay,Northland,90,33,231,390,143
108700,Marsden Bay,Northland,103,51,245,420,208
108800,Ruak?k?,Northland,74,19,244,303,78
108900,Bream Head,Northland,69,30,121,570,248
109000,Waipu,Northland,74,38,227,326,167
109100,Kaipara Coastal,Northland,102,42,330,309,127
109200,Maungaru,Northland,61,17,166,367,102
109300,Dargaville,Northland,125,50,444,282,113
109400,Ruawai-Matakohe,Northland,74,24,261,284,92
109500,Otamatea (Kaipara District),Northland,56,17,163,344,104
109600,Maungaturoto,Northland,53,17,143,371,119
109700,Kaiwaka,Northland,76,28,229,332,122
109800,Mangawhai Rural,Northland,87,38,242,360,157
109900,Mangawhai Heads,Northland,67,28,195,344,144
110100,Mangawhai,Northland,39,21,112,348,188
110200,Okahukura Peninsula,Waitemata,45,17,144,312,118
110400,Cape Rodney,Waitemata,140,62,322,435,193
110500,Wellsford,Waitemata,61,31,208,293,149
110700,South Head,Waitemata,106,48,260,408,185
110800,Kaipara Hills,Waitemata,92,37,228,404,162
110900,Dome Valley-Matakana,Waitemata,106,53,168,631,315
111100,Warkworth West,Waitemata,96,41,219,438,187
111200,Puhoi Valley,Waitemata,141,64,325,434,197
111300,Warkworth East,Waitemata,172,83,349,493,238
111400,Sandspit,Waitemata,28,18,70,400,257
111500,Tawharanui Peninsula,Waitemata,101,46,163,620,282
111600,Te Kuru,Waitemata,135,38,279,484,136
111700,Snells Beach,Waitemata,165,72,330,500,218
111800,Barrier Islands,Auckland,23,9,83,277,108
111900,Algies Bay-Scotts Landing,Waitemata,34,10,80,425,125
112100,Wainui-Waiwera,Waitemata,58,21,156,372,135
112200,Parakai,Waitemata,61,32,123,496,260
112300,Helensville Rural,Waitemata,62,31,146,425,212
112400,Helensville,Waitemata,167,86,324,515,265
112500,Waitoki,Waitemata,77,30,174,443,172
112600,Waikoukou Valley,Waitemata,63,34,168,375,202
112700,Orewa North,Waitemata,228,139,406,562,342
112800,Hatfields Beach,Waitemata,79,42,138,572,304
112900,Orewa South,Waitemata,162,88,258,628,341
113000,Orewa Central,Waitemata,99,54,177,559,305
113100,Millwater North,Waitemata,369,190,573,644,332
113200,Waipatukahu,Waitemata,79,28,134,590,209
113300,Millwater South,Waitemata,409,220,628,651,350
113400,Dairy Flat North,Waitemata,141,72,253,557,285
113500,Dairy Flat West,Waitemata,59,25,127,465,197
113600,Kingsway,Waitemata,162,73,282,574,259
113800,Silverdale Central (Auckland),Waitemata,32,13,55,582,236
113900,Red Beach West,Waitemata,110,56,214,514,262
114000,Red Beach East,Waitemata,188,84,364,516,231
114100,Silverdale South (Auckland),Waitemata,99,25,188,527,133
114200,Waimauku,Waitemata,82,37,136,603,272
114300,Gulf Islands,Auckland,Masked,Masked,Masked,Masked,Masked
114400,Vipond,Waitemata,160,92,308,519,299
114500,Muriwai,Waitemata,81,22,124,653,177
114600,Stanmore Bay West,Waitemata,172,95,329,523,289
114700,Kumeu Rural West,Waitemata,53,25,119,445,210
114800,Okura Bush,Waitemata,88,47,141,624,333
114900,Whangapar?oa Central,Waitemata,235,119,416,565,286
115000,Kumeu-Huapai,Waitemata,453,242,551,822,439
115100,Stanmore Bay East,Waitemata,134,62,267,502,232
115200,Manly West,Waitemata,125,72,235,532,306
