dhb_of_service_grp,type,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Auckland Metro,plan,41641,15049,16900,19300,21750,26836,30222,33817,42031,45945,49975,51375,52475,50675,50675,55850,63005,68882,74382,79882,82882,85716,1059265
Auckland Metro,actual,41763,15067,16434,17267,19493,26828,26163,27795,34236,39487,38810,49782,54815,49414,51576,61306,69587,91430,82727,96119,80082,159804,1149985
Auckland Metro,variance,122,18,-466,-2033,-2257,-8,-4059,-6022,-7795,-6458,-11165,-1593,2340,-1261,901,5456,6582,22548,8345,16237,-2800,74088,90720
Bay of Plenty,plan,1545,462,804,1214,2088,2346,3018,2778,4530,5400,6594,6264,6204,6204,6204,6204,9540,12472,13860,15250,15250,15250,143481
Bay of Plenty,actual,1547,838,1290,2057,2535,4717,4595,5277,7419,7501,6215,7517,7748,6084,6184,5962,8026,9613,9995,13344,11297,20137,149898
Bay of Plenty,variance,2,376,486,843,447,2371,1577,2499,2889,2101,-379,1253,1544,-120,-20,-242,-1514,-2859,-3865,-1906,-3953,4887,6417
Canterbury,plan,5414,1465,3364,3759,3999,6399,6939,7927,9346,9898,10618,10618,10618,10618,10617,10618,17773,24495,31018,33123,37653,37653,303932
Canterbury,actual,5430,1488,6072,7134,5932,7088,8918,8710,8721,6703,6824,9423,10416,9696,10801,10959,19942,24140,28547,32684,32538,61225,323391
Canterbury,variance,16,23,2708,3375,1933,689,1979,783,-625,-3195,-3794,-1195,-202,-922,184,341,2169,-355,-2471,-439,-5115,23572,19459
Capital & Coast and Hutt Valley,plan,6988,4298,4728,4318,4298,3978,4008,7126,4599,4560,7299,4869,4056,7299,7297,7297,24729,24729,28491,28491,28491,28491,250440
Capital & Coast and Hutt Valley,actual,7006,4438,4791,5080,5819,8601,7849,4747,6527,6979,5164,6007,5267,5305,6867,6336,14402,23837,28719,33830,32921,67688,298180
Capital & Coast and Hutt Valley,variance,18,140,63,762,1521,4623,3841,-2379,1928,2419,-2135,1138,1211,-1994,-430,-961,-10327,-892,228,5339,4430,39197,47740
Hawke's Bay,plan,1217,553,989,700,3668,3268,4682,3128,3128,3128,3128,4128,4008,3688,3690,3690,6896,13500,13500,13500,13500,12000,119689
Hawke's Bay,actual,1221,595,1254,1463,2144,3049,2785,2881,5372,7049,4747,4771,4232,3924,2972,3696,6209,11380,9149,10242,12008,20908,122051
Hawke's Bay,variance,4,42,265,763,-1524,-219,-1897,-247,2244,3921,1619,643,224,236,-718,6,-687,-2120,-4351,-3258,-1492,8908,2362
Lakes,plan,1330,1400,1680,1680,1680,1680,1680,1680,3500,3500,3500,3990,4830,4830,3340,4550,5760,5770,6000,6200,6050,6049,80679
Lakes,actual,1332,831,901,1618,1648,2123,2486,2540,3149,3807,3784,3798,4489,3842,3649,4188,5227,4828,5074,5308,4122,7784,76528
Lakes,variance,2,-569,-779,-62,-32,443,806,860,-351,307,284,-192,-341,-988,309,-362,-533,-942,-926,-892,-1928,1735,-4151
MidCentral,plan,120,126,270,690,726,1163,1705,2437,2448,2580,3487,8075,7985,7940,7940,7940,7140,12720,12720,11220,11220,8190,118842
