SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
108500,Parua Bay,Northland,Maori,265,239,227,902,857
108600,Bream Bay,Northland,Maori,347,294,264,847,761
108700,Marsden Bay,Northland,Maori,298,273,258,916,866
108800,Ruakaka,Northland,Maori,599,540,481,902,803
108800,Ruakaka,Northland,Pacific Peoples,54,48,46,889,852
108900,Bream Head,Northland,Maori,94,82,81,872,862
109000,Waipu,Northland,Maori,281,224,214,797,762
109000,Waipu,Northland,Pacific Peoples,40,35,32,875,800
109100,Kaipara Coastal,Northland,Maori,844,629,561,745,665
109100,Kaipara Coastal,Northland,Pacific Peoples,46,38,28,826,609
109200,Maungaru,Northland,Maori,249,213,194,855,779
109300,Dargaville,Northland,Maori,"1,333","1,036",905,777,679
109300,Dargaville,Northland,Pacific Peoples,205,186,167,907,815
109400,Ruawai-Matakohe,Northland,Maori,472,373,353,790,748
109500,Otamatea (Kaipara District),Northland,Maori,169,119,109,704,645
109600,Maungaturoto,Northland,Maori,183,160,145,874,792
109700,Kaiwaka,Northland,Maori,427,324,298,759,698
109800,Mangawhai Rural,Northland,Maori,172,134,129,779,750
109900,Mangawhai Heads,Northland,Maori,166,148,135,892,813
110100,Mangawhai,Northland,Maori,72,60,56,833,778
110200,Okahukura Peninsula,Waitemata,Maori,175,147,132,840,754
110400,Cape Rodney,Waitemata,Maori,365,313,305,858,836
110400,Cape Rodney,Waitemata,Pacific Peoples,50,42,40,840,800
110500,Wellsford,Waitemata,Maori,287,223,203,777,707
110500,Wellsford,Waitemata,Pacific Peoples,64,55,54,859,844
110700,South Head,Waitemata,Maori,361,313,295,867,817
110700,South Head,Waitemata,Pacific Peoples,52,40,39,769,750
110800,Kaipara Hills,Waitemata,Maori,259,219,205,846,792
110900,Dome Valley-Matakana,Waitemata,Maori,79,67,63,848,797
111100,Warkworth West,Waitemata,Maori,145,124,118,855,814
111100,Warkworth West,Waitemata,Pacific Peoples,90,Masked,Masked,>950,>950
111200,Puhoi Valley,Waitemata,Maori,195,171,160,877,821
111200,Puhoi Valley,Waitemata,Pacific Peoples,56,Masked,Masked,>950,>950
111300,Warkworth East,Waitemata,Maori,197,169,162,858,822
111300,Warkworth East,Waitemata,Pacific Peoples,162,Masked,Masked,>950,>950
111500,Tawharanui Peninsula,Waitemata,Maori,78,68,66,872,846
111600,Te Kuru,Waitemata,Maori,146,137,130,938,890
111700,Snells Beach,Waitemata,Maori,232,212,199,914,858
111700,Snells Beach,Waitemata,Pacific Peoples,104,Masked,Masked,>950,>950
111800,Barrier Islands,Auckland,Maori,168,134,128,798,762
111900,Algies Bay-Scotts Landing,Waitemata,Maori,42,Masked,Masked,>950,>950
112100,Wainui-Waiwera,Waitemata,Maori,96,89,87,927,906
112200,Parakai,Waitemata,Maori,187,167,153,893,818
112300,Helensville Rural,Waitemata,Maori,104,93,90,894,865
112400,Helensville,Waitemata,Maori,404,348,329,861,814
112400,Helensville,Waitemata,Pacific Peoples,100,80,76,800,760
112500,Waitoki,Waitemata,Maori,63,55,53,873,841
112600,Waikoukou Valley,Waitemata,Maori,86,80,78,930,907
112700,Orewa North,Waitemata,Maori,165,154,151,933,915
112700,Orewa North,Waitemata,Pacific Peoples,64,60,57,938,891
112800,Hatfields Beach,Waitemata,Maori,100,94,92,940,920
