Vaccine,Dose number,Ethnic group,Number of doses administered
Pfizer BioNTech COVID-19,1,Pacific Peoples,268924
Pfizer BioNTech COVID-19,Third primary,Unknown,257
AstraZeneca,1,Unknown,55
Pfizer BioNTech COVID-19,2,Unknown,36634
Pfizer BioNTech COVID-19,1,Maori,498462
Pfizer BioNTech COVID-19,Boosters,Pacific Peoples,13372
AstraZeneca,2,European or other,404
AstraZeneca,Boosters,European or other,136
AstraZeneca,2,Pacific Peoples,105
Pfizer BioNTech COVID-19,Boosters,Asian,38680
Pfizer BioNTech COVID-19,2,Maori,455605
Pfizer BioNTech COVID-19,Boosters,Maori,24083
AstraZeneca,Boosters,Asian,24
AstraZeneca,2,Maori,38
Pfizer BioNTech COVID-19,1,European or other,2537263
Pfizer BioNTech COVID-19,Boosters,European or other,200326
AstraZeneca,1,Maori,239
AstraZeneca,1,European or other,1995
Pfizer BioNTech COVID-19,2,Pacific Peoples,256059
AstraZeneca,2,Asian,22
AstraZeneca,1,Pacific Peoples,59
AstraZeneca,Boosters,Unknown,18
Pfizer BioNTech COVID-19,2,European or other,2474363
Pfizer BioNTech COVID-19,Third primary,Maori,2128
Pfizer BioNTech COVID-19,Third primary,Asian,2077
AstraZeneca,1,Asian,169
AstraZeneca,Boosters,Maori,11
AstraZeneca,Boosters,Pacific Peoples,6
Pfizer BioNTech COVID-19,1,Asian,625621
Pfizer BioNTech COVID-19,2,Asian,615860
Pfizer BioNTech COVID-19,Third primary,European or other,22484
AstraZeneca,2,Unknown,34
Pfizer BioNTech COVID-19,1,Unknown,39536
Pfizer BioNTech COVID-19,Boosters,Unknown,3178
Pfizer BioNTech COVID-19,Third primary,Pacific Peoples,1062
AstraZeneca,Third primary,European or other,27
