Date,First doses,Second doses,Third primary doses,Boosters
2021-02-18,1,0,0,0
2021-02-19,29,0,0,0
2021-02-20,65,0,0,0
2021-02-21,69,1,0,0
2021-02-22,448,0,0,0
2021-02-23,358,0,0,0
2021-02-24,813,0,0,0
2021-02-25,1102,0,0,0
2021-02-26,1604,0,0,0
2021-02-27,1338,0,0,0
2021-02-28,884,0,0,0
2021-03-01,1412,0,0,0
2021-03-02,1487,0,0,0
2021-03-03,1981,0,0,0
2021-03-04,1633,0,0,0
2021-03-05,1279,2,0,0
2021-03-06,603,1,0,0
2021-03-07,511,0,0,0
2021-03-08,1073,0,0,0
2021-03-09,1424,0,0,0
2021-03-10,1316,0,0,0
2021-03-11,1334,0,0,0
2021-03-12,1043,6,0,0
2021-03-13,751,6,0,0
2021-03-14,576,14,0,0
2021-03-15,1614,267,0,0
2021-03-16,1928,233,0,0
2021-03-17,1643,365,0,0
2021-03-18,1594,475,0,0
2021-03-19,1692,773,0,0
2021-03-20,556,716,0,0
2021-03-21,943,645,0,0
2021-03-22,1036,1221,0,0
2021-03-23,1588,1107,0,0
2021-03-24,1970,1586,1,0
2021-03-25,1820,1534,0,0
2021-03-26,3378,1293,0,0
2021-03-27,1160,874,0,0
2021-03-28,685,491,0,0
2021-03-29,3808,1128,0,0
2021-03-30,4167,1502,0,0
2021-03-31,5453,1347,0,0
2021-04-01,5201,1253,0,0
2021-04-02,1725,295,0,0
2021-04-03,1413,335,0,0
2021-04-04,760,196,0,0
2021-04-05,923,291,0,0
2021-04-06,3521,1441,0,0
2021-04-07,5124,2149,0,0
2021-04-08,6466,1766,0,0
2021-04-09,5424,1932,0,0
2021-04-10,3268,692,0,0
2021-04-11,2479,1081,0,0
2021-04-12,6046,1725,0,0
2021-04-13,6813,1629,1,0
2021-04-14,6634,1523,0,0
2021-04-15,6888,1844,0,0
2021-04-16,6864,2635,0,0
2021-04-17,3899,1153,0,0
2021-04-18,1480,592,0,0
2021-04-19,5095,2038,0,0
2021-04-20,6099,2987,0,0
2021-04-21,6756,3431,0,0
2021-04-22,6539,3881,0,0
2021-04-23,8147,3546,0,0
2021-04-24,3274,1382,0,0
2021-04-25,1471,909,0,0
2021-04-26,1389,862,0,0
2021-04-27,6801,3211,0,0
2021-04-28,7300,3674,0,0
2021-04-29,7530,4957,0,0
2021-04-30,8374,5033,0,0
2021-05-01,3489,1992,0,0
2021-05-02,1624,1920,0,0
2021-05-03,6253,4489,0,0
2021-05-04,8342,5302,0,0
2021-05-05,9206,5560,0,0
2021-05-06,9203,5830,0,0
2021-05-07,10135,6754,0,0
2021-05-08,4397,2855,0,0
2021-05-09,1731,1616,0,0
2021-05-10,6878,5120,0,0
2021-05-11,9229,5900,0,0
2021-05-12,9519,5774,0,0
2021-05-13,9777,6014,0,0
2021-05-14,8958,7116,0,0
2021-05-15,3420,2817,0,0
2021-05-16,2415,1807,0,0
2021-05-17,7297,3759,0,0
2021-05-18,9278,5517,0,0
2021-05-19,9055,6400,1,0
2021-05-20,8731,6751,0,1
2021-05-21,8266,7301,0,0
2021-05-22,4406,3566,0,0
2021-05-23,2261,1543,2,0
2021-05-24,7231,5775,0,0
2021-05-25,9839,7478,0,0
2021-05-26,10957,7766,0,0
2021-05-27,9863,7030,1,0
2021-05-28,10827,9877,0,0
2021-05-29,5942,4295,0,0
2021-05-30,3323,1881,0,0
2021-05-31,8903,5566,0,1
2021-06-01,12013,7922,1,0
2021-06-02,12560,8413,1,0
2021-06-03,14140,9032,0,0
2021-06-04,12100,8357,0,0
2021-06-05,6201,3351,0,0
2021-06-06,3534,1683,0,0
2021-06-07,3939,1372,0,0
2021-06-08,13097,8762,0,0
2021-06-09,7109,4319,1,0
2021-06-10,13942,9474,0,0
2021-06-11,11979,9591,1,0
2021-06-12,7452,4495,0,0
2021-06-13,4406,2904,2,0
2021-06-14,10357,7563,0,0
2021-06-15,13079,9159,0,0
2021-06-16,14400,10032,0,0
2021-06-17,12987,10308,0,0
2021-06-18,11358,9466,0,0
2021-06-19,7383,4905,0,0
2021-06-20,3967,3346,0,0
2021-06-21,9068,8446,0,0
2021-06-22,11447,11285,0,0
2021-06-23,13115,11891,0,0
2021-06-24,11438,12997,1,0
2021-06-25,10025,11720,0,0
2021-06-26,8356,6287,0,0
2021-06-27,3590,3445,0,0
2021-06-28,9926,6458,0,0
2021-06-29,10936,10041,0,0
2021-06-30,12943,9959,0,0
2021-07-01,13107,9852,0,0
2021-07-02,9773,10314,1,0
2021-07-03,7390,5327,0,0
2021-07-04,3488,2924,0,0
2021-07-05,7783,7969,0,0
2021-07-06,9592,11332,1,0
2021-07-07,11283,11874,0,0
2021-07-08,12715,11898,0,0
2021-07-09,11084,10522,0,0
2021-07-10,9328,6485,0,0
2021-07-11,4393,3243,0,0
2021-07-12,9578,8162,0,0
2021-07-13,12069,10488,0,0
2021-07-14,13422,11451,0,0
2021-07-15,12868,10912,1,0
2021-07-16,11942,9917,0,0
2021-07-17,9459,7078,0,0
2021-07-18,5656,3076,0,0
2021-07-19,13154,9188,0,0
2021-07-20,18764,11924,0,0
2021-07-21,20810,13186,0,0
2021-07-22,19840,12519,0,0
2021-07-23,19773,11310,0,0
2021-07-24,17117,7733,0,0
2021-07-25,9053,4932,0,0
2021-07-26,20555,9980,0,0
2021-07-27,27615,11373,0,0
2021-07-28,29421,12166,0,0
2021-07-29,28232,11991,1,0
2021-07-30,31519,10644,1,0
2021-07-31,29531,9073,1,0
2021-08-01,17985,4679,0,0
2021-08-02,25705,9443,0,0
2021-08-03,30305,12528,0,0
2021-08-04,32572,12926,1,0
2021-08-05,29282,13016,0,0
2021-08-06,30398,11707,1,0
2021-08-07,27927,8897,1,0
2021-08-08,15873,4633,1,0
2021-08-09,26909,11651,0,0
2021-08-10,31124,15957,0,0
2021-08-11,32040,16933,0,0
2021-08-12,32520,16552,0,0
2021-08-13,31409,15666,1,0
2021-08-14,30430,13331,1,0
2021-08-15,18286,7408,0,0
2021-08-16,30375,16056,0,0
2021-08-17,35860,20430,1,0
2021-08-18,413,100,0,0
2021-08-19,21590,8771,0,0
2021-08-20,38820,20216,1,0
2021-08-21,38408,15897,0,0
2021-08-22,28512,9094,0,0
2021-08-23,46802,19572,2,1
2021-08-24,59423,23679,1,0
2021-08-25,63468,26507,0,1
2021-08-26,67944,25516,1,0
2021-08-27,67442,24727,0,1
2021-08-28,56888,22401,0,1
2021-08-29,37124,11482,0,0
2021-08-30,54949,23769,0,0
2021-08-31,59355,27495,1,0
2021-09-01,63610,27710,0,1
2021-09-02,65272,25325,1,1
2021-09-03,61966,25917,3,0
2021-09-04,56152,22580,2,0
2021-09-05,27044,12021,0,0
2021-09-06,45341,21823,1,1
2021-09-07,50033,23468,1,0
2021-09-08,48883,18573,1,0
2021-09-09,46562,15630,0,0
2021-09-10,44205,21194,1,1
2021-09-11,39050,23335,0,0
2021-09-12,20683,13466,0,0
2021-09-13,34560,20982,3,0
2021-09-14,39780,22892,3,0
2021-09-15,40058,23228,1,0
2021-09-16,37327,24162,1,1
2021-09-17,33401,27702,4,1
2021-09-18,29345,24635,1,0
2021-09-19,14320,12600,2,0
2021-09-20,24841,25939,2,4
2021-09-21,27817,26601,3,0
2021-09-22,24577,25577,0,1
2021-09-23,21281,28564,2,0
2021-09-24,19172,31829,1,3
2021-09-25,19564,32318,2,0
2021-09-26,8288,16617,0,0
2021-09-27,12755,28305,1,1
2021-09-28,13641,31281,2,1
2021-09-29,14076,27161,1,1
2021-09-30,14193,32429,1,0
2021-10-01,12415,35520,4,0
2021-10-02,12952,37479,2,0
2021-10-03,7133,20059,0,0
2021-10-04,15016,41243,0,2
2021-10-05,17775,46419,3,2
2021-10-06,19112,51704,6,3
2021-10-07,19919,63051,3,5
2021-10-08,18795,67570,2,2
2021-10-09,18472,63798,4,0
2021-10-10,9111,33271,1,0
2021-10-11,15342,54392,4,0
2021-10-12,17682,55803,1,0
2021-10-13,15903,53501,2,3
2021-10-14,15254,53109,2,4
2021-10-15,14127,55809,3,3
2021-10-16,39714,91686,8,9
2021-10-17,6294,23497,0,0
2021-10-18,10077,32886,5,1
2021-10-19,10523,32536,1,2
2021-10-20,10526,32858,4,2
2021-10-21,10186,31473,9,6
2021-10-22,11550,33548,15,4
2021-10-23,11923,30826,13,1
2021-10-24,5376,13732,1,0
2021-10-25,3538,7201,1,0
2021-10-26,10988,31402,34,13
2021-10-27,11018,28477,39,2
2021-10-28,12986,32442,102,5
2021-10-29,11215,32075,160,3
2021-10-30,10840,32105,80,3
2021-10-31,4906,15370,12,0
2021-11-01,7274,20399,176,3
2021-11-02,7655,21485,257,6
2021-11-03,6838,20571,303,2
2021-11-04,6722,19660,364,4
2021-11-05,6539,21667,362,2
2021-11-06,7471,26598,123,1
2021-11-07,3289,11031,37,2
2021-11-08,5230,16288,301,5
2021-11-09,5989,16493,420,2
2021-11-10,6160,16078,459,2
2021-11-11,6456,16663,479,13
2021-11-12,6458,16846,367,13
2021-11-13,7260,20037,164,1
2021-11-14,4670,10014,39,8
2021-11-15,7843,13754,434,3
2021-11-16,6738,14494,464,15
2021-11-17,6272,14305,506,15
2021-11-18,6760,14159,523,11
2021-11-19,6870,15860,509,15
2021-11-20,6065,15608,159,17
2021-11-21,3108,6792,43,117
2021-11-22,4844,10548,430,171
2021-11-23,6608,12504,496,138
2021-11-24,6659,12139,557,236
2021-11-25,6455,11888,578,261
2021-11-26,5744,12296,979,4159
2021-11-27,6431,14543,410,4295
2021-11-28,3713,8083,123,2214
2021-11-29,6270,11954,1475,22075
2021-11-30,7566,14450,1211,18685
2021-12-01,7947,14375,1097,16917
2021-12-02,8719,16785,1114,13487
2021-12-03,7456,17468,1044,13575
2021-12-04,5681,14075,259,7304
2021-12-05,2731,6768,101,2379
2021-12-06,4615,10719,586,9354
2021-12-07,4420,10205,753,8996
2021-12-08,3820,9428,694,9308
