Territorial Authority,Population,Partially or Fully Vaccinated,Fully Vaccinated,% Partially or Fully Vaccinated,% Fully Vaccinated
Napier City,54392,51387,49221,0.944752904838947,0.904930872187086
Christchurch City,322365,Masked,Masked,>95%,>95%
South Taranaki District,20389,Masked,18784,>95%,0.921281082936878
Horowhenua District,28824,27103,25786,0.940292811545934,0.894601720788232
Marlborough District,41136,Masked,38935,>95%,0.946494554647997
Whanganui District,39902,36521,34792,0.915267405142599,0.871936243797303
Gisborne District,40638,37447,35152,0.921477434913135,0.865003198976328
Ruapehu District,9938,8668,8034,0.872207687663514,0.808412155363252
Otorohanga District,7960,7176,6808,0.901507537688442,0.855276381909548
Tararua District,15008,13789,13081,0.918776652452026,0.871601812366738
Lower Hutt City,90426,Masked,83917,>95%,0.928018490257227
Whakatane District,30432,26564,24860,0.872896950578339,0.816903259726604
Tauranga City,121638,Masked,112370,>95%,0.923806705141485
Taupo District,32192,29982,28611,0.931349403578529,0.888761182902585
Kapiti Coast District,47238,Masked,43733,>95%,0.925801261696092
Porirua City,47711,Masked,44103,>95%,0.924378026031733
Matamata-Piako District,29220,27381,26317,0.937063655030801,0.900650239561944
Timaru District,41101,38733,37444,0.942385830028466,0.911024062674874
Selwyn District,53318,Masked,Masked,>95%,>95%
Ashburton District,27424,Masked,26004,>95%,0.948220536756126
Tasman District,45613,42861,40984,0.939666323197334,0.898515774011795
Thames-Coromandel District,26266,24227,23348,0.922371126170715,0.888905809792127
Clutha District,14979,13973,13432,0.932839308365044,0.896722077575272
Waimakariri District,52773,Masked,49096,>95%,0.93032421882402
Westland District,7100,6642,6333,0.935492957746479,0.891971830985915
South Waikato District,19634,17717,16670,0.902363247427931,0.849037384129571
Stratford District,7523,6924,6611,0.920377508972484,0.87877176658248
Unknown,127342,68138,64324,0.535078764272589,0.505127923230356
Invercargill City,45988,43519,41864,0.946312081412542,0.910324432460642
Waikato District,63219,Masked,58339,>95%,0.922808016577295
Hurunui District,10818,10194,9858,0.942318358291736,0.911259012756517
Opotiki District,7289,6509,5961,0.892989436136644,0.817807655371107
Mackenzie District,4141,3832,3714,0.92538034291234,0.896884810432263
Kaikoura District,3473,3123,3016,0.899222574143392,0.868413475381515
Carterton District,8259,Masked,7638,>95%,0.924809298946604
Kawerau District,6115,5322,4883,0.870318887980376,0.798528209321341
Nelson City,44843,Masked,41144,>95%,0.91751220926343
Upper Hutt City,36899,Masked,35049,>95%,0.949863139922491
Waitaki District,19323,18083,17411,0.935827770015008,0.901050561507012
Far North District,56422,49229,46133,0.872514267484315,0.817642054517741
Dunedin City,110495,Masked,Masked,>95%,>95%
Whangarei District,78696,72224,68908,0.917759479516113,0.875622649181661
Grey District,11412,10588,10056,0.927795303189625,0.88117770767613
Manawatu District,25555,Masked,23842,>95%,0.932968108002348
Waimate District,6937,6417,6201,0.925039642496757,0.893902263226178
South Wairarapa District,9607,Masked,9031,>95%,0.940043718122203
Auckland,1383804,Masked,1301074,>95%,0.94021552185136
Queenstown-Lakes District,35862,Masked,Masked,>95%,>95%
Waitomo District,7762,6989,6573,0.900412264880186,0.846817830456068
Masterton District,22673,Masked,20686,>95%,0.912362722180567
Palmerston North City,70542,Masked,66555,>95%,0.943480479714213
Hauraki District,17324,15476,14755,0.893327176171785,0.851708612329716
Rotorua District,58120,54323,51460,0.934669649002065,0.885409497591191
Gore District,10754,9899,9523,0.920494699646643,0.885530965222243
Chatham Islands Territory,180,Masked,Masked,>95%,>95%
Wairoa District,6304,5762,5368,0.914022842639594,0.851522842639594
Hamilton City,137530,Masked,129472,>95%,0.941409147095179
Wellington City,178565,Masked,Masked,>95%,>95%
Western Bay of Plenty District,45702,43169,41333,0.944575729727364,0.90440243315391
New Plymouth District,68211,64522,61800,0.945917813842342,0.906012226766944
Central Otago District,19636,Masked,Masked,>95%,>95%
Southland District,25076,23057,22119,0.919484766310416,0.882078481416494
Central Hawke's Bay District,11838,Masked,10834,>95%,0.915188376414935
Buller District,8272,7615,7286,0.920575435203095,0.880802707930368
Hastings District,69386,Masked,63782,>95%,0.919234427694348
Waipa District,46645,Masked,43697,>95%,0.936799228213099
Kaipara District,20198,17664,16778,0.874542033864739,0.830676304584612
Rangitikei District,12700,11607,11122,0.913937007874016,0.875748031496063
Grand Total,4209057,3987640,3856407,0.947395105364456,0.916216387661179
