Territorial Authority,Population,First Dose,Second Dose,% First Dose,% Second Dose
Ashburton District,"27,424","24,081","17,535",88%,64%
Auckland,"1,383,804","1,245,895","1,069,650",90%,77%
Buller District,"8,272","6,406","5,085",77%,61%
Carterton District,"8,259","7,087","5,915",86%,72%
Central Hawke's Bay District,"11,838","9,915","7,977",84%,67%
Central Otago District,"19,636","17,440","14,937",89%,76%
Chatham Islands Territory,180,204,186,113%,103%
Christchurch City,"322,364","288,162","220,739",89%,68%
Clutha District,"14,979","12,324","9,841",82%,66%
Dunedin City,"110,495","101,716","89,249",92%,81%
Far North District,"56,422","42,026","32,517",74%,58%
Gisborne District,"40,638","31,038","24,888",76%,61%
Gore District,"10,754","8,692","7,215",81%,67%
Grey District,"11,412","9,097","7,399",80%,65%
Hamilton City,"137,530","122,380","101,320",89%,74%
Hastings District,"69,386","57,803","47,240",83%,68%
Hauraki District,"17,324","13,538","10,619",78%,61%
Horowhenua District,"28,824","23,384","19,076",81%,66%
Hurunui District,"10,818","9,062","7,258",84%,67%
Invercargill City,"45,988","38,176","31,230",83%,68%
Kaikoura District,"3,473","2,840","2,378",82%,68%
Kaipara District,"20,198","15,473","11,757",77%,58%
Kapiti Coast District,"47,238","41,011","35,399",87%,75%
Kawerau District,"6,115","4,148","3,063",68%,50%
Lower Hutt City,"90,423","78,409","64,007",87%,71%
Mackenzie District,"4,141","3,390","2,339",82%,56%
Manawatu District,"25,555","21,884","17,937",86%,70%
Marlborough District,"41,136","36,702","32,053",89%,78%
Masterton District,"22,673","18,731","15,466",83%,68%
Matamata-Piako District,"29,220","24,508","19,117",84%,65%
Napier City,"54,392","45,496","37,435",84%,69%
Nelson City,"44,843","38,485","33,256",86%,74%
New Plymouth District,"68,211","57,128","43,535",84%,64%
Opotiki District,"7,289","5,252","4,136",72%,57%
Otorohanga District,"7,960","6,351","4,687",80%,59%
Palmerston North City,"70,542","61,670","50,569",87%,72%
Porirua City,"47,711","40,741","33,875",85%,71%
Queenstown-Lakes District,"35,862","34,621","29,210",97%,81%
Rangitikei District,"12,700","10,339","8,288",81%,65%
Rotorua District,"58,120","45,940","35,896",79%,62%
Ruapehu District,"9,938","7,303","5,541",73%,56%
Selwyn District,"53,318","50,881","39,160",95%,73%
South Taranaki District,"20,389","16,287","12,160",80%,60%
South Waikato District,"19,634","15,034","10,966",77%,56%
South Wairarapa District,"9,607","8,416","6,986",88%,73%
Southland District,"25,076","20,004","15,372",80%,61%
Stratford District,"7,523","5,962","4,455",79%,59%
Tararua District,"15,008","11,828","9,375",79%,62%
Tasman District,"45,613","38,000","32,669",83%,72%
Taupo District,"32,192","25,773","20,672",80%,64%
Tauranga City,"121,638","103,551","80,510",85%,66%
Thames-Coromandel District,"26,266","21,750","18,594",83%,71%
Timaru District,"41,101","35,044","30,119",85%,73%
Unknown,"127,349","101,410","82,037",80%,64%
Upper Hutt City,"36,898","32,646","26,303",88%,71%
Waikato District,"63,219","54,021","43,574",85%,69%
Waimakariri District,"52,773","45,257","34,435",86%,65%
Waimate District,"6,937","5,670","4,534",82%,65%
Waipa District,"46,643","41,475","33,681",89%,72%
Wairoa District,"6,304","4,712","3,922",75%,62%
Waitaki District,"19,323","16,099","13,300",83%,69%
Waitomo District,"7,762","6,128","4,609",79%,59%
Wellington City,"178,565","167,670","140,478",94%,79%
Western Bay of Plenty District,"45,702","38,179","30,101",84%,66%
Westland District,"7,100","5,795","4,608",82%,65%
Whakatane District,"30,432","22,076","17,304",73%,57%
Whanganui District,"39,902","31,374","26,408",79%,66%
Whangarei District,"78,696","64,080","52,678",81%,67%
Grand Total,"4,209,057","3,657,970","3,018,830",87%,72%
