Ethnic group,Age group,Gender,DHB of residence,Population
Unknown,45-49,Male,Tairawhiti,6
Unknown,45-49,Male,Taranaki,28
Unknown,45-49,Male,Waikato,255
Unknown,45-49,Male,Wairarapa,16
Unknown,45-49,Male,Whanganui,12
Unknown,50-54,Female,Auckland Metro,112
Unknown,50-54,Female,Bay of Plenty,7
Unknown,50-54,Female,Canterbury,141
Unknown,50-54,Female,Capital & Coast and Hutt Valley,74
Unknown,50-54,Female,Hawkes Bay,10
Unknown,50-54,Female,Lakes,12
Unknown,50-54,Female,MidCentral,26
Unknown,50-54,Female,Nelson Marlborough,43
Unknown,50-54,Female,Northland,7
Unknown,50-54,Female,Overseas / Unknown,35
Unknown,50-54,Female,South Canterbury,5
Unknown,50-54,Female,Southern,22
Unknown,50-54,Female,Tairawhiti,6
Unknown,50-54,Female,Taranaki,12
Unknown,50-54,Female,Waikato,135
Unknown,50-54,Female,West Coast,6
Unknown,50-54,Female,Whanganui,8
Unknown,50-54,Male,Auckland Metro,350
Unknown,50-54,Male,Bay of Plenty,19
Unknown,50-54,Male,Canterbury,206
Unknown,50-54,Male,Capital & Coast and Hutt Valley,183
Unknown,50-54,Male,Hawkes Bay,28
Unknown,50-54,Male,Lakes,49
Unknown,50-54,Male,MidCentral,77
Unknown,50-54,Male,Nelson Marlborough,21
Unknown,50-54,Male,Northland,19
Unknown,50-54,Male,Overseas / Unknown,78
Unknown,50-54,Male,Southern,31
Unknown,50-54,Male,Tairawhiti,7
Unknown,50-54,Male,Taranaki,44
Unknown,50-54,Male,Waikato,333
Unknown,50-54,Male,Wairarapa,12
Unknown,50-54,Male,Whanganui,12
Unknown,55-59,Female,Auckland Metro,136
Unknown,55-59,Female,Bay of Plenty,6
Unknown,55-59,Female,Canterbury,86
Unknown,55-59,Female,Capital & Coast and Hutt Valley,84
Unknown,55-59,Female,Hawkes Bay,18
Unknown,55-59,Female,Lakes,12
Unknown,55-59,Female,MidCentral,23
Unknown,55-59,Female,Nelson Marlborough,39
Unknown,55-59,Female,Northland,13
Unknown,55-59,Female,Overseas / Unknown,31
Unknown,55-59,Female,South Canterbury,6
Unknown,55-59,Female,Southern,24
Unknown,55-59,Female,Taranaki,12
Unknown,55-59,Female,Waikato,138
Unknown,55-59,Female,West Coast,8
Unknown,55-59,Female,Whanganui,6
Unknown,55-59,Male,Auckland Metro,378
Unknown,55-59,Male,Bay of Plenty,19
Unknown,55-59,Male,Canterbury,188
Unknown,55-59,Male,Capital & Coast and Hutt Valley,198
Unknown,55-59,Male,Hawkes Bay,25
Unknown,55-59,Male,Lakes,43
Unknown,55-59,Male,MidCentral,97
Unknown,55-59,Male,Nelson Marlborough,28
Unknown,55-59,Male,Northland,23
Unknown,55-59,Male,Overseas / Unknown,91
Unknown,55-59,Male,Southern,55
Unknown,55-59,Male,Tairawhiti,9
Unknown,55-59,Male,Taranaki,37
Unknown,55-59,Male,Waikato,328
Unknown,55-59,Male,Wairarapa,14
Unknown,55-59,Male,Whanganui,9
Unknown,60-64,Female,Auckland Metro,125
Unknown,60-64,Female,Bay of Plenty,10
Unknown,60-64,Female,Canterbury,72
Unknown,60-64,Female,Capital & Coast and Hutt Valley,91
Unknown,60-64,Female,Hawkes Bay,13
Unknown,60-64,Female,Lakes,20
Unknown,60-64,Female,MidCentral,21
Unknown,60-64,Female,Nelson Marlborough,24
Unknown,60-64,Female,Northland,16
Unknown,60-64,Female,Overseas / Unknown,36
Unknown,60-64,Female,Southern,26
Unknown,60-64,Female,Taranaki,9
Unknown,60-64,Female,Waikato,186
Unknown,60-64,Female,Wairarapa,6
Unknown,60-64,Female,West Coast,5
Unknown,60-64,Female,Whanganui,8
Unknown,60-64,Male,Auckland Metro,329
Unknown,60-64,Male,Bay of Plenty,15
Unknown,60-64,Male,Canterbury,150
Unknown,60-64,Male,Capital & Coast and Hutt Valley,213
Unknown,60-64,Male,Hawkes Bay,23
Unknown,60-64,Male,Lakes,36
Unknown,60-64,Male,MidCentral,85
Unknown,60-64,Male,Nelson Marlborough,18
Unknown,60-64,Male,Northland,20
Unknown,60-64,Male,Overseas / Unknown,62
Unknown,60-64,Male,Southern,32
Unknown,60-64,Male,Tairawhiti,12
Unknown,60-64,Male,Taranaki,29
Unknown,60-64,Male,Waikato,316
Unknown,60-64,Male,Wairarapa,14
Unknown,60-64,Male,Whanganui,14
Unknown,65+,Female,Auckland Metro,506
Unknown,65+,Female,Bay of Plenty,24
Unknown,65+,Female,Canterbury,186
Unknown,65+,Female,Capital & Coast and Hutt Valley,247
Unknown,65+,Female,Hawkes Bay,43
Unknown,65+,Female,Lakes,56
Unknown,65+,Female,MidCentral,70
Unknown,65+,Female,Nelson Marlborough,41
Unknown,65+,Female,Northland,38
Unknown,65+,Female,Overseas / Unknown,86
Unknown,65+,Female,Southern,55
Unknown,65+,Female,Tairawhiti,9
Unknown,65+,Female,Taranaki,23
Unknown,65+,Female,Waikato,714
Unknown,65+,Female,Wairarapa,24
Unknown,65+,Female,West Coast,5
Unknown,65+,Female,Whanganui,22
Unknown,65+,Male,Auckland Metro,663
Unknown,65+,Male,Bay of Plenty,43
Unknown,65+,Male,Canterbury,207
Unknown,65+,Male,Capital & Coast and Hutt Valley,407
Unknown,65+,Male,Hawkes Bay,74
Unknown,65+,Male,Lakes,95
Unknown,65+,Male,MidCentral,147
Unknown,65+,Male,Nelson Marlborough,35
Unknown,65+,Male,Northland,43
Unknown,65+,Male,Overseas / Unknown,89
Unknown,65+,Male,Southern,87
Unknown,65+,Male,Tairawhiti,25
Unknown,65+,Male,Taranaki,57
Unknown,65+,Male,Waikato,894
Unknown,65+,Male,Wairarapa,37
Unknown,65+,Male,West Coast,6
Unknown,65+,Male,Whanganui,19
Various,Various,Various,Various,807
