SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,12+,"47,186",Masked,Masked,"47,319","28,214",>95%,>95%,60%
Unknown,Unknown,Unknown,5-11,"5,079","2,399","1,229",NA,NA,47%,24%,NA
100100,North Cape,Northland,12+,"1,594","1,372","1,350","1,259",816,86%,85%,65%
100100,North Cape,Northland,5-11,200,53,22,NA,NA,26%,11%,NA
100200,Rangaunu Harbour,Northland,12+,"1,948","1,644","1,593","1,487",864,84%,82%,58%
100200,Rangaunu Harbour,Northland,5-11,258,50,17,NA,NA,19%,7%,NA
100400,Karikari Peninsula,Northland,12+,"1,372","1,173","1,153","1,106",739,85%,84%,67%
100400,Karikari Peninsula,Northland,5-11,131,32,10,NA,NA,24%,8%,NA
100500,Tangonge,Northland,12+,978,860,841,769,483,88%,86%,63%
100500,Tangonge,Northland,5-11,125,31,10,NA,NA,25%,8%,NA
100600,Ahipara,Northland,12+,"1,053",899,876,822,534,85%,83%,65%
100600,Ahipara,Northland,5-11,148,55,18,NA,NA,37%,12%,NA
100700,Kaitaia East,Northland,12+,"1,997","1,764","1,685","1,548",857,88%,84%,55%
100700,Kaitaia East,Northland,5-11,328,97,32,NA,NA,30%,10%,NA
100800,Kaitaia West,Northland,12+,"2,942","2,533","2,426","2,236","1,268",86%,82%,57%
100800,Kaitaia West,Northland,5-11,476,120,51,NA,NA,25%,11%,NA
100900,Rangitihi,Northland,12+,822,696,680,630,369,85%,83%,59%
100900,Rangitihi,Northland,5-11,92,18,Masked,NA,NA,20%,5%,NA
101000,Oruru-Parapara,Northland,12+,814,660,637,602,362,81%,78%,60%
101000,Oruru-Parapara,Northland,5-11,102,26,10,NA,NA,25%,10%,NA
101100,Taumarumaru,Northland,12+,"2,246","1,994","1,953","1,881","1,361",89%,87%,72%
101100,Taumarumaru,Northland,5-11,220,75,23,NA,NA,34%,10%,NA
101200,Herekino-Takahue,Northland,12+,892,707,680,627,381,79%,76%,61%
101200,Herekino-Takahue,Northland,5-11,118,26,Masked,NA,NA,22%,<5%,NA
101300,Peria,Northland,12+,"1,022",739,713,677,418,72%,70%,62%
101300,Peria,Northland,5-11,130,26,12,NA,NA,20%,9%,NA
101400,Taemaro-Oruaiti,Northland,12+,858,712,691,656,421,83%,81%,64%
101400,Taemaro-Oruaiti,Northland,5-11,108,39,11,NA,NA,36%,10%,NA
101500,Whakapaku,Northland,12+,655,511,492,469,312,78%,75%,67%
101500,Whakapaku,Northland,5-11,83,32,7,NA,NA,39%,8%,NA
101600,Hokianga North,Northland,12+,792,662,643,592,399,84%,81%,67%
101600,Hokianga North,Northland,5-11,134,37,10,NA,NA,28%,7%,NA
101700,Kohukohu-Broadwood,Northland,12+,691,571,559,528,363,83%,81%,69%
101700,Kohukohu-Broadwood,Northland,5-11,64,17,Masked,NA,NA,27%,6%,NA
101800,Whakarara,Northland,12+,"1,123",961,936,889,627,86%,83%,71%
101800,Whakarara,Northland,5-11,119,55,27,NA,NA,46%,23%,NA
101900,Kaeo,Northland,12+,"1,084",856,824,777,493,79%,76%,63%
101900,Kaeo,Northland,5-11,148,45,18,NA,NA,30%,12%,NA
102000,Omahuta Forest-Horeke,Northland,12+,981,737,706,652,388,75%,72%,60%
102000,Omahuta Forest-Horeke,Northland,5-11,163,21,10,NA,NA,13%,6%,NA
102100,Hokianga South,Northland,12+,"1,194",903,866,823,551,76%,73%,67%
102100,Hokianga South,Northland,5-11,130,30,6,NA,NA,23%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,011","1,823","1,793","1,685","1,129",91%,89%,67%
102200,Lake Manuwai-Kapiro,Northland,5-11,208,84,42,NA,NA,40%,20%,NA
102300,Okaihau,Northland,12+,"1,033",895,877,824,491,87%,85%,60%
