SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
Unknown,Unknown,Unknown,Maori,"11,646","10,363","8,522",890,732
Unknown,Unknown,Unknown,Pacific Peoples,"2,879",Masked,Masked,>950,>950
100100,North Cape,Northland,Maori,847,750,692,885,817
100200,Rangaunu Harbour,Northland,Maori,"1,001",799,703,798,702
100400,Karikari Peninsula,Northland,Maori,515,397,322,771,625
100500,Tangonge,Northland,Maori,547,444,406,812,742
100600,Ahipara,Northland,Maori,587,468,419,797,714
100700,Kaitaia East,Northland,Maori,"1,321","1,062",844,804,639
100700,Kaitaia East,Northland,Pacific Peoples,52,Masked,41,>950,788
100800,Kaitaia West,Northland,Maori,"1,856","1,501","1,201",809,647
100800,Kaitaia West,Northland,Pacific Peoples,102,90,80,882,784
100900,Rangitihi,Northland,Maori,380,289,246,761,647
101000,Oruru-Parapara,Northland,Maori,309,234,191,757,618
101100,Taumarumaru,Northland,Maori,569,474,411,833,722
101200,Herekino-Takahue,Northland,Maori,418,326,267,780,639
101300,Peria,Northland,Maori,349,258,217,739,622
101400,Taemaro-Oruaiti,Northland,Maori,300,208,178,693,593
101500,Whakapaku,Northland,Maori,271,197,172,727,635
101600,Hokianga North,Northland,Maori,638,518,466,812,730
101700,Kohukohu-Broadwood,Northland,Maori,363,277,234,763,645
101800,Whakarara,Northland,Maori,535,451,407,843,761
101900,Kaeo,Northland,Maori,438,313,272,715,621
102000,Omahuta Forest-Horeke,Northland,Maori,627,416,340,663,542
102100,Hokianga South,Northland,Maori,687,484,398,705,579
102200,Lake Manuwai-Kapiro,Northland,Maori,248,188,162,758,653
102300,Okaihau,Northland,Maori,290,236,200,814,690
102400,Rangitane-Purerua,Northland,Maori,338,275,231,814,683
102500,Waipapa,Northland,Maori,122,98,81,803,664
102600,Puketotara,Northland,Maori,223,187,173,839,776
102700,Waima Forest,Northland,Maori,759,548,453,722,597
102800,Riverview,Northland,Maori,222,201,168,905,757
102900,Waipoua Forest,Northland,Maori,627,473,402,754,641
103000,Kerikeri Central,Northland,Maori,448,373,317,833,708
103000,Kerikeri Central,Northland,Pacific Peoples,58,Masked,Masked,>950,>950
103100,Kerikeri South,Northland,Maori,226,190,168,841,743
103200,Ohaeawai-Waimate North,Northland,Maori,412,338,298,820,723
103300,Puketona-Waitangi,Northland,Maori,268,224,208,836,776
103400,Ngapuhi,Northland,Maori,946,703,599,743,633
103500,Kaikohe,Northland,Maori,"2,760","2,026","1,667",734,604
103500,Kaikohe,Northland,Pacific Peoples,103,80,70,777,680
103600,Pakaraka,Northland,Maori,146,120,101,822,692
103700,Haruru,Northland,Maori,215,177,164,823,763
103800,Russell,Northland,Maori,135,125,120,926,889
103900,Paihia,Northland,Maori,481,381,319,792,663
104000,Mataraua Forest,Northland,Maori,338,255,211,754,624
104100,Matawaia-Taumarere,Northland,Maori,790,584,484,739,613
104200,Russell Peninsula,Northland,Maori,75,54,51,720,680
104300,Opua (Far North District),Northland,Maori,181,134,115,740,635
104400,Russell Forest-Rawhiti,Northland,Maori,389,312,276,802,710
104500,Moerewa,Northland,Maori,"1,174",923,802,786,683
104600,Kawakawa,Northland,Maori,825,668,573,810,695
104700,Maromaku,Northland,Maori,247,178,155,721,628
104800,Mangakahia-Hukerenui,Northland,Maori,593,488,409,823,690
104900,Whangaruru,Northland,Maori,648,545,469,841,724
105100,Matarau,Northland,Maori,356,298,254,837,713
105200,Hikurangi,Northland,Maori,460,376,312,817,678
105300,Kauri,Northland,Maori,231,195,175,844,758
105400,Maungatapere,Northland,Maori,422,368,328,872,777
105500,Kamo West,Northland,Maori,386,336,294,870,762
105600,Matapouri-Tutukaka,Northland,Maori,218,186,163,853,748
105700,Kiripaka,Northland,Maori,185,146,127,789,686
105800,Kamo East,Northland,Maori,905,753,613,832,677
105800,Kamo East,Northland,Pacific Peoples,101,85,81,842,802
105900,Granfield Reserve,Northland,Maori,453,398,345,879,762
105900,Granfield Reserve,Northland,Pacific Peoples,40,35,30,875,750
106000,Kamo Central,Northland,Maori,405,355,302,877,746
106100,Whau Valley,Northland,Maori,599,518,452,865,755
106200,Tikipunga North,Northland,Maori,972,810,687,833,707
106200,Tikipunga North,Northland,Pacific Peoples,73,59,46,808,630
106300,Pukenui,Northland,Maori,174,151,138,868,793
106400,Otangarei,Northland,Maori,"1,283",966,722,753,563
106400,Otangarei,Northland,Pacific Peoples,53,38,34,717,642
106500,Tikipunga South,Northland,Maori,"1,174","1,001",849,853,723
106500,Tikipunga South,Northland,Pacific Peoples,80,73,56,912,700
106600,Kensington (Whangarei District),Northland,Maori,707,578,493,818,697
106600,Kensington (Whangarei District),Northland,Pacific Peoples,57,Masked,54,>950,947
106700,Abbey Caves-Glenbervie,Northland,Maori,142,116,102,817,718
106800,Mairtown,Northland,Maori,528,449,392,850,742
106800,Mairtown,Northland,Pacific Peoples,58,45,41,776,707
106900,Maunu-Horahora,Northland,Maori,532,456,392,857,737
106900,Maunu-Horahora,Northland,Pacific Peoples,40,31,28,775,700
107000,Woodhill-Vinetown,Northland,Maori,734,573,500,781,681
107000,Woodhill-Vinetown,Northland,Pacific Peoples,83,75,69,904,831
107100,Whangarei Central,Northland,Maori,258,210,176,814,682
107200,Riverside,Northland,Maori,418,337,287,806,687
107200,Riverside,Northland,Pacific Peoples,44,40,36,909,818
107300,Raumanga,Northland,Maori,"1,434","1,095",837,764,584
107300,Raumanga,Northland,Pacific Peoples,90,81,67,900,744
107400,Tarewa,Northland,Maori,853,661,531,775,623
107500,Morningside (Whangarei District),Northland,Maori,763,634,533,831,699
107500,Morningside (Whangarei District),Northland,Pacific Peoples,52,42,40,808,769
107600,Ngunguru,Northland,Maori,154,132,118,857,766
107700,Otaika-Portland,Northland,Maori,290,222,188,766,648
107800,Oakleigh-Mangapai,Northland,Maori,230,186,163,809,709
108000,Pataua,Northland,Maori,178,130,115,730,646
108100,Onerahi Park,Northland,Maori,245,216,192,882,784
108200,Sherwood Rise,Northland,Maori,614,517,451,842,735
108200,Sherwood Rise,Northland,Pacific Peoples,46,Masked,40,>950,870
108300,Onerahi,Northland,Maori,582,468,364,804,625
108300,Onerahi,Northland,Pacific Peoples,51,41,33,804,647
108500,Parua Bay,Northland,Maori,264,234,211,886,799
108600,Bream Bay,Northland,Maori,354,292,253,825,715
108700,Marsden Bay,Northland,Maori,300,271,240,903,800
108800,Ruakaka,Northland,Maori,594,512,422,862,710
108800,Ruakaka,Northland,Pacific Peoples,53,46,42,868,792
108900,Bream Head,Northland,Maori,94,81,72,862,766
109000,Waipu,Northland,Maori,276,217,200,786,725
109100,Kaipara Coastal,Northland,Maori,843,613,513,727,609
109100,Kaipara Coastal,Northland,Pacific Peoples,45,30,27,667,600
109200,Maungaru,Northland,Maori,249,207,179,831,719
109300,Dargaville,Northland,Maori,"1,332",988,818,742,614
109300,Dargaville,Northland,Pacific Peoples,205,177,151,863,737
109400,Ruawai-Matakohe,Northland,Maori,471,370,322,786,684
109500,Otamatea (Kaipara District),Northland,Maori,168,116,102,690,607
109600,Maungaturoto,Northland,Maori,188,157,135,835,718
109700,Kaiwaka,Northland,Maori,428,315,269,736,629
109800,Mangawhai Rural,Northland,Maori,171,128,115,749,673
109900,Mangawhai Heads,Northland,Maori,164,146,126,890,768
110100,Mangawhai,Northland,Maori,71,56,50,789,704
110200,Okahukura Peninsula,Waitemata,Maori,178,147,119,826,669
110400,Cape Rodney,Waitemata,Maori,363,310,295,854,813
