Date,First doses,Second doses,Third primary doses,Boosters
2021-02-14,1,0,0,0
2021-02-18,1,0,0,0
2021-02-19,29,0,0,0
2021-02-20,65,0,0,0
2021-02-21,69,1,0,0
2021-02-22,448,0,0,0
2021-02-23,358,0,0,0
2021-02-24,812,0,0,0
2021-02-25,1102,0,0,0
2021-02-26,1604,0,0,0
2021-02-27,1339,0,0,0
2021-02-28,883,0,0,0
2021-03-01,1411,0,0,0
2021-03-02,1488,0,0,0
2021-03-03,1980,0,0,0
2021-03-04,1633,0,0,0
2021-03-05,1278,2,0,0
2021-03-06,602,1,0,0
2021-03-07,511,0,0,0
2021-03-08,1073,0,0,0
2021-03-09,1424,0,0,0
2021-03-10,1317,0,0,0
2021-03-11,1334,0,0,0
2021-03-12,1043,6,0,0
2021-03-13,750,6,0,0
2021-03-14,576,14,0,0
2021-03-15,1614,267,0,0
2021-03-16,1928,233,0,0
2021-03-17,1641,365,0,0
2021-03-18,1594,475,0,0
2021-03-19,1692,773,0,0
2021-03-20,557,715,0,0
2021-03-21,943,645,0,0
2021-03-22,1035,1220,0,0
2021-03-23,1587,1107,0,0
2021-03-24,1969,1585,1,0
2021-03-25,1822,1534,0,0
2021-03-26,3378,1292,0,0
2021-03-27,1157,874,0,0
2021-03-28,685,491,0,0
2021-03-29,3807,1128,0,0
2021-03-30,4169,1500,0,0
2021-03-31,5450,1346,0,0
2021-04-01,5203,1253,0,0
2021-04-02,1725,295,0,0
2021-04-03,1413,335,0,0
2021-04-04,760,196,0,0
2021-04-05,923,291,0,0
2021-04-06,3522,1440,0,0
2021-04-07,5125,2146,0,0
2021-04-08,6464,1766,0,0
2021-04-09,5423,1930,0,0
2021-04-10,3267,692,0,0
2021-04-11,2477,1081,0,0
2021-04-12,6046,1724,0,0
2021-04-13,6811,1627,1,0
2021-04-14,6628,1522,0,0
2021-04-15,6888,1844,0,0
2021-04-16,6864,2632,0,0
2021-04-17,3903,1147,0,0
2021-04-18,1480,592,0,0
2021-04-19,5095,2038,0,0
2021-04-20,6097,2987,0,0
2021-04-21,6754,3428,0,0
2021-04-22,6535,3877,0,0
2021-04-23,8146,3545,0,0
2021-04-24,3274,1382,0,0
2021-04-25,1471,909,0,0
2021-04-26,1388,862,0,0
2021-04-27,6801,3211,0,0
2021-04-28,7296,3671,0,0
2021-04-29,7529,4956,0,0
2021-04-30,8374,5030,0,0
2021-05-01,3490,1990,0,0
2021-05-02,1624,1919,0,0
2021-05-03,6248,4486,0,0
2021-05-04,8338,5301,0,0
2021-05-05,9204,5559,0,0
2021-05-06,9205,5827,0,0
2021-05-07,10136,6752,0,0
2021-05-08,4390,2854,0,0
2021-05-09,1729,1615,0,0
2021-05-10,6875,5119,0,0
2021-05-11,9229,5896,0,0
2021-05-12,9519,5768,0,0
2021-05-13,9775,6010,0,0
2021-05-14,8952,7114,0,0
2021-05-15,3420,2816,0,0
2021-05-16,2413,1806,0,0
2021-05-17,7297,3757,0,0
2021-05-18,9276,5511,0,0
2021-05-19,9056,6397,0,0
2021-05-20,8730,6747,0,0
2021-05-21,8266,7298,0,0
2021-05-22,4403,3566,0,0
2021-05-23,2263,1543,0,0
2021-05-24,7228,5763,0,0
2021-05-25,9837,7473,0,0
2021-05-26,10956,7764,0,0
2021-05-27,9862,7025,1,0
2021-05-28,10826,9874,0,0
2021-05-29,5940,4294,0,0
2021-05-30,3323,1880,0,0
2021-05-31,8906,5564,0,1
2021-06-01,12018,7914,2,0
2021-06-02,12553,8413,1,0
2021-06-03,14140,9024,0,0
2021-06-04,12100,8353,0,0
2021-06-05,6204,3350,0,0
2021-06-06,3535,1682,0,0
2021-06-07,3939,1370,0,0
2021-06-08,13094,8760,0,0
2021-06-09,7108,4318,0,0
2021-06-10,13941,9467,0,0
2021-06-11,11984,9582,1,0
2021-06-12,7453,4491,0,0
2021-06-13,4405,2899,0,0
2021-06-14,10360,7559,0,0
2021-06-15,13081,9152,0,0
2021-06-16,14401,10024,0,0
2021-06-17,12987,10304,0,0
2021-06-18,11353,9465,0,0
2021-06-19,7383,4900,0,0
2021-06-20,3968,3345,0,0
2021-06-21,9068,8445,0,0
2021-06-22,11449,11281,0,0
2021-06-23,13116,11887,0,0
2021-06-24,11441,12992,0,0
2021-06-25,10027,11714,0,0
2021-06-26,8354,6285,0,0
