Territorial Authority,Population,Partially or Fully Vaccinated,Fully Vaccinated,% Partially or Fully Vaccinated,% Fully Vaccinated
Horowhenua District,28824,26686,24298,0.925825700804885,0.842978073827366
Christchurch City,322365,Masked,299018,>95%,0.927575884478774
Napier City,54392,50660,46863,0.931386968671864,0.861578908663039
South Taranaki District,20389,19354,17839,0.949237333856491,0.874932561675413
Whanganui District,39902,35896,32854,0.899604029873189,0.823367249761917
Gisborne District,40638,36662,32966,0.902160539396624,0.81121118165264
Marlborough District,41136,Masked,37282,>95%,0.906310774017892
Ruapehu District,9938,8482,7548,0.853491648218958,0.75950895552425
Tararua District,15008,13563,12319,0.903718017057569,0.820828891257996
Otorohanga District,7960,7034,6446,0.883668341708543,0.809798994974874
Kapiti Coast District,47238,44545,42114,0.942990812481477,0.891528007112918
Porirua City,47711,45122,41929,0.945735784200708,0.878812014000964
Lower Hutt City,90426,85685,80621,0.947570389047398,0.891568796585053
Whakatane District,30432,26012,23034,0.854758149316509,0.756900630914827
Taupo District,32192,29507,27085,0.916594184890656,0.84135810139165
Tauranga City,121638,115528,106880,0.949768986665351,0.87867278317631
Matamata-Piako District,29220,26980,25185,0.923340177960301,0.861909650924025
Ashburton District,27424,Masked,25033,>95%,0.912813593932322
Waimakariri District,52773,Masked,47203,>95%,0.894453603168287
Selwyn District,53318,Masked,Masked,>95%,>95%
Tasman District,45613,42184,39196,0.924824063315283,0.859316422949598
Thames-Coromandel District,26266,23887,22430,0.909426635193787,0.85395568415442
Timaru District,41101,38221,36034,0.929928712196784,0.876718328021216
Clutha District,14979,13788,12860,0.920488684157821,0.858535282729154
South Waikato District,19634,17358,15596,0.884078639095447,0.794336355302027
Westland District,7100,6529,6060,0.919577464788732,0.853521126760563
Stratford District,7523,6816,6264,0.906021533962515,0.832646550578227
Waikato District,63219,59694,56029,0.944241446400607,0.886268368686629
Carterton District,8259,7842,7337,0.949509625862695,0.888364208741978
Hurunui District,10818,10076,9513,0.931410611943058,0.87936772046589
Unknown,127342,67972,62132,0.533775188076204,0.487914435143158
Opotiki District,7289,6382,5524,0.8755659212512,0.757854301001509
Mackenzie District,4141,3790,3548,0.91523786524994,0.856797874909442
Kawerau District,6115,5208,4415,0.851676206050695,0.721995094031071
Invercargill City,45988,42930,39883,0.933504392450204,0.867247977733322
Kaikoura District,3473,3081,2911,0.887129283040599,0.838180247624532
Waitaki District,19323,17831,16708,0.92278631682451,0.864669047249392
Dunedin City,110495,Masked,103401,>95%,0.935797999909498
Far North District,56422,48094,43597,0.852398000779838,0.77269504803091
Upper Hutt City,36899,Masked,33640,>95%,0.911677823247242
Grey District,11412,10399,9507,0.911233788994041,0.833070452155626
Whangarei District,78696,71053,65627,0.902879434787029,0.833930568262682
Nelson City,44843,42307,39489,0.943447137791852,0.880605668666236
Manawatu District,25555,Masked,22730,>95%,0.889454118567795
Waimate District,6937,6328,5921,0.912209889001009,0.853538993801355
South Wairarapa District,9607,Masked,8698,>95%,0.905381492661601
Queenstown-Lakes District,35862,Masked,Masked,>95%,>95%
Auckland,1383804,Masked,1269040,>95%,0.917066289734673
Gore District,10754,9771,9066,0.908592151757486,0.843035149711735
Rotorua District,58120,53480,48580,0.920165175498968,0.835856847900895
Palmerston North City,70542,Masked,63578,>95%,0.901278670862748
Waitomo District,7762,6900,6238,0.888946147900026,0.803658850811646
Hauraki District,17324,15214,14007,0.878203648118217,0.808531516970676
Masterton District,22673,21388,19624,0.943324659286376,0.865522868610241
Chatham Islands Territory,180,Masked,Masked,>95%,>95%
New Plymouth District,68211,63475,59063,0.930568383398572,0.865886733811262
Hamilton City,137530,Masked,124758,>95%,0.907132989166
Wellington City,178565,Masked,Masked,>95%,>95%
Central Hawke's Bay District,11838,11179,10376,0.944331812806217,0.876499408683899
Central Otago District,19636,Masked,18093,>95%,0.921419841108169
Wairoa District,6304,5619,5029,0.89133883248731,0.797747461928934
Western Bay of Plenty District,45702,42570,39254,0.931469082315872,0.858912082622205
Southland District,25076,22695,20961,0.905048652097623,0.835898867442973
Buller District,8272,7497,6860,0.906310444874275,0.829303675048356
Hastings District,69386,65739,60273,0.947438964632635,0.868662266163203
Kaipara District,20198,17362,15932,0.859590058421626,0.788790969402911
Waipa District,46645,Masked,42400,>95%,0.908993461249866
Rangitikei District,12700,11485,10648,0.904330708661417,0.838425196850394
Grand Total,4209057,3942183,3718924,0.936595299137075,0.883552776785869
