SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,12+,"53,843","50,867","49,223","46,527","27,872","12,753","4,672",94%,91%,60%,37%
Unknown,Unknown,Unknown,5-11,"5,700","2,777","1,450",NA,NA,NA,NA,49%,25%,NA,NA
100100,North Cape,Northland,12+,"1,675","1,394","1,371","1,287",832,600,229,83%,82%,65%,38%
100100,North Cape,Northland,5-11,177,53,23,NA,NA,NA,NA,30%,13%,NA,NA
100200,Rangaunu Harbour,Northland,12+,"2,013","1,655","1,602","1,517",886,609,148,82%,80%,58%,24%
100200,Rangaunu Harbour,Northland,5-11,251,51,21,NA,NA,NA,NA,20%,8%,NA,NA
100400,Karikari Peninsula,Northland,12+,"1,398","1,179","1,159","1,117",752,592,163,84%,83%,67%,28%
100400,Karikari Peninsula,Northland,5-11,127,30,8,NA,NA,NA,NA,24%,6%,NA,NA
100500,Tangonge,Northland,12+,"1,028",866,848,785,497,322,86,84%,82%,63%,27%
100500,Tangonge,Northland,5-11,122,32,10,NA,NA,NA,NA,26%,8%,NA,NA
100600,Ahipara,Northland,12+,"1,093",899,877,832,532,378,77,82%,80%,64%,20%
100600,Ahipara,Northland,5-11,148,55,18,NA,NA,NA,NA,37%,12%,NA,NA
100700,Kaitaia East,Northland,12+,"2,024","1,731","1,652","1,537",864,500,131,86%,82%,56%,26%
100700,Kaitaia East,Northland,5-11,343,102,35,NA,NA,NA,NA,30%,10%,NA,NA
100800,Kaitaia West,Northland,12+,"3,006","2,519","2,414","2,243","1,264",800,234,84%,80%,56%,29%
100800,Kaitaia West,Northland,5-11,447,123,52,NA,NA,NA,NA,28%,12%,NA,NA
100900,Rangitihi,Northland,12+,837,693,679,636,372,251,57,83%,81%,58%,23%
100900,Rangitihi,Northland,5-11,83,18,7,NA,NA,NA,NA,22%,8%,NA,NA
101000,Oruru-Parapara,Northland,12+,848,654,631,603,360,265,69,77%,74%,60%,26%
101000,Oruru-Parapara,Northland,5-11,104,26,10,NA,NA,NA,NA,25%,10%,NA,NA
101100,Taumarumaru,Northland,12+,"2,286","1,967","1,929","1,868","1,361","1,082",411,86%,84%,73%,38%
101100,Taumarumaru,Northland,5-11,221,72,30,NA,NA,NA,NA,33%,14%,NA,NA
101200,Herekino-Takahue,Northland,12+,934,713,687,641,390,286,71,76%,74%,61%,25%
101200,Herekino-Takahue,Northland,5-11,101,27,Masked,NA,NA,NA,NA,27%,<5%,NA,NA
101300,Peria,Northland,12+,"1,062",745,724,694,422,295,63,70%,68%,61%,21%
101300,Peria,Northland,5-11,135,28,14,NA,NA,NA,NA,21%,10%,NA,NA
101400,Taemaro-Oruaiti,Northland,12+,914,724,704,670,442,354,129,79%,77%,66%,36%
101400,Taemaro-Oruaiti,Northland,5-11,103,38,14,NA,NA,NA,NA,37%,14%,NA,NA
101500,Whakapaku,Northland,12+,689,511,495,474,313,248,98,74%,72%,66%,40%
101500,Whakapaku,Northland,5-11,88,31,11,NA,NA,NA,NA,35%,12%,NA,NA
101600,Hokianga North,Northland,12+,818,668,647,597,407,298,58,82%,79%,68%,19%
101600,Hokianga North,Northland,5-11,130,38,12,NA,NA,NA,NA,29%,9%,NA,NA
101700,Kohukohu-Broadwood,Northland,12+,706,563,550,526,361,286,117,80%,78%,69%,41%
101700,Kohukohu-Broadwood,Northland,5-11,68,19,6,NA,NA,NA,NA,28%,9%,NA,NA
101800,Whakarara,Northland,12+,"1,166",966,941,903,629,453,189,83%,81%,70%,42%
101800,Whakarara,Northland,5-11,112,54,27,NA,NA,NA,NA,48%,24%,NA,NA
101900,Kaeo,Northland,12+,"1,106",847,813,776,487,338,137,77%,74%,63%,41%
101900,Kaeo,Northland,5-11,147,45,18,NA,NA,NA,NA,31%,12%,NA,NA
102000,Omahuta Forest-Horeke,Northland,12+,"1,003",726,694,654,389,291,82,72%,69%,59%,28%
102000,Omahuta Forest-Horeke,Northland,5-11,159,22,13,NA,NA,NA,NA,14%,8%,NA,NA
102100,Hokianga South,Northland,12+,"1,211",907,874,836,570,420,154,75%,72%,68%,37%
102100,Hokianga South,Northland,5-11,123,31,14,NA,NA,NA,NA,25%,11%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,128","1,820","1,789","1,691","1,136",786,256,86%,84%,67%,33%
102200,Lake Manuwai-Kapiro,Northland,5-11,213,87,48,NA,NA,NA,NA,41%,23%,NA,NA
102300,Okaihau,Northland,12+,"1,078",896,876,825,495,323,84,83%,81%,60%,26%
102300,Okaihau,Northland,5-11,124,33,11,NA,NA,NA,NA,27%,9%,NA,NA
