SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,12+,"56,404","53,213","51,518","48,701","29,343","13,348","4,738",94%,91%,60%,35%
Unknown,Unknown,Unknown,5-11,"5,817","2,837","1,488",NA,NA,NA,NA,49%,26%,NA,NA
100100,North Cape,Northland,12+,"1,677","1,391","1,368","1,283",830,596,211,83%,82%,65%,35%
100100,North Cape,Northland,5-11,180,53,23,NA,NA,NA,NA,29%,13%,NA,NA
100200,Rangaunu Harbour,Northland,12+,"2,005","1,647","1,595","1,505",874,596,136,82%,80%,58%,23%
100200,Rangaunu Harbour,Northland,5-11,250,51,21,NA,NA,NA,NA,20%,8%,NA,NA
100400,Karikari Peninsula,Northland,12+,"1,393","1,177","1,158","1,114",749,582,151,84%,83%,67%,26%
100400,Karikari Peninsula,Northland,5-11,128,31,9,NA,NA,NA,NA,24%,7%,NA,NA
100500,Tangonge,Northland,12+,"1,019",858,839,776,492,315,82,84%,82%,63%,26%
100500,Tangonge,Northland,5-11,123,32,10,NA,NA,NA,NA,26%,8%,NA,NA
100600,Ahipara,Northland,12+,"1,093",899,877,830,535,373,71,82%,80%,64%,19%
100600,Ahipara,Northland,5-11,146,55,18,NA,NA,NA,NA,38%,12%,NA,NA
100700,Kaitaia East,Northland,12+,"2,021","1,729","1,650","1,536",857,483,125,86%,82%,56%,26%
100700,Kaitaia East,Northland,5-11,339,100,35,NA,NA,NA,NA,29%,10%,NA,NA
100800,Kaitaia West,Northland,12+,"2,990","2,502","2,396","2,224","1,254",774,185,84%,80%,56%,24%
100800,Kaitaia West,Northland,5-11,450,123,51,NA,NA,NA,NA,27%,11%,NA,NA
100900,Rangitihi,Northland,12+,841,699,685,640,377,249,52,83%,81%,59%,21%
100900,Rangitihi,Northland,5-11,83,18,Masked,NA,NA,NA,NA,22%,6%,NA,NA
101000,Oruru-Parapara,Northland,12+,850,658,634,604,364,264,66,77%,75%,60%,25%
101000,Oruru-Parapara,Northland,5-11,104,26,10,NA,NA,NA,NA,25%,10%,NA,NA
101100,Taumarumaru,Northland,12+,"2,286","1,968","1,930","1,866","1,362","1,071",393,86%,84%,73%,37%
101100,Taumarumaru,Northland,5-11,222,73,31,NA,NA,NA,NA,33%,14%,NA,NA
101200,Herekino-Takahue,Northland,12+,926,704,678,631,387,276,67,76%,73%,61%,24%
101200,Herekino-Takahue,Northland,5-11,101,27,Masked,NA,NA,NA,NA,27%,<5%,NA,NA
101300,Peria,Northland,12+,"1,061",745,724,692,423,292,62,70%,68%,61%,21%
101300,Peria,Northland,5-11,133,27,13,NA,NA,NA,NA,20%,10%,NA,NA
101400,Taemaro-Oruaiti,Northland,12+,911,723,703,669,440,347,114,79%,77%,66%,33%
101400,Taemaro-Oruaiti,Northland,5-11,102,37,13,NA,NA,NA,NA,36%,13%,NA,NA
101500,Whakapaku,Northland,12+,686,510,494,472,312,246,95,74%,72%,66%,39%
