SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,12+,"57,738",Masked,Masked,"55,194","34,639",>95%,>95%,63%
Unknown,Unknown,Unknown,5-11,"5,567","2,761","1,042",NA,NA,50%,19%,NA
100100,North Cape,Northland,12+,"1,597","1,384","1,356","1,202",812,87%,85%,68%
100100,North Cape,Northland,5-11,200,55,11,NA,NA,28%,6%,NA
100200,Rangaunu Harbour,Northland,12+,"1,938","1,641","1,582","1,383",839,85%,82%,61%
100200,Rangaunu Harbour,Northland,5-11,266,59,11,NA,NA,22%,<5%,NA
100400,Karikari Peninsula,Northland,12+,"1,341","1,145","1,122","1,003",707,85%,84%,70%
100400,Karikari Peninsula,Northland,5-11,133,32,Masked,NA,NA,24%,<5%,NA
100500,Tangonge,Northland,12+,971,848,831,715,464,87%,86%,65%
100500,Tangonge,Northland,5-11,121,32,6,NA,NA,26%,<5%,NA
100600,Ahipara,Northland,12+,"1,046",895,870,782,506,86%,83%,65%
100600,Ahipara,Northland,5-11,149,54,13,NA,NA,36%,9%,NA
100700,Kaitaia East,Northland,12+,"2,018","1,769","1,688","1,435",815,88%,84%,57%
100700,Kaitaia East,Northland,5-11,332,97,21,NA,NA,29%,6%,NA
100800,Kaitaia West,Northland,12+,"2,950","2,574","2,461","2,050","1,200",87%,83%,59%
100800,Kaitaia West,Northland,5-11,487,112,34,NA,NA,23%,7%,NA
100900,Rangitihi,Northland,12+,811,685,668,576,350,84%,82%,61%
100900,Rangitihi,Northland,5-11,89,16,Masked,NA,NA,18%,<5%,NA
101000,Oruru-Parapara,Northland,12+,817,660,637,570,345,81%,78%,61%
101000,Oruru-Parapara,Northland,5-11,104,28,8,NA,NA,27%,8%,NA
101100,Taumarumaru,Northland,12+,"2,249","2,014","1,970","1,830","1,355",90%,88%,74%
101100,Taumarumaru,Northland,5-11,216,65,14,NA,NA,30%,6%,NA
101200,Herekino-Takahue,Northland,12+,873,691,668,580,362,79%,77%,62%
101200,Herekino-Takahue,Northland,5-11,110,25,Masked,NA,NA,23%,<5%,NA
101300,Peria,Northland,12+,"1,018",749,721,633,401,74%,71%,63%
101300,Peria,Northland,5-11,128,23,6,NA,NA,18%,<5%,NA
101400,Taemaro-Oruaiti,Northland,12+,858,707,685,609,416,82%,80%,68%
101400,Taemaro-Oruaiti,Northland,5-11,108,44,10,NA,NA,41%,9%,NA
101500,Whakapaku,Northland,12+,661,517,497,442,302,78%,75%,68%
101500,Whakapaku,Northland,5-11,86,31,Masked,NA,NA,36%,6%,NA
101600,Hokianga North,Northland,12+,775,643,623,541,379,83%,80%,70%
101600,Hokianga North,Northland,5-11,129,35,Masked,NA,NA,27%,<5%,NA
